Date,BOH_stock_Open_average,BOH_stock_Open_max,BOH_stock_Open_min,BOH_stock_Open_volatility,BOH_stock_Open_change,BOH_stock_High_average,BOH_stock_High_max,BOH_stock_High_min,BOH_stock_High_volatility,BOH_stock_High_change,BOH_stock_Low_average,BOH_stock_Low_max,BOH_stock_Low_min,BOH_stock_Low_volatility,BOH_stock_Low_change,BOH_stock_Close_average,BOH_stock_Close_max,BOH_stock_Close_min,BOH_stock_Close_volatility,BOH_stock_Close_change,BOH_stock_Volume_average,BOH_stock_Volume_max,BOH_stock_Volume_min,BOH_stock_Volume_volatility,BOH_stock_Volume_change
2016-01-03,61.218,62.03,60.56,1.4699999999999989,-1.4699999999999989,61.688,62.48,60.89,1.5899999999999963,-1.25,60.482,61.28,59.12,2.1600000000000037,-1.8800000000000026,60.870000000000005,61.81,59.24,2.5700000000000003,-2.5700000000000003,238291,364423,165956,198467,-123172
2016-01-10,58.576,59.49,56.86,2.6300000000000026,-2.6099999999999994,59.082,59.88,57.93,1.9500000000000028,-1.9500000000000028,57.348,58.49,56.18,2.3100000000000023,-2.3100000000000023,58.264,59.23,57.27,1.9599999999999937,-1.3600000000000065,280771,388504,201851,186653,69094
2016-01-17,56.7875,58.32,55.87,2.450000000000003,-2.450000000000003,57.5225,58.8,57.02,1.779999999999994,-1.779999999999994,55.7375,56.95,55.1,1.8500000000000014,-1.3100000000000023,56.5275,57.28,55.26,2.020000000000003,-0.30000000000000426,340824,390170,272137,118033,118033
2016-01-24,57.632,58.87,55.48,3.3900000000000006,0.6799999999999997,58.884,59.94,57.55,2.3900000000000006,1.25,56.794,58.4,54.55,3.8500000000000014,2.780000000000001,57.903999999999996,59.93,55.62,4.310000000000002,4.310000000000002,345228,464766,303041,161725,-149349
2016-01-31,60.134,61.63,59.27,2.3599999999999994,1.8900000000000006,60.912,62.25,59.49,2.759999999999998,1.9699999999999989,59.492,61.18,58.47,2.710000000000001,2.259999999999998,60.66,61.69,59.22,2.469999999999999,1.4600000000000009,485513,792713,309171,483542,-483542
2016-02-07,60.368,61.9,59.23,2.6700000000000017,-0.8299999999999983,61.29,62.39,59.61,2.780000000000001,-0.3200000000000003,59.796,60.54,58.43,2.1099999999999994,-0.36999999999999744,60.58,61.29,59.0,2.289999999999999,-0.05000000000000426,362510,588664,241143,347521,-304517
2016-02-14,62.745,63.55,61.79,1.759999999999998,0.7899999999999991,63.4075,63.75,63.01,0.740000000000002,0.30000000000000426,62.2625,62.87,61.11,1.759999999999998,1.3800000000000026,62.9,63.03,62.8,0.23000000000000398,-0.1700000000000017,304919,525579,192549,333030,30305
2016-02-21,62.838,63.69,61.47,2.219999999999999,0.4099999999999966,63.577999999999996,64.36,62.66,1.7000000000000028,0.3299999999999983,62.184,63.18,60.73,2.450000000000003,0.0,63.126,63.92,62.44,1.480000000000004,0.19000000000000483,188632,256260,144551,111709,15572
2016-02-28,65.21,66.99,63.8,3.1899999999999977,3.1099999999999923,66.208,67.94,64.41,3.530000000000001,3.530000000000001,64.78,66.53,63.13,3.3999999999999986,3.3999999999999986,65.952,67.87,63.5,4.3700000000000045,4.3700000000000045,253833,388198,197038,191160,-156086
2016-03-06,67.354,67.95,66.87,1.0799999999999983,0.6800000000000068,68.23,69.15,67.64,1.5100000000000051,0.9699999999999989,66.722,67.54,65.96,1.5800000000000125,0.35999999999999943,67.6,69.12,66.51,2.6099999999999994,1.1300000000000097,236445,280049,180917,99132,-1352
