Date,Open,High,Low,Close,Currency
2016-01-03,17.58,17.58,17.58,17.58,USD
2016-01-04,17.63,17.63,17.63,17.63,USD
2016-01-05,17.31,17.31,17.31,17.31,USD
2016-01-06,16.88,16.88,16.88,16.88,USD
2016-01-07,16.67,16.67,16.67,16.67,USD
2016-01-10,16.57,16.57,16.57,16.57,USD
2016-01-11,16.67,16.67,16.67,16.67,USD
2016-01-12,16.16,16.16,16.16,16.16,USD
2016-01-13,16.34,16.34,16.34,16.34,USD
2016-01-14,16.13,16.13,16.13,16.13,USD
2016-01-18,16.02,16.02,16.02,16.02,USD
2016-01-19,15.98,15.98,15.98,15.98,USD
2016-01-20,15.87,15.87,15.87,15.87,USD
2016-01-21,16.27,16.27,16.27,16.27,USD
2016-01-24,15.96,15.96,15.96,15.96,USD
2016-01-25,16.27,16.27,16.27,16.27,USD
2016-01-26,16.06,16.06,16.06,16.06,USD
2016-01-27,15.98,15.98,15.98,15.98,USD
2016-01-28,16.47,16.47,16.47,16.47,USD
2016-01-31,16.44,16.44,16.44,16.44,USD
2016-02-01,16.02,16.02,16.02,16.02,USD
2016-02-02,16.12,16.12,16.12,16.12,USD
2016-02-03,16.26,16.26,16.26,16.26,USD
2016-02-04,15.94,15.94,15.94,15.94,USD
2016-02-07,15.57,15.57,15.57,15.57,USD
2016-02-08,15.54,15.54,15.54,15.54,USD
2016-02-09,15.62,15.62,15.62,15.62,USD
2016-02-10,15.44,15.44,15.44,15.44,USD
2016-02-11,15.78,15.78,15.78,15.78,USD
2016-02-15,16.13,16.13,16.13,16.13,USD
2016-02-16,16.47,16.47,16.47,16.47,USD
2016-02-17,16.4,16.4,16.4,16.4,USD
2016-02-18,16.44,16.44,16.44,16.44,USD
2016-02-21,16.68,16.68,16.68,16.68,USD
2016-02-22,16.45,16.45,16.45,16.45,USD
2016-02-23,16.56,16.56,16.56,16.56,USD
2016-02-24,16.75,16.75,16.75,16.75,USD
2016-02-25,16.86,16.86,16.86,16.86,USD
2016-02-28,16.71,16.71,16.71,16.71,USD
2016-02-29,17.1,17.1,17.1,17.1,USD
2016-03-01,17.2,17.2,17.2,17.2,USD
2016-03-02,17.37,17.37,17.37,17.37,USD
2016-03-03,17.43,17.43,17.43,17.43,USD
2016-03-06,17.44,17.44,17.44,17.44,USD
2016-03-07,17.14,17.14,17.14,17.14,USD
2016-03-08,17.22,17.22,17.22,17.22,USD
2016-03-09,17.15,17.15,17.15,17.15,USD
2016-03-10,17.52,17.52,17.52,17.52,USD
2016-03-13,17.47,17.47,17.47,17.47,USD
2016-03-14,17.33,17.33,17.33,17.33,USD
2016-03-15,17.49,17.49,17.49,17.49,USD
2016-03-16,17.61,17.61,17.61,17.61,USD
2016-03-17,17.68,17.68,17.68,17.68,USD
2016-03-20,17.7,17.7,17.7,17.7,USD
2016-03-21,17.75,17.75,17.75,17.75,USD
2016-03-22,17.55,17.55,17.55,17.55,USD
2016-03-23,17.56,17.56,17.56,17.56,USD
2016-03-27,17.57,17.57,17.57,17.57,USD
2016-03-28,17.85,17.85,17.85,17.85,USD
2016-03-29,17.9,17.9,17.9,17.9,USD
2016-03-30,17.97,17.97,17.97,17.97,USD
2016-03-31,18.08,18.08,18.08,18.08,USD
2016-04-03,17.91,17.91,17.91,17.91,USD
2016-04-04,17.68,17.68,17.68,17.68,USD
2016-04-05,17.9,17.9,17.9,17.9,USD
2016-04-06,17.66,17.66,17.66,17.66,USD
2016-04-07,17.76,17.76,17.76,17.76,USD
2016-04-10,17.7,17.7,17.7,17.7,USD
2016-04-11,17.84,17.84,17.84,17.84,USD
2016-04-12,18.17,18.17,18.17,18.17,USD
2016-04-13,18.18,18.18,18.18,18.18,USD
2016-04-14,18.17,18.17,18.17,18.17,USD
2016-04-17,18.3,18.3,18.3,18.3,USD
2016-04-18,18.36,18.36,18.36,18.36,USD
