,Ticker,Price,Date,Time,Transaction Type,Shares before,Shares After,Balance Before,Balance After
24,MMMStock,195.46,2018-07-02,Open,Buy,0,4,960.5999999999997,178.75999999999965
25,MMMStock,197.46,2018-07-06,Close,Sell,4,0,178.75999999999965,968.5999999999997
26,MMMStock,192.94,2018-07-24,Open,Buy,0,5,968.5999999999997,3.899999999999636
27,MMMStock,200.68,2018-07-24,Close,Sell,5,0,3.899999999999636,1007.2999999999997
28,MMMStock,199.84,2018-08-13,Close,Buy,0,5,1007.2999999999997,8.099999999999682
29,MMMStock,203.28,2018-08-17,Open,Sell,5,0,8.099999999999682,1024.4999999999995
30,MMMStock,203.0,2018-08-23,Open,Buy,0,5,1024.4999999999995,9.499999999999545
31,MMMStock,205.29,2018-08-24,Close,Sell,5,0,9.499999999999545,1035.9499999999996
32,MMMStock,210.42,2018-10-09,Close,Buy,0,4,1035.9499999999996,194.26999999999964
33,MMMStock,198.23,2018-10-12,Close,Sell,4,0,194.26999999999964,987.1899999999996
34,MMMStock,197.82,2018-10-15,Open,Buy,0,4,987.1899999999996,195.90999999999963
35,MMMStock,199.85,2018-10-19,Close,Sell,4,0,195.90999999999963,995.3099999999996
36,MMMStock,188.8,2018-10-23,Open,Buy,0,5,995.3099999999996,51.309999999999604
37,MMMStock,184.95,2018-10-26,Close,Sell,5,0,51.309999999999604,976.0599999999996
38,MMMStock,186.83,2018-10-30,Open,Buy,0,5,976.0599999999996,41.90999999999951
39,MMMStock,193.66,2018-11-02,Open,Sell,5,0,41.90999999999951,1010.2099999999995
40,MMMStock,198.36,2018-12-10,Open,Buy,0,5,1010.2099999999995,18.4099999999994
41,MMMStock,200.12,2018-12-14,Open,Sell,5,0,18.4099999999994,1019.0099999999994
42,MMMStock,195.84,2018-12-17,Open,Buy,0,5,1019.0099999999994,39.80999999999938
43,MMMStock,183.75,2018-12-21,Close,Sell,5,0,39.80999999999938,958.5599999999994
44,MMMStock,181.89,2018-12-24,Open,Buy,0,5,958.5599999999994,49.109999999999445
45,MMMStock,189.37,2018-12-28,Close,Sell,5,0,49.109999999999445,995.9599999999995
46,MMMStock,183.76,2019-01-03,Close,Buy,0,5,995.9599999999995,77.15999999999951
47,MMMStock,186.75,2019-01-04,Open,Sell,5,0,77.15999999999951,1010.9099999999995
48,MMMStock,201.88,2019-03-11,Open,Buy,0,5,1010.9099999999995,1.5099999999995362
49,MMMStock,208.4,2019-03-15,Open,Sell,5,0,1.5099999999995362,1043.5099999999995
50,MMMStock,206.8,2019-03-21,Open,Buy,0,5,1043.5099999999995,9.509999999999536
51,MMMStock,209.61,2019-03-21,Close,Sell,5,0,9.509999999999536,1057.5599999999997
52,MMMStock,203.46,2019-03-25,Open,Buy,0,5,1057.5599999999997,40.25999999999965
53,MMMStock,207.4,2019-03-27,Open,Sell,5,0,40.25999999999965,1077.2599999999998
54,MMMStock,197.54,2019-04-25,Open,Buy,0,5,1077.2599999999998,89.55999999999983
55,MMMStock,191.67,2019-04-26,Close,Sell,5,0,89.55999999999983,1047.9099999999999
56,MMMStock,191.52,2019-04-29,Open,Buy,0,5,1047.9099999999999,90.30999999999983
57,MMMStock,185.22,2019-05-03,Close,Sell,5,0,90.30999999999983,1016.4099999999999
58,MMMStock,182.04,2019-05-06,Open,Buy,0,5,1016.4099999999999,106.20999999999992
59,MMMStock,175.86,2019-05-10,Close,Sell,5,0,106.20999999999992,985.51
60,MMMStock,171.81,2019-05-16,Close,Buy,0,5,985.51,126.46000000000004
61,MMMStock,169.09,2019-05-17,Close,Sell,5,0,126.46000000000004,971.9100000000001
62,MMMStock,166.82,2019-07-09,Open,Buy,0,5,971.9100000000001,137.81000000000017
63,MMMStock,170.1,2019-07-12,Open,Sell,5,0,137.81000000000017,988.3100000000002
64,MMMStock,168.95,2019-08-05,Open,Buy,0,5,988.3100000000002,143.56000000000017
65,MMMStock,163.47,2019-08-09,Close,Sell,5,0,143.56000000000017,960.9100000000002
66,MMMStock,163.02,2019-08-12,Open,Buy,0,5,960.9100000000002,145.81000000000017
67,MMMStock,161.5,2019-08-16,Close,Sell,5,0,145.81000000000017,953.3100000000002
68,MMMStock,161.01,2019-08-20,Close,Buy,0,5,953.3100000000002,148.26000000000022
69,MMMStock,155.85,2019-08-23,Close,Sell,5,0,148.26000000000022,927.5100000000002
70,MMMStock,157.01,2019-08-26,Open,Buy,0,5,927.5100000000002,142.46000000000026
71,MMMStock,161.57,2019-08-30,Open,Sell,5,0,142.46000000000026,950.3100000000002
72,MMMStock,165.21,2019-09-30,Open,Buy,0,5,950.3100000000002,124.2600000000001
73,MMMStock,155.82,2019-10-04,Close,Sell,5,0,124.2600000000001,903.36
74,MMMStock,155.0,2019-10-07,Open,Buy,0,5,903.36,128.36
75,MMMStock,158.1,2019-10-11,Close,Sell,5,0,128.36,918.86
76,MMMStock,165.14,2019-11-21,Close,Buy,0,5,918.86,93.16000000000008
77,MMMStock,165.5,2019-11-22,Open,Sell,5,0,93.16000000000008,920.6600000000001
78,MMMStock,168.47,2019-11-25,Open,Buy,0,5,920.6600000000001,78.31000000000006
79,MMMStock,169.77,2019-11-29,Close,Sell,5,0,78.31000000000006,927.1600000000001
80,MMMStock,166.5,2019-12-03,Open,Buy,0,5,927.1600000000001,94.66000000000008
81,MMMStock,171.47,2019-12-06,Close,Sell,5,0,94.66000000000008,952.0100000000001
82,MMMStock,166.73,2019-12-12,Open,Buy,0,5,952.0100000000001,118.36000000000013
83,MMMStock,169.62,2019-12-13,Open,Sell,5,0,118.36000000000013,966.4600000000002
