Date,iShares Edge MSCI Intl Value Factor_Open_average,iShares Edge MSCI Intl Value Factor_Open_max,iShares Edge MSCI Intl Value Factor_Open_min,iShares Edge MSCI Intl Value Factor_High_average,iShares Edge MSCI Intl Value Factor_High_max,iShares Edge MSCI Intl Value Factor_High_min,iShares Edge MSCI Intl Value Factor_Low_average,iShares Edge MSCI Intl Value Factor_Low_max,iShares Edge MSCI Intl Value Factor_Low_min,iShares Edge MSCI Intl Value Factor_Close_average,iShares Edge MSCI Intl Value Factor_Close_max,iShares Edge MSCI Intl Value Factor_Close_min
2018-04-08,0.09265636655770959,0.09265636655770959,0.09265636655770959,0.003909989033820049,0.003909989033820049,0.003909989033820049,0.22743273832146152,0.22743273832146152,0.22743273832146152,0.14302637194565707,0.14302637194565707,0.14302637194565707
2018-04-15,0.5817954340795138,0.5817954340795138,0.5817954340795138,0.5155215104139822,0.5155215104139822,0.5155215104139822,0.7267868846963962,0.7267868846963962,0.7267868846963962,0.5902024884204122,0.5902024884204122,0.5902024884204122
2018-04-22,0.86656612926736,0.86656612926736,0.86656612926736,0.9284933287480837,0.9284933287480837,0.9284933287480837,1.1543085868634197,1.1543085868634197,1.1543085868634197,1.062251679452712,1.062251679452712,1.062251679452712
2018-04-29,0.8178410462039167,0.8178410462039167,0.8178410462039167,0.8194640105929275,0.8194640105929275,0.8194640105929275,0.9022192212838368,0.9022192212838368,0.9022192212838368,0.7796048176251641,0.7796048176251641,0.7796048176251641
2018-05-06,1.546530862935766,1.546530862935766,1.546530862935766,1.4747067172815944,1.4747067172815944,1.4747067172815944,1.4296512628158549,1.4296512628158549,1.4296512628158549,1.393242285957778,1.393242285957778,1.393242285957778
2018-05-13,0.9643660404658179,0.9643660404658179,0.9643660404658179,0.9462582510934668,0.9462582510934668,0.9462582510934668,0.998196527468055,0.998196527468055,0.998196527468055,0.9919111913793819,0.9919111913793819,0.9919111913793819
2018-05-20,-0.318709597386344,-0.318709597386344,-0.318709597386344,-0.34797225269486276,-0.34797225269486276,-0.34797225269486276,-0.1521077758223526,-0.1521077758223526,-0.1521077758223526,-0.19543323560006817,-0.19543323560006817,-0.19543323560006817
2018-05-27,-0.44268154665194404,-0.44268154665194404,-0.44268154665194404,-0.4176755046871999,-0.4176755046871999,-0.4176755046871999,-0.27809611972455384,-0.27809611972455384,-0.27809611972455384,-0.34031032491960916,-0.34031032491960916,-0.34031032491960916
2018-06-03,-0.09368444757149806,-0.09368444757149806,-0.09368444757149806,-0.05060074868222568,-0.05060074868222568,-0.05060074868222568,0.03834505234973258,0.03834505234973258,0.03834505234973258,0.11055343697000537,0.11055343697000537,0.11055343697000537
2018-06-10,-1.3746994372901875,-1.3746994372901875,-1.3746994372901875,-1.3334703623949726,-1.3334703623949726,-1.3334703623949726,-1.16805248246634,-1.16805248246634,-1.16805248246634,-1.1143324738871414,-1.1143324738871414,-1.1143324738871414
