Date,iShares MSCI South Africa_Open_average,iShares MSCI South Africa_Open_max,iShares MSCI South Africa_Open_min,iShares MSCI South Africa_High_average,iShares MSCI South Africa_High_max,iShares MSCI South Africa_High_min,iShares MSCI South Africa_Low_average,iShares MSCI South Africa_Low_max,iShares MSCI South Africa_Low_min,iShares MSCI South Africa_Close_average,iShares MSCI South Africa_Close_max,iShares MSCI South Africa_Close_min
2018-04-08,-1.067328274438833,-1.067328274438833,-1.067328274438833,-1.1900626485047392,-1.1900626485047392,-1.1900626485047392,-0.8491891224508985,-0.8491891224508985,-0.8491891224508985,-1.0462297636492848,-1.0462297636492848,-1.0462297636492848
2018-04-15,-0.5576582655562236,-0.5576582655562236,-0.5576582655562236,-0.7398540300135537,-0.7398540300135537,-0.7398540300135537,-0.4684180618485258,-0.4684180618485258,-0.4684180618485258,-0.6120536022752218,-0.6120536022752218,-0.6120536022752218
2018-04-22,-1.2205510756803444,-1.2205510756803444,-1.2205510756803444,-1.0922863171415254,-1.0922863171415254,-1.0922863171415254,-0.9684916363194791,-0.9684916363194791,-0.9684916363194791,-0.8530009043767569,-0.8530009043767569,-0.8530009043767569
2018-04-29,-1.5783351134141412,-1.5783351134141412,-1.5783351134141412,-1.3066363021961895,-1.3066363021961895,-1.3066363021961895,-1.2621465700258865,-1.2621465700258865,-1.2621465700258865,-1.1883279477467146,-1.1883279477467146,-1.1883279477467146
2018-05-06,-0.5394978293228532,-0.5394978293228532,-0.5394978293228532,-0.6128746101992691,-0.6128746101992691,-0.6128746101992691,-0.42301511970268235,-0.42301511970268235,-0.42301511970268235,-0.5663753351358253,-0.5663753351358253,-0.5663753351358253
2018-05-13,-1.6790160980611675,-1.6790160980611675,-1.6790160980611675,-1.789595979444689,-1.789595979444689,-1.789595979444689,-1.6379556387938616,-1.6379556387938616,-1.6379556387938616,-1.7026274277875968,-1.7026274277875968,-1.7026274277875968
2018-05-20,-1.3567570325691736,-1.3567570325691736,-1.3567570325691736,-1.2807541042539046,-1.2807541042539046,-1.2807541042539046,-1.2124031981179333,-1.2124031981179333,-1.2124031981179333,-1.1943998327725731,-1.1943998327725731,-1.1943998327725731
2018-05-27,-1.214346920830984,-1.214346920830984,-1.214346920830984,-1.2607058668714184,-1.2607058668714184,-1.2607058668714184,-1.1555297747090485,-1.1555297747090485,-1.1555297747090485,-1.1660449411630807,-1.1660449411630807,-1.1660449411630807
2018-06-03,-1.7423624102997601,-1.7423624102997601,-1.7423624102997601,-1.7535459062474692,-1.7535459062474692,-1.7535459062474692,-1.8397183434495166,-1.8397183434495166,-1.8397183434495166,-1.7762105002231814,-1.7762105002231814,-1.7762105002231814
2018-06-10,-1.8961327589251573,-1.8961327589251573,-1.8961327589251573,-1.9597966697801008,-1.9597966697801008,-1.9597966697801008,-2.0352572611304693,-2.0352572611304693,-2.0352572611304693,-2.1108561796160186,-2.1108561796160186,-2.1108561796160186
