Date,iShares MSCI Pacific ex JapanEtf_Open_average,iShares MSCI Pacific ex JapanEtf_Open_max,iShares MSCI Pacific ex JapanEtf_Open_min,iShares MSCI Pacific ex JapanEtf_High_average,iShares MSCI Pacific ex JapanEtf_High_max,iShares MSCI Pacific ex JapanEtf_High_min,iShares MSCI Pacific ex JapanEtf_Low_average,iShares MSCI Pacific ex JapanEtf_Low_max,iShares MSCI Pacific ex JapanEtf_Low_min,iShares MSCI Pacific ex JapanEtf_Close_average,iShares MSCI Pacific ex JapanEtf_Close_max,iShares MSCI Pacific ex JapanEtf_Close_min
2018-05-27,-0.10064114972787805,-0.10064114972787805,-0.10064114972787805,-0.15476700697083146,-0.15476700697083146,-0.15476700697083146,0.026363664741110862,0.026363664741110862,0.026363664741110862,0.007977290772914728,0.007977290772914728,0.007977290772914728
2018-06-03,0.40408790613380763,0.40408790613380763,0.40408790613380763,0.36262447570301776,0.36262447570301776,0.36262447570301776,0.517345267017842,0.517345267017842,0.517345267017842,0.4408543034849273,0.4408543034849273,0.4408543034849273
2018-06-10,-0.481545052030721,-0.481545052030721,-0.481545052030721,-0.6896851219823813,-0.6896851219823813,-0.6896851219823813,-0.30903536952071464,-0.30903536952071464,-0.30903536952071464,-0.45041174212342727,-0.45041174212342727,-0.45041174212342727
2018-06-17,-1.1161186914737058,-1.1161186914737058,-1.1161186914737058,-1.3383205921364676,-1.3383205921364676,-1.3383205921364676,-0.8063077348105938,-0.8063077348105938,-0.8063077348105938,-1.1209586446588276,-1.1209586446588276,-1.1209586446588276
2018-06-24,-1.8824730258001854,-1.8824730258001854,-1.8824730258001854,-1.9463719958039711,-1.9463719958039711,-1.9463719958039711,-1.5017522941179369,-1.5017522941179369,-1.5017522941179369,-1.618377421283785,-1.618377421283785,-1.618377421283785
2018-07-01,-1.5278059164532514,-1.5278059164532514,-1.5278059164532514,-1.3435714282800146,-1.3435714282800146,-1.3435714282800146,-1.2422926405862356,-1.2422926405862356,-1.2422926405862356,-1.0473801005704413,-1.0473801005704413,-1.0473801005704413
2018-07-08,-1.205795587688558,-1.205795587688558,-1.205795587688558,-1.290681250324548,-1.290681250324548,-1.290681250324548,-0.9666588710568075,-0.9666588710568075,-0.9666588710568075,-0.9969964220728134,-0.9969964220728134,-0.9969964220728134
2018-07-15,-1.0083281008341423,-1.0083281008341423,-1.0083281008341423,-1.0331732595115168,-1.0331732595115168,-1.0331732595115168,-0.7597822328840053,-0.7597822328840053,-0.7597822328840053,-0.8400032261970544,-0.8400032261970544,-0.8400032261970544
2018-07-22,-0.427438296560774,-0.427438296560774,-0.427438296560774,-0.47141434893743345,-0.47141434893743345,-0.47141434893743345,-0.4109768596720191,-0.4109768596720191,-0.4109768596720191,-0.48214954025093676,-0.48214954025093676,-0.48214954025093676
2018-07-29,-1.401083227027937,-1.401083227027937,-1.401083227027937,-1.433719710704799,-1.433719710704799,-1.433719710704799,-1.1697828664198398,-1.1697828664198398,-1.1697828664198398,-1.13233919910955,-1.13233919910955,-1.13233919910955
