Date,ProShares Short S&P500Etf_Open_average,ProShares Short S&P500Etf_Open_max,ProShares Short S&P500Etf_Open_min,ProShares Short S&P500Etf_High_average,ProShares Short S&P500Etf_High_max,ProShares Short S&P500Etf_High_min,ProShares Short S&P500Etf_Low_average,ProShares Short S&P500Etf_Low_max,ProShares Short S&P500Etf_Low_min,ProShares Short S&P500Etf_Close_average,ProShares Short S&P500Etf_Close_max,ProShares Short S&P500Etf_Close_min
2018-05-27,-0.4549460689633531,-0.4549460689633531,-0.4549460689633531,-0.6143438045225509,-0.6143438045225509,-0.6143438045225509,-0.43941196480928835,-0.43941196480928835,-0.43941196480928835,-0.5819546372722608,-0.5819546372722608,-0.5819546372722608
2018-06-03,-1.1730144031531027,-1.1730144031531027,-1.1730144031531027,-1.1646102139624208,-1.1646102139624208,-1.1646102139624208,-1.1887967109956763,-1.1887967109956763,-1.1887967109956763,-1.2270127894294576,-1.2270127894294576,-1.2270127894294576
2018-06-10,-1.4304371829000886,-1.4304371829000886,-1.4304371829000886,-1.2361270971507936,-1.2361270971507936,-1.2361270971507936,-1.442104269196841,-1.442104269196841,-1.442104269196841,-1.4200074520888006,-1.4200074520888006,-1.4200074520888006
2018-06-17,-1.3747610992439776,-1.3747610992439776,-1.3747610992439776,-1.1541834651607665,-1.1541834651607665,-1.1541834651607665,-1.2452142337119714,-1.2452142337119714,-1.2452142337119714,-1.0660522252426035,-1.0660522252426035,-1.0660522252426035
2018-06-24,-0.6783804013951579,-0.6783804013951579,-0.6783804013951579,-0.6393963951441469,-0.6393963951441469,-0.6393963951441469,-0.704140930991837,-0.704140930991837,-0.704140930991837,-0.39576566205094793,-0.39576566205094793,-0.39576566205094793
2018-07-01,-0.7778144474435799,-0.7778144474435799,-0.7778144474435799,-0.827368078021734,-0.827368078021734,-0.827368078021734,-1.0967251019450215,-1.0967251019450215,-1.0967251019450215,-1.0271466334368091,-1.0271466334368091,-1.0271466334368091
2018-07-08,-1.6881184415097688,-1.6881184415097688,-1.6881184415097688,-1.5494656381798788,-1.5494656381798788,-1.5494656381798788,-1.7104598032517269,-1.7104598032517269,-1.7104598032517269,-1.532453654706828,-1.532453654706828,-1.532453654706828
2018-07-15,-1.5558119493730074,-1.5558119493730074,-1.5558119493730074,-1.4590549704868472,-1.4590549704868472,-1.4590549704868472,-1.5672398844514857,-1.5672398844514857,-1.5672398844514857,-1.3645838585013443,-1.3645838585013443,-1.3645838585013443
2018-07-22,-1.8604728402304507,-1.8604728402304507,-1.8604728402304507,-1.4366705434135145,-1.4366705434135145,-1.4366705434135145,-1.874383216784216,-1.874383216784216,-1.874383216784216,-1.4825235404025752,-1.4825235404025752,-1.4825235404025752
2018-07-29,-1.506427500603622,-1.506427500603622,-1.506427500603622,-1.5067677287172738,-1.5067677287172738,-1.5067677287172738,-1.6322452271802963,-1.6322452271802963,-1.6322452271802963,-1.5520543933454078,-1.5520543933454078,-1.5520543933454078
