Date,iShares MSCI EAFE Growth_Open_average,iShares MSCI EAFE Growth_Open_max,iShares MSCI EAFE Growth_Open_min,iShares MSCI EAFE Growth_High_average,iShares MSCI EAFE Growth_High_max,iShares MSCI EAFE Growth_High_min,iShares MSCI EAFE Growth_Low_average,iShares MSCI EAFE Growth_Low_max,iShares MSCI EAFE Growth_Low_min,iShares MSCI EAFE Growth_Close_average,iShares MSCI EAFE Growth_Close_max,iShares MSCI EAFE Growth_Close_min
2018-04-08,0.03063411869722465,0.03063411869722465,0.03063411869722465,-0.11310853277001244,-0.11310853277001244,-0.11310853277001244,0.1663757914595203,0.1663757914595203,0.1663757914595203,0.025019456028109673,0.025019456028109673,0.025019456028109673
2018-04-15,-0.04339011328457495,-0.04339011328457495,-0.04339011328457495,-0.20301597887946154,-0.20301597887946154,-0.20301597887946154,0.09774553069335268,0.09774553069335268,0.09774553069335268,-0.0210335797646003,-0.0210335797646003,-0.0210335797646003
2018-04-22,0.2950536034995534,0.2950536034995534,0.2950536034995534,0.23229848244220147,0.23229848244220147,0.23229848244220147,0.5262644633815284,0.5262644633815284,0.5262644633815284,0.2841982379566122,0.2841982379566122,0.2841982379566122
2018-04-29,0.5305019220791065,0.5305019220791065,0.5305019220791065,0.5228969444189658,0.5228969444189658,0.5228969444189658,0.7261534319703579,0.7261534319703579,0.7261534319703579,0.6520013707100506,0.6520013707100506,0.6520013707100506
2018-05-06,1.7002603055536334,1.7002603055536334,1.7002603055536334,1.6464711121317603,1.6464711121317603,1.6464711121317603,1.5229661637477045,1.5229661637477045,1.5229661637477045,1.5186533292297673,1.5186533292297673,1.5186533292297673
2018-05-13,1.448774708533398,1.448774708533398,1.448774708533398,1.4477039315479718,1.4477039315479718,1.4477039315479718,1.418478707896164,1.418478707896164,1.418478707896164,1.5049361702201705,1.5049361702201705,1.5049361702201705
2018-05-20,0.28186697092785734,0.28186697092785734,0.28186697092785734,0.35824758676566154,0.35824758676566154,0.35824758676566154,0.49353604479692476,0.49353604479692476,0.49353604479692476,0.4721028187866663,0.4721028187866663,0.4721028187866663
2018-05-27,0.8330836395255944,0.8330836395255944,0.8330836395255944,0.7789361803342434,0.7789361803342434,0.7789361803342434,0.6465009265981911,0.6465009265981911,0.6465009265981911,0.56682896260783,0.56682896260783,0.56682896260783
2018-06-03,1.3008117680782623,1.3008117680782623,1.3008117680782623,1.5051618244491307,1.5051618244491307,1.5051618244491307,1.2714949050636126,1.2714949050636126,1.2714949050636126,1.4606082724643932,1.4606082724643932,1.4606082724643932
2018-06-10,-0.19523693294946878,-0.19523693294946878,-0.19523693294946878,-0.12243936017567979,-0.12243936017567979,-0.12243936017567979,-0.003218106162395994,-0.003218106162395994,-0.003218106162395994,0.126939087006809,0.126939087006809,0.126939087006809
