Date,iShares Emerging Markets DividendEtf_Open_average,iShares Emerging Markets DividendEtf_Open_max,iShares Emerging Markets DividendEtf_Open_min,iShares Emerging Markets DividendEtf_High_average,iShares Emerging Markets DividendEtf_High_max,iShares Emerging Markets DividendEtf_High_min,iShares Emerging Markets DividendEtf_Low_average,iShares Emerging Markets DividendEtf_Low_max,iShares Emerging Markets DividendEtf_Low_min,iShares Emerging Markets DividendEtf_Close_average,iShares Emerging Markets DividendEtf_Close_max,iShares Emerging Markets DividendEtf_Close_min
2018-05-27,-1.2159851991089579,-1.2159851991089579,-1.2159851991089579,-1.111512672007076,-1.111512672007076,-1.111512672007076,-1.0358800211105808,-1.0358800211105808,-1.0358800211105808,-0.9976136003155669,-0.9976136003155669,-0.9976136003155669
2018-06-03,-0.8153049904673354,-0.8153049904673354,-0.8153049904673354,-0.7978048763560923,-0.7978048763560923,-0.7978048763560923,-0.7447025764396555,-0.7447025764396555,-0.7447025764396555,-0.658314866590011,-0.658314866590011,-0.658314866590011
2018-06-10,-1.2217466235472738,-1.2217466235472738,-1.2217466235472738,-1.0784362590083656,-1.0784362590083656,-1.0784362590083656,-1.2547532712715295,-1.2547532712715295,-1.2547532712715295,-1.2999097938225859,-1.2999097938225859,-1.2999097938225859
2018-06-17,-1.9177318423650036,-1.9177318423650036,-1.9177318423650036,-2.032977032651461,-2.032977032651461,-2.032977032651461,-1.9184182405003776,-1.9184182405003776,-1.9184182405003776,-1.9810043980300414,-1.9810043980300414,-1.9810043980300414
2018-06-24,-2.0276564478366916,-2.0276564478366916,-2.0276564478366916,-1.9443345690309952,-1.9443345690309952,-1.9443345690309952,-1.9511167004959957,-1.9511167004959957,-1.9511167004959957,-1.8928656002888846,-1.8928656002888846,-1.8928656002888846
2018-07-01,-1.6429177606011849,-1.6429177606011849,-1.6429177606011849,-1.4942611034367774,-1.4942611034367774,-1.4942611034367774,-1.5826464064413115,-1.5826464064413115,-1.5826464064413115,-1.416754897428865,-1.416754897428865,-1.416754897428865
2018-07-08,-1.3257002771271593,-1.3257002771271593,-1.3257002771271593,-1.341066129138667,-1.341066129138667,-1.341066129138667,-1.3044991365906309,-1.3044991365906309,-1.3044991365906309,-1.2983271381509587,-1.2983271381509587,-1.2983271381509587
2018-07-15,-1.10577090122377,-1.10577090122377,-1.10577090122377,-1.173491163764343,-1.173491163764343,-1.173491163764343,-1.0486437562420183,-1.0486437562420183,-1.0486437562420183,-1.1094445398154236,-1.1094445398154236,-1.1094445398154236
2018-07-22,-0.47497761769663216,-0.47497761769663216,-0.47497761769663216,-0.5155617077056854,-0.5155617077056854,-0.5155617077056854,-0.5654316039802473,-0.5654316039802473,-0.5654316039802473,-0.531902696752492,-0.531902696752492,-0.531902696752492
2018-07-29,-0.5406174821876603,-0.5406174821876603,-0.5406174821876603,-0.47998607619448713,-0.47998607619448713,-0.47998607619448713,-0.4387675863882079,-0.4387675863882079,-0.4387675863882079,-0.37614900727102274,-0.37614900727102274,-0.37614900727102274
2018-08-05,-1.3058838109779118,-1.3058838109779118,-1.3058838109779118,-1.4471608832717422,-1.4471608832717422,-1.4471608832717422,-1.4261927326312123,-1.4261927326312123,-1.4261927326312123,-1.5008665854622487,-1.5008665854622487,-1.5008665854622487
2018-08-12,-1.6415387260194343,-1.6415387260194343,-1.6415387260194343,-1.5184370620892085,-1.5184370620892085,-1.5184370620892085,-1.7714516036104029,-1.7714516036104029,-1.7714516036104029,-1.5048457506328672,-1.5048457506328672,-1.5048457506328672
