Date,iShares Broad USD Investment Grade Corporate Bond_Open_average,iShares Broad USD Investment Grade Corporate Bond_Open_max,iShares Broad USD Investment Grade Corporate Bond_Open_min,iShares Broad USD Investment Grade Corporate Bond_High_average,iShares Broad USD Investment Grade Corporate Bond_High_max,iShares Broad USD Investment Grade Corporate Bond_High_min,iShares Broad USD Investment Grade Corporate Bond_Low_average,iShares Broad USD Investment Grade Corporate Bond_Low_max,iShares Broad USD Investment Grade Corporate Bond_Low_min,iShares Broad USD Investment Grade Corporate Bond_Close_average,iShares Broad USD Investment Grade Corporate Bond_Close_max,iShares Broad USD Investment Grade Corporate Bond_Close_min
2018-04-08,-0.49336082938906756,-0.49336082938906756,-0.49336082938906756,-0.46223989998199416,-0.46223989998199416,-0.46223989998199416,-0.45168820801405485,-0.45168820801405485,-0.45168820801405485,-0.4677212571698186,-0.4677212571698186,-0.4677212571698186
2018-04-15,-1.3550356525671838,-1.3550356525671838,-1.3550356525671838,-1.5146516250949982,-1.5146516250949982,-1.5146516250949982,-1.4813924478856406,-1.4813924478856406,-1.4813924478856406,-1.5118872701170458,-1.5118872701170458,-1.5118872701170458
2018-04-22,-1.6256452052734658,-1.6256452052734658,-1.6256452052734658,-1.5898918303241563,-1.5898918303241563,-1.5898918303241563,-1.5734440605595488,-1.5734440605595488,-1.5734440605595488,-1.5435533488757538,-1.5435533488757538,-1.5435533488757538
2018-04-29,-2.1215237513198524,-2.1215237513198524,-2.1215237513198524,-2.0772943208088503,-2.0772943208088503,-2.0772943208088503,-2.089249982188742,-2.089249982188742,-2.089249982188742,-2.0881943492788713,-2.0881943492788713,-2.0881943492788713
2018-05-06,-1.4952694654212644,-1.4952694654212644,-1.4952694654212644,-1.4275663637109473,-1.4275663637109473,-1.4275663637109473,-1.3368481389650928,-1.3368481389650928,-1.3368481389650928,-1.3956594481445599,-1.3956594481445599,-1.3956594481445599
2018-05-13,-1.9349789594904958,-1.9349789594904958,-1.9349789594904958,-1.827343142082484,-1.827343142082484,-1.827343142082484,-1.8622370574050209,-1.8622370574050209,-1.8622370574050209,-1.7814320534707537,-1.7814320534707537,-1.7814320534707537
2018-05-20,-0.6272071723717716,-0.6272071723717716,-0.6272071723717716,-0.5033772891414288,-0.5033772891414288,-0.5033772891414288,-0.5008486359455617,-0.5008486359455617,-0.5008486359455617,-0.36337979095809014,-0.36337979095809014,-0.36337979095809014
2018-05-27,-0.90104345438321,-0.90104345438321,-0.90104345438321,-0.9953659810086201,-0.9953659810086201,-0.9953659810086201,-1.095961992699818,-1.095961992699818,-1.095961992699818,-1.1625218276057996,-1.1625218276057996,-1.1625218276057996
2018-06-03,-1.3144921521643105,-1.3144921521643105,-1.3144921521643105,-1.1971355729406987,-1.1971355729406987,-1.1971355729406987,-1.2304147603716011,-1.2304147603716011,-1.2304147603716011,-1.1270954603557224,-1.1270954603557224,-1.1270954603557224
2018-06-10,-0.6807927586564699,-0.6807927586564699,-0.6807927586564699,-0.8188397254148618,-0.8188397254148618,-0.8188397254148618,-0.9303460407154676,-0.9303460407154676,-0.9303460407154676,-0.8071056335813185,-0.8071056335813185,-0.8071056335813185
