Date,First Trust South Korea AlphaDEX_Open_average,First Trust South Korea AlphaDEX_Open_max,First Trust South Korea AlphaDEX_Open_min,First Trust South Korea AlphaDEX_High_average,First Trust South Korea AlphaDEX_High_max,First Trust South Korea AlphaDEX_High_min,First Trust South Korea AlphaDEX_Low_average,First Trust South Korea AlphaDEX_Low_max,First Trust South Korea AlphaDEX_Low_min,First Trust South Korea AlphaDEX_Close_average,First Trust South Korea AlphaDEX_Close_max,First Trust South Korea AlphaDEX_Close_min
2018-04-08,-0.6011353353248938,-0.6011353353248938,-0.6011353353248938,-0.8270365732046872,-0.8270365732046872,-0.8270365732046872,-0.6620556537410526,-0.6620556537410526,-0.6620556537410526,-0.9010553159976326,-0.9010553159976326,-0.9010553159976326
2018-04-15,-0.9225829753557567,-0.9225829753557567,-0.9225829753557567,-1.1653311505286847,-1.1653311505286847,-1.1653311505286847,-0.8871708693565057,-0.8871708693565057,-0.8871708693565057,-1.126330506580744,-1.126330506580744,-1.126330506580744
2018-04-22,-1.1315759598739465,-1.1315759598739465,-1.1315759598739465,-1.1621588961351976,-1.1621588961351976,-1.1621588961351976,-1.1441930557048638,-1.1441930557048638,-1.1441930557048638,-1.3905311899798145,-1.3905311899798145,-1.3905311899798145
2018-04-29,-0.9940104942983056,-0.9940104942983056,-0.9940104942983056,-1.238546975974067,-1.238546975974067,-1.238546975974067,-0.9939442808758666,-0.9939442808758666,-0.9939442808758666,-1.1905609375716855,-1.1905609375716855,-1.1905609375716855
2018-05-06,-0.7054834353137356,-0.7054834353137356,-0.7054834353137356,-0.890146606514728,-0.890146606514728,-0.890146606514728,-0.692198627074819,-0.692198627074819,-0.692198627074819,-0.8232920491969415,-0.8232920491969415,-0.8232920491969415
2018-05-13,-1.2136611463742617,-1.2136611463742617,-1.2136611463742617,-1.3241361332714061,-1.3241361332714061,-1.3241361332714061,-1.3420965415425616,-1.3420965415425616,-1.3420965415425616,-1.3805854066443075,-1.3805854066443075,-1.3805854066443075
2018-05-20,-1.598295379076454,-1.598295379076454,-1.598295379076454,-1.6336456546666098,-1.6336456546666098,-1.6336456546666098,-1.5739700456209424,-1.5739700456209424,-1.5739700456209424,-1.5640526356040851,-1.5640526356040851,-1.5640526356040851
2018-05-27,-1.5985923411672696,-1.5985923411672696,-1.5985923411672696,-1.6059940172338416,-1.6059940172338416,-1.6059940172338416,-1.5841085959830021,-1.5841085959830021,-1.5841085959830021,-1.561114189362762,-1.561114189362762,-1.561114189362762
2018-06-03,-1.2005169433116571,-1.2005169433116571,-1.2005169433116571,-1.024559164945651,-1.024559164945651,-1.024559164945651,-1.1787753512986787,-1.1787753512986787,-1.1787753512986787,-0.9798626624300989,-0.9798626624300989,-0.9798626624300989
2018-06-10,-2.2853977396402088,-2.2853977396402088,-2.2853977396402088,-2.1993274597380172,-2.1993274597380172,-2.1993274597380172,-2.28658089409718,-2.28658089409718,-2.28658089409718,-2.1744620183339225,-2.1744620183339225,-2.1744620183339225
