Date,Direxion Daily Mid Cap Bear 3X SharesEtf_Open_average,Direxion Daily Mid Cap Bear 3X SharesEtf_Open_max,Direxion Daily Mid Cap Bear 3X SharesEtf_Open_min,Direxion Daily Mid Cap Bear 3X SharesEtf_High_average,Direxion Daily Mid Cap Bear 3X SharesEtf_High_max,Direxion Daily Mid Cap Bear 3X SharesEtf_High_min,Direxion Daily Mid Cap Bear 3X SharesEtf_Low_average,Direxion Daily Mid Cap Bear 3X SharesEtf_Low_max,Direxion Daily Mid Cap Bear 3X SharesEtf_Low_min,Direxion Daily Mid Cap Bear 3X SharesEtf_Close_average,Direxion Daily Mid Cap Bear 3X SharesEtf_Close_max,Direxion Daily Mid Cap Bear 3X SharesEtf_Close_min
2018-05-27,-1.3138803952564004,-1.3138803952564004,-1.3138803952564004,-1.2353547383939938,-1.2353547383939938,-1.2353547383939938,-1.3533183904245354,-1.3533183904245354,-1.3533183904245354,-1.3939371984831923,-1.3939371984831923,-1.3939371984831923
2018-06-03,-1.699883086895675,-1.699883086895675,-1.699883086895675,-1.579317124954054,-1.579317124954054,-1.579317124954054,-1.987701578730034,-1.987701578730034,-1.987701578730034,-1.959344970895006,-1.959344970895006,-1.959344970895006
2018-06-10,-1.567574727691692,-1.567574727691692,-1.567574727691692,-1.4362095020368628,-1.4362095020368628,-1.4362095020368628,-1.7301207956477027,-1.7301207956477027,-1.7301207956477027,-1.6658038672561717,-1.6658038672561717,-1.6658038672561717
2018-06-17,-1.5566999811931788,-1.5566999811931788,-1.5566999811931788,-1.3676577451234433,-1.3676577451234433,-1.3676577451234433,-1.5700117290504325,-1.5700117290504325,-1.5700117290504325,-1.4462834311502775,-1.4462834311502775,-1.4462834311502775
2018-06-24,-1.1132047577710205,-1.1132047577710205,-1.1132047577710205,-1.055667457190779,-1.055667457190779,-1.055667457190779,-1.0641300597535166,-1.0641300597535166,-1.0641300597535166,-0.9860798768998124,-0.9860798768998124,-0.9860798768998124
2018-07-01,-1.070427990969326,-1.070427990969326,-1.070427990969326,-1.1052608487045554,-1.1052608487045554,-1.1052608487045554,-1.3554990946987722,-1.3554990946987722,-1.3554990946987722,-1.3247043874041131,-1.3247043874041131,-1.3247043874041131
2018-07-08,-1.4009956926376201,-1.4009956926376201,-1.4009956926376201,-1.3101694142817637,-1.3101694142817637,-1.3101694142817637,-1.3783398680905234,-1.3783398680905234,-1.3783398680905234,-1.2686003054185306,-1.2686003054185306,-1.2686003054185306
2018-07-15,-1.3122475405103702,-1.3122475405103702,-1.3122475405103702,-1.2462898449092394,-1.2462898449092394,-1.2462898449092394,-1.3321090567952079,-1.3321090567952079,-1.3321090567952079,-1.1750938022618267,-1.1750938022618267,-1.1750938022618267
2018-07-22,-1.1947970008482354,-1.1947970008482354,-1.1947970008482354,-0.7227226296714754,-0.7227226296714754,-0.7227226296714754,-1.1215385766805526,-1.1215385766805526,-1.1215385766805526,-0.7787245389237738,-0.7787245389237738,-0.7787245389237738
2018-07-29,-0.9352232396378615,-0.9352232396378615,-0.9352232396378615,-0.9839001092028565,-0.9839001092028565,-0.9839001092028565,-0.9980666870220718,-0.9980666870220718,-0.9980666870220718,-0.979715968477541,-0.979715968477541,-0.979715968477541
2018-08-05,-0.9786696559485952,-0.9786696559485952,-0.9786696559485952,-0.9568282487179254,-0.9568282487179254,-0.9568282487179254,-0.9049917309265395,-0.9049917309265395,-0.9049917309265395,-0.9094874668310583,-0.9094874668310583,-0.9094874668310583
2018-08-12,-1.116213854879902,-1.116213854879902,-1.116213854879902,-1.0911941269969399,-1.0911941269969399,-1.0911941269969399,-1.0869510743720214,-1.0869510743720214,-1.0869510743720214,-1.0797837540442072,-1.0797837540442072,-1.0797837540442072
2018-08-19,-1.5365233204548947,-1.5365233204548947,-1.5365233204548947,-1.5181416089737372,-1.5181416089737372,-1.5181416089737372,-1.4436270236779514,-1.4436270236779514,-1.4436270236779514,-1.4503162106222633,-1.4503162106222633,-1.4503162106222633
2018-08-26,-1.448147618006859,-1.448147618006859,-1.448147618006859,-1.5157033954460473,-1.5157033954460473,-1.5157033954460473,-1.3731410610313177,-1.3731410610313177,-1.3731410610313177,-1.4674277758126812,-1.4674277758126812,-1.4674277758126812
2018-09-02,-1.186639748431198,-1.186639748431198,-1.186639748431198,-1.1753590540965957,-1.1753590540965957,-1.1753590540965957,-1.12328729365807,-1.12328729365807,-1.12328729365807,-1.1307258225891703,-1.1307258225891703,-1.1307258225891703
2018-09-09,-1.4999249260195266,-1.4999249260195266,-1.4999249260195266,-1.5879446044777488,-1.5879446044777488,-1.5879446044777488,-1.5145413289110934,-1.5145413289110934,-1.5145413289110934,-1.5710275933855717,-1.5710275933855717,-1.5710275933855717
2018-09-16,-1.5455311878628386,-1.5455311878628386,-1.5455311878628386,-1.3673770813679562,-1.3673770813679562,-1.3673770813679562,-1.4762084578451757,-1.4762084578451757,-1.4762084578451757,-1.3017239492499664,-1.3017239492499664,-1.3017239492499664
2018-09-23,-0.42370265056858025,-0.42370265056858025,-0.42370265056858025,-0.5693973939209876,-0.5693973939209876,-0.5693973939209876,-0.7023421434395128,-0.7023421434395128,-0.7023421434395128,-0.8438938916230888,-0.8438938916230888,-0.8438938916230888
2018-09-30,0.62146193368572,0.62146193368572,0.62146193368572,1.0609691018900116,1.0609691018900116,1.0609691018900116,0.6298658497844842,0.6298658497844842,0.6298658497844842,0.9007939348738316,0.9007939348738316,0.9007939348738316
2018-10-07,3.243391611747925,3.243391611747925,3.243391611747925,3.3885076368635083,3.3885076368635083,3.3885076368635083,3.1160516566229317,3.1160516566229317,3.1160516566229317,3.2510141976727693,3.2510141976727693,3.2510141976727693
2018-10-14,2.164655701963294,2.164655701963294,2.164655701963294,2.2728297177469607,2.2728297177469607,2.2728297177469607,2.4649720562071575,2.4649720562071575,2.4649720562071575,2.52320478721946,2.52320478721946,2.52320478721946
2018-10-21,3.1038432758237007,3.1038432758237007,3.1038432758237007,3.0375294613610357,3.0375294613610357,3.0375294613610357,3.086939348584751,3.086939348584751,3.086939348584751,3.048702270799429,3.048702270799429,3.048702270799429
2018-10-28,1.450502555500128,1.450502555500128,1.450502555500128,1.4175397974968464,1.4175397974968464,1.4175397974968464,1.542903332870967,1.542903332870967,1.542903332870967,1.4669081937912203,1.4669081937912203,1.4669081937912203
2018-11-04,0.994569870986524,0.994569870986524,0.994569870986524,0.9979446693740239,0.9979446693740239,0.9979446693740239,1.1424008957935892,1.1424008957935892,1.1424008957935892,0.9675169876661236,0.9675169876661236,0.9675169876661236
