Date,iShares MSCI Thailand Capped_etf_Open_average,iShares MSCI Thailand Capped_etf_Open_max,iShares MSCI Thailand Capped_etf_Open_min,iShares MSCI Thailand Capped_etf_High_average,iShares MSCI Thailand Capped_etf_High_max,iShares MSCI Thailand Capped_etf_High_min,iShares MSCI Thailand Capped_etf_Low_average,iShares MSCI Thailand Capped_etf_Low_max,iShares MSCI Thailand Capped_etf_Low_min,iShares MSCI Thailand Capped_etf_Close_average,iShares MSCI Thailand Capped_etf_Close_max,iShares MSCI Thailand Capped_etf_Close_min
2018-04-08,0.17896193598345095,0.17896193598345095,0.17896193598345095,-0.0653169711648072,-0.0653169711648072,-0.0653169711648072,0.2747783290614072,0.2747783290614072,0.2747783290614072,0.05990570105945606,0.05990570105945606,0.05990570105945606
2018-04-15,1.070281442395955,1.070281442395955,1.070281442395955,0.7386744422451137,0.7386744422451137,0.7386744422451137,0.7925278402229422,0.7925278402229422,0.7925278402229422,0.6553589508116627,0.6553589508116627,0.6553589508116627
2018-04-22,-0.3333488603440851,-0.3333488603440851,-0.3333488603440851,-0.3268384849480147,-0.3268384849480147,-0.3268384849480147,0.07639346053543698,0.07639346053543698,0.07639346053543698,-0.021293264171812896,-0.021293264171812896,-0.021293264171812896
2018-04-29,-0.9789641583274207,-0.9789641583274207,-0.9789641583274207,-0.5838899754814532,-0.5838899754814532,-0.5838899754814532,-0.6512188259895368,-0.6512188259895368,-0.6512188259895368,-0.37538183563725463,-0.37538183563725463,-0.37538183563725463
2018-05-06,-1.5313668384750267,-1.5313668384750267,-1.5313668384750267,-1.5161002714696388,-1.5161002714696388,-1.5161002714696388,-1.2734795236390324,-1.2734795236390324,-1.2734795236390324,-1.534199008644752,-1.534199008644752,-1.534199008644752
2018-05-13,-2.32786068690782,-2.32786068690782,-2.32786068690782,-2.5596026024251923,-2.5596026024251923,-2.5596026024251923,-2.2504488031543923,-2.2504488031543923,-2.2504488031543923,-2.3552551627678135,-2.3552551627678135,-2.3552551627678135
2018-05-20,-1.7425360891450195,-1.7425360891450195,-1.7425360891450195,-1.7362554455908243,-1.7362554455908243,-1.7362554455908243,-1.6875569489645061,-1.6875569489645061,-1.6875569489645061,-1.5665891343049188,-1.5665891343049188,-1.5665891343049188
2018-05-27,-1.7371773612333852,-1.7371773612333852,-1.7371773612333852,-1.8074724892253748,-1.8074724892253748,-1.8074724892253748,-1.7148543065380957,-1.7148543065380957,-1.7148543065380957,-1.7684703635117922,-1.7684703635117922,-1.7684703635117922
2018-06-03,-1.406641946320657,-1.406641946320657,-1.406641946320657,-1.4283214487381246,-1.4283214487381246,-1.4283214487381246,-1.3228126148324089,-1.3228126148324089,-1.3228126148324089,-1.4471301844661097,-1.4471301844661097,-1.4471301844661097
2018-06-10,-1.9231530349379575,-1.9231530349379575,-1.9231530349379575,-1.924289912299655,-1.924289912299655,-1.924289912299655,-2.0916254611801133,-2.0916254611801133,-2.0916254611801133,-2.055594888180172,-2.055594888180172,-2.055594888180172
2018-06-17,-2.55485360150659,-2.55485360150659,-2.55485360150659,-2.5296463731760648,-2.5296463731760648,-2.5296463731760648,-2.5311232505290415,-2.5311232505290415,-2.5311232505290415,-2.5448878726567172,-2.5448878726567172,-2.5448878726567172
2018-06-24,-2.2218328404784864,-2.2218328404784864,-2.2218328404784864,-2.228002715881868,-2.228002715881868,-2.228002715881868,-2.177029454479443,-2.177029454479443,-2.177029454479443,-2.1563170667834144,-2.1563170667834144,-2.1563170667834144
2018-07-01,-1.618786188641244,-1.618786188641244,-1.618786188641244,-1.5841058382318711,-1.5841058382318711,-1.5841058382318711,-1.6190124552362744,-1.6190124552362744,-1.6190124552362744,-1.5715548280612046,-1.5715548280612046,-1.5715548280612046
2018-07-08,-1.2084084102846744,-1.2084084102846744,-1.2084084102846744,-1.2621860545720656,-1.2621860545720656,-1.2621860545720656,-1.1984672584712703,-1.1984672584712703,-1.1984672584712703,-1.223420061773596,-1.223420061773596,-1.223420061773596
2018-07-15,-0.7709214654636455,-0.7709214654636455,-0.7709214654636455,-0.7807717582950214,-0.7807717582950214,-0.7807717582950214,-0.7499699152342655,-0.7499699152342655,-0.7499699152342655,-0.7539214129184544,-0.7539214129184544,-0.7539214129184544
2018-07-22,-0.3089470498435866,-0.3089470498435866,-0.3089470498435866,-0.3046495374975929,-0.3046495374975929,-0.3046495374975929,-0.28908539563112334,-0.28908539563112334,-0.28908539563112334,-0.30117238448354305,-0.30117238448354305,-0.30117238448354305
