Date,iShares MSCI Singapore CappedEtf_Open_average,iShares MSCI Singapore CappedEtf_Open_max,iShares MSCI Singapore CappedEtf_Open_min,iShares MSCI Singapore CappedEtf_High_average,iShares MSCI Singapore CappedEtf_High_max,iShares MSCI Singapore CappedEtf_High_min,iShares MSCI Singapore CappedEtf_Low_average,iShares MSCI Singapore CappedEtf_Low_max,iShares MSCI Singapore CappedEtf_Low_min,iShares MSCI Singapore CappedEtf_Close_average,iShares MSCI Singapore CappedEtf_Close_max,iShares MSCI Singapore CappedEtf_Close_min
2018-05-27,-1.081674764250211,-1.081674764250211,-1.081674764250211,-1.1844038200799791,-1.1844038200799791,-1.1844038200799791,-0.8958549358949929,-0.8958549358949929,-0.8958549358949929,-0.905497534785046,-0.905497534785046,-0.905497534785046
2018-06-03,-0.9103880196332098,-0.9103880196332098,-0.9103880196332098,-0.8854392029669638,-0.8854392029669638,-0.8854392029669638,-0.5801860474869961,-0.5801860474869961,-0.5801860474869961,-0.7386502608190066,-0.7386502608190066,-0.7386502608190066
2018-06-10,-2.5923403513838053,-2.5923403513838053,-2.5923403513838053,-2.671840974656689,-2.671840974656689,-2.671840974656689,-2.226262600040477,-2.226262600040477,-2.226262600040477,-2.4630680732688104,-2.4630680732688104,-2.4630680732688104
2018-06-17,-3.0252762494306507,-3.0252762494306507,-3.0252762494306507,-3.0177202207151095,-3.0177202207151095,-3.0177202207151095,-2.766341683006609,-2.766341683006609,-2.766341683006609,-2.9545437677455633,-2.9545437677455633,-2.9545437677455633
2018-06-24,-2.565142519530437,-2.565142519530437,-2.565142519530437,-2.5276021139394804,-2.5276021139394804,-2.5276021139394804,-2.4506210278186877,-2.4506210278186877,-2.4506210278186877,-2.4632086730847114,-2.4632086730847114,-2.4632086730847114
2018-07-01,-2.4492255511098744,-2.4492255511098744,-2.4492255511098744,-2.4196997437969148,-2.4196997437969148,-2.4196997437969148,-2.4123271808471642,-2.4123271808471642,-2.4123271808471642,-2.3889009248582194,-2.3889009248582194,-2.3889009248582194
2018-07-08,-1.8713214565469167,-1.8713214565469167,-1.8713214565469167,-1.9028935840059658,-1.9028935840059658,-1.9028935840059658,-1.8353912473079133,-1.8353912473079133,-1.8353912473079133,-1.8937321329262329,-1.8937321329262329,-1.8937321329262329
2018-07-15,-1.4735814275073484,-1.4735814275073484,-1.4735814275073484,-1.4534356922077536,-1.4534356922077536,-1.4534356922077536,-1.4260486810873587,-1.4260486810873587,-1.4260486810873587,-1.4332642841575942,-1.4332642841575942,-1.4332642841575942
2018-07-22,-1.10657898736677,-1.10657898736677,-1.10657898736677,-1.083842425838372,-1.083842425838372,-1.083842425838372,-1.0974462539782783,-1.0974462539782783,-1.0974462539782783,-1.0991246469215963,-1.0991246469215963,-1.0991246469215963
2018-07-29,-1.2605878090338813,-1.2605878090338813,-1.2605878090338813,-1.2463714048505916,-1.2463714048505916,-1.2463714048505916,-1.2343471759397766,-1.2343471759397766,-1.2343471759397766,-1.2282266196095706,-1.2282266196095706,-1.2282266196095706
