Date,Saba Interest Rate Hedged CEFEtf_Open_average,Saba Interest Rate Hedged CEFEtf_Open_max,Saba Interest Rate Hedged CEFEtf_Open_min,Saba Interest Rate Hedged CEFEtf_High_average,Saba Interest Rate Hedged CEFEtf_High_max,Saba Interest Rate Hedged CEFEtf_High_min,Saba Interest Rate Hedged CEFEtf_Low_average,Saba Interest Rate Hedged CEFEtf_Low_max,Saba Interest Rate Hedged CEFEtf_Low_min,Saba Interest Rate Hedged CEFEtf_Close_average,Saba Interest Rate Hedged CEFEtf_Close_max,Saba Interest Rate Hedged CEFEtf_Close_min
2018-05-27,-1.1927508537913132,-1.1927508537913132,-1.1927508537913132,-1.2389932931687007,-1.2389932931687007,-1.2389932931687007,-1.3488589821308161,-1.3488589821308161,-1.3488589821308161,-1.423597040590208,-1.423597040590208,-1.423597040590208
2018-06-03,-1.1935782349154251,-1.1935782349154251,-1.1935782349154251,-0.9937365081838491,-0.9937365081838491,-0.9937365081838491,-1.0450128356240327,-1.0450128356240327,-1.0450128356240327,-1.0114379539735583,-1.0114379539735583,-1.0114379539735583
2018-06-10,-1.022460071281307,-1.022460071281307,-1.022460071281307,-1.0342636887109216,-1.0342636887109216,-1.0342636887109216,-1.032108995171799,-1.032108995171799,-1.032108995171799,-0.8956601431423316,-0.8956601431423316,-0.8956601431423316
2018-06-17,-1.5440710073307637,-1.5440710073307637,-1.5440710073307637,-1.5223056708581935,-1.5223056708581935,-1.5223056708581935,-1.4862547035773173,-1.4862547035773173,-1.4862547035773173,-1.5245802793561671,-1.5245802793561671,-1.5245802793561671
2018-06-24,-1.8389159319466732,-1.8389159319466732,-1.8389159319466732,-1.6191022169642344,-1.6191022169642344,-1.6191022169642344,-1.6740267060300376,-1.6740267060300376,-1.6740267060300376,-1.5593139167263579,-1.5593139167263579,-1.5593139167263579
2018-07-01,-1.83649752476952,-1.83649752476952,-1.83649752476952,-1.7131388714522213,-1.7131388714522213,-1.7131388714522213,-1.7610163365254088,-1.7610163365254088,-1.7610163365254088,-1.55185024794541,-1.55185024794541,-1.55185024794541
2018-07-08,-1.2381342849179333,-1.2381342849179333,-1.2381342849179333,-1.245112030896749,-1.245112030896749,-1.245112030896749,-1.1740653459019248,-1.1740653459019248,-1.1740653459019248,-1.1387391623761742,-1.1387391623761742,-1.1387391623761742
2018-07-15,-1.174784112209189,-1.174784112209189,-1.174784112209189,-1.2695451718144042,-1.2695451718144042,-1.2695451718144042,-1.4296901342265813,-1.4296901342265813,-1.4296901342265813,-1.431393561311622,-1.431393561311622,-1.431393561311622
2018-07-22,-1.1511467415375352,-1.1511467415375352,-1.1511467415375352,-1.0493778494119048,-1.0493778494119048,-1.0493778494119048,-1.0278951507486656,-1.0278951507486656,-1.0278951507486656,-0.8817573195399572,-0.8817573195399572,-0.8817573195399572
2018-07-29,-1.1156679225364223,-1.1156679225364223,-1.1156679225364223,-0.9748362536897927,-0.9748362536897927,-0.9748362536897927,-0.9520594103574156,-0.9520594103574156,-0.9520594103574156,-0.9163773482455982,-0.9163773482455982,-0.9163773482455982
2018-08-05,-0.35129744138994917,-0.35129744138994917,-0.35129744138994917,-0.5117990851496965,-0.5117990851496965,-0.5117990851496965,-0.7927309778312113,-0.7927309778312113,-0.7927309778312113,-0.8391355224505833,-0.8391355224505833,-0.8391355224505833
2018-08-12,-1.0067549549058052,-1.0067549549058052,-1.0067549549058052,-0.9914385851373492,-0.9914385851373492,-0.9914385851373492,-0.8296544977850702,-0.8296544977850702,-0.8296544977850702,-0.7994312006122849,-0.7994312006122849,-0.7994312006122849
2018-08-19,-0.8344319902939579,-0.8344319902939579,-0.8344319902939579,-0.8566250985869619,-0.8566250985869619,-0.8566250985869619,-0.6697764235494823,-0.6697764235494823,-0.6697764235494823,-0.7591343986139483,-0.7591343986139483,-0.7591343986139483
