Date,iShares International Developed PropertyEtf_Open_average,iShares International Developed PropertyEtf_Open_max,iShares International Developed PropertyEtf_Open_min,iShares International Developed PropertyEtf_High_average,iShares International Developed PropertyEtf_High_max,iShares International Developed PropertyEtf_High_min,iShares International Developed PropertyEtf_Low_average,iShares International Developed PropertyEtf_Low_max,iShares International Developed PropertyEtf_Low_min,iShares International Developed PropertyEtf_Close_average,iShares International Developed PropertyEtf_Close_max,iShares International Developed PropertyEtf_Close_min
2018-05-27,0.022631729018745175,0.022631729018745175,0.022631729018745175,-0.12587961566890926,-0.12587961566890926,-0.12587961566890926,0.07967494410624293,0.07967494410624293,0.07967494410624293,0.03584087046475833,0.03584087046475833,0.03584087046475833
2018-06-03,0.4351635769278682,0.4351635769278682,0.4351635769278682,0.3993432149375196,0.3993432149375196,0.3993432149375196,0.40258217623131454,0.40258217623131454,0.40258217623131454,0.5519941196688777,0.5519941196688777,0.5519941196688777
2018-06-10,0.03619057999910057,0.03619057999910057,0.03619057999910057,-0.05762198222793944,-0.05762198222793944,-0.05762198222793944,0.06539519055304965,0.06539519055304965,0.06539519055304965,0.12270754367617563,0.12270754367617563,0.12270754367617563
2018-06-17,-1.0427732507341128,-1.0427732507341128,-1.0427732507341128,-1.1556892098747094,-1.1556892098747094,-1.1556892098747094,-0.7774519433769101,-0.7774519433769101,-0.7774519433769101,-0.7257204737002252,-0.7257204737002252,-0.7257204737002252
2018-06-24,-2.3664214209446084,-2.3664214209446084,-2.3664214209446084,-2.5105496111185066,-2.5105496111185066,-2.5105496111185066,-2.2135675336266636,-2.2135675336266636,-2.2135675336266636,-2.3231196280437456,-2.3231196280437456,-2.3231196280437456
2018-07-01,-1.5444845509488858,-1.5444845509488858,-1.5444845509488858,-1.5226030985471286,-1.5226030985471286,-1.5226030985471286,-1.5255396779840116,-1.5255396779840116,-1.5255396779840116,-1.30290479788242,-1.30290479788242,-1.30290479788242
2018-07-08,-1.3111816527792415,-1.3111816527792415,-1.3111816527792415,-1.5990928530884452,-1.5990928530884452,-1.5990928530884452,-1.4547854178233814,-1.4547854178233814,-1.4547854178233814,-1.5351417765333475,-1.5351417765333475,-1.5351417765333475
2018-07-15,-1.5205802237726658,-1.5205802237726658,-1.5205802237726658,-1.4637095065471102,-1.4637095065471102,-1.4637095065471102,-1.3310466798673992,-1.3310466798673992,-1.3310466798673992,-1.2371006812221332,-1.2371006812221332,-1.2371006812221332
2018-07-22,-0.5396597341452914,-0.5396597341452914,-0.5396597341452914,-0.7335346003176435,-0.7335346003176435,-0.7335346003176435,-0.7304165264761642,-0.7304165264761642,-0.7304165264761642,-0.6643147002201506,-0.6643147002201506,-0.6643147002201506
2018-07-29,-1.4961877248980058,-1.4961877248980058,-1.4961877248980058,-1.41039399545828,-1.41039399545828,-1.41039399545828,-1.3388854435570876,-1.3388854435570876,-1.3388854435570876,-1.357955019058059,-1.357955019058059,-1.357955019058059
