Date,ProShares Decline of the Retail Store_Open_average,ProShares Decline of the Retail Store_Open_max,ProShares Decline of the Retail Store_Open_min,ProShares Decline of the Retail Store_High_average,ProShares Decline of the Retail Store_High_max,ProShares Decline of the Retail Store_High_min,ProShares Decline of the Retail Store_Low_average,ProShares Decline of the Retail Store_Low_max,ProShares Decline of the Retail Store_Low_min,ProShares Decline of the Retail Store_Close_average,ProShares Decline of the Retail Store_Close_max,ProShares Decline of the Retail Store_Close_min
2018-04-08,0.2637633494992969,0.2637633494992969,0.2637633494992969,0.2062801009585727,0.2062801009585727,0.2062801009585727,0.49106104787548527,0.49106104787548527,0.49106104787548527,0.5308183024527761,0.5308183024527761,0.5308183024527761
2018-04-15,0.40890753038751654,0.40890753038751654,0.40890753038751654,0.5061427064366607,0.5061427064366607,0.5061427064366607,0.7498220908115455,0.7498220908115455,0.7498220908115455,0.9112230680570008,0.9112230680570008,0.9112230680570008
2018-04-22,-0.898249614900155,-0.898249614900155,-0.898249614900155,-1.35489989071472,-1.35489989071472,-1.35489989071472,-0.6632979856788308,-0.6632979856788308,-0.6632979856788308,-0.9996633933463877,-0.9996633933463877,-0.9996633933463877
2018-04-29,0.6435936525546835,0.6435936525546835,0.6435936525546835,0.22931881650903393,0.22931881650903393,0.22931881650903393,0.14233406411520227,0.14233406411520227,0.14233406411520227,-0.11159359895246687,-0.11159359895246687,-0.11159359895246687
2018-05-06,-0.1536457601596436,-0.1536457601596436,-0.1536457601596436,0.08587616397883034,0.08587616397883034,0.08587616397883034,0.19629099733978203,0.19629099733978203,0.19629099733978203,-0.12172123932186912,-0.12172123932186912,-0.12172123932186912
2018-05-13,-1.6312757824635262,-1.6312757824635262,-1.6312757824635262,-1.7885474773182195,-1.7885474773182195,-1.7885474773182195,-1.6892991023457777,-1.6892991023457777,-1.6892991023457777,-1.4780436203370555,-1.4780436203370555,-1.4780436203370555
2018-05-20,-1.622883322566855,-1.622883322566855,-1.622883322566855,-1.7620615149158079,-1.7620615149158079,-1.7620615149158079,-1.6078301285784173,-1.6078301285784173,-1.6078301285784173,-1.6026969853564932,-1.6026969853564932,-1.6026969853564932
2018-05-27,-1.5885379499718044,-1.5885379499718044,-1.5885379499718044,-1.1372111706066372,-1.1372111706066372,-1.1372111706066372,-1.6287392209517078,-1.6287392209517078,-1.6287392209517078,-0.9721530737074913,-0.9721530737074913,-0.9721530737074913
2018-06-03,-2.3181905140078625,-2.3181905140078625,-2.3181905140078625,-2.420325760716054,-2.420325760716054,-2.420325760716054,-2.512212903855143,-2.512212903855143,-2.512212903855143,-2.51182174099654,-2.51182174099654,-2.51182174099654
2018-06-10,-1.7015218333466176,-1.7015218333466176,-1.7015218333466176,-1.745513042367176,-1.745513042367176,-1.745513042367176,-1.8003981647029077,-1.8003981647029077,-1.8003981647029077,-1.8082936245404535,-1.8082936245404535,-1.8082936245404535
