Date,PowerShares Golden Dragon China PortEtf_Open_average,PowerShares Golden Dragon China PortEtf_Open_max,PowerShares Golden Dragon China PortEtf_Open_min,PowerShares Golden Dragon China PortEtf_High_average,PowerShares Golden Dragon China PortEtf_High_max,PowerShares Golden Dragon China PortEtf_High_min,PowerShares Golden Dragon China PortEtf_Low_average,PowerShares Golden Dragon China PortEtf_Low_max,PowerShares Golden Dragon China PortEtf_Low_min,PowerShares Golden Dragon China PortEtf_Close_average,PowerShares Golden Dragon China PortEtf_Close_max,PowerShares Golden Dragon China PortEtf_Close_min
2018-05-27,0.4621974444628327,0.4621974444628327,0.4621974444628327,0.6184779429515228,0.6184779429515228,0.6184779429515228,0.6602802426021115,0.6602802426021115,0.6602802426021115,0.6021772792609749,0.6021772792609749,0.6021772792609749
2018-06-03,0.9932991526320376,0.9932991526320376,0.9932991526320376,1.2644648751697996,1.2644648751697996,1.2644648751697996,1.039461407200835,1.039461407200835,1.039461407200835,1.2849208362602702,1.2849208362602702,1.2849208362602702
2018-06-10,1.6508631777063494,1.6508631777063494,1.6508631777063494,1.638461273252152,1.638461273252152,1.638461273252152,1.6108735434554755,1.6108735434554755,1.6108735434554755,1.6724839261369246,1.6724839261369246,1.6724839261369246
2018-06-17,0.9093125753833277,0.9093125753833277,0.9093125753833277,0.6889332491861382,0.6889332491861382,0.6889332491861382,0.7136080499237903,0.7136080499237903,0.7136080499237903,0.694084498956321,0.694084498956321,0.694084498956321
2018-06-24,-0.8053651716384079,-0.8053651716384079,-0.8053651716384079,-0.8757269364220277,-0.8757269364220277,-0.8757269364220277,-0.6945643981032261,-0.6945643981032261,-0.6945643981032261,-0.8557484897486493,-0.8557484897486493,-0.8557484897486493
2018-07-01,-1.2863061436958512,-1.2863061436958512,-1.2863061436958512,-0.8374666835800323,-0.8374666835800323,-0.8374666835800323,-1.082696593838412,-1.082696593838412,-1.082696593838412,-0.6414749556915215,-0.6414749556915215,-0.6414749556915215
2018-07-08,-0.2754339720120739,-0.2754339720120739,-0.2754339720120739,-0.5197961262653279,-0.5197961262653279,-0.5197961262653279,-0.384412070814551,-0.384412070814551,-0.384412070814551,-0.554991192517859,-0.554991192517859,-0.554991192517859
2018-07-15,-1.0191615068351023,-1.0191615068351023,-1.0191615068351023,-1.0560484641557375,-1.0560484641557375,-1.0560484641557375,-0.8579215628927357,-0.8579215628927357,-0.8579215628927357,-1.0390553784229357,-1.0390553784229357,-1.0390553784229357
2018-07-22,-0.6517167149198952,-0.6517167149198952,-0.6517167149198952,-0.8806561481147877,-0.8806561481147877,-0.8806561481147877,-1.1592533432374512,-1.1592533432374512,-1.1592533432374512,-1.2000740171430992,-1.2000740171430992,-1.2000740171430992
2018-07-29,-2.173227489238571,-2.173227489238571,-2.173227489238571,-2.285493106390628,-2.285493106390628,-2.285493106390628,-2.1565351523533645,-2.1565351523533645,-2.1565351523533645,-2.174249956946805,-2.174249956946805,-2.174249956946805
2018-08-05,-2.363885362785226,-2.363885362785226,-2.363885362785226,-2.355173615059445,-2.355173615059445,-2.355173615059445,-2.2427324885191227,-2.2427324885191227,-2.2427324885191227,-2.182294579858557,-2.182294579858557,-2.182294579858557
2018-08-12,-2.6875331012908386,-2.6875331012908386,-2.6875331012908386,-2.6054884172399535,-2.6054884172399535,-2.6054884172399535,-2.648069697885224,-2.648069697885224,-2.648069697885224,-2.515391526059077,-2.515391526059077,-2.515391526059077
2018-08-19,-1.9442846964411855,-1.9442846964411855,-1.9442846964411855,-2.0204460186274216,-2.0204460186274216,-2.0204460186274216,-1.913445070289847,-1.913445070289847,-1.913445070289847,-1.9672173895381764,-1.9672173895381764,-1.9672173895381764
