Date,iShares Emerging Markets Local Currency BondEtf_Open_average,iShares Emerging Markets Local Currency BondEtf_Open_max,iShares Emerging Markets Local Currency BondEtf_Open_min,iShares Emerging Markets Local Currency BondEtf_High_average,iShares Emerging Markets Local Currency BondEtf_High_max,iShares Emerging Markets Local Currency BondEtf_High_min,iShares Emerging Markets Local Currency BondEtf_Low_average,iShares Emerging Markets Local Currency BondEtf_Low_max,iShares Emerging Markets Local Currency BondEtf_Low_min,iShares Emerging Markets Local Currency BondEtf_Close_average,iShares Emerging Markets Local Currency BondEtf_Close_max,iShares Emerging Markets Local Currency BondEtf_Close_min
2018-05-27,-2.084809204924317,-2.084809204924317,-2.084809204924317,-2.027721791536149,-2.027721791536149,-2.027721791536149,-2.066096536245638,-2.066096536245638,-2.066096536245638,-2.112231848536781,-2.112231848536781,-2.112231848536781
2018-06-03,-1.996553258461596,-1.996553258461596,-1.996553258461596,-1.8487590090150086,-1.8487590090150086,-1.8487590090150086,-1.950269362342018,-1.950269362342018,-1.950269362342018,-1.8060860501964462,-1.8060860501964462,-1.8060860501964462
2018-06-10,-2.0214386644068822,-2.0214386644068822,-2.0214386644068822,-2.080751262138665,-2.080751262138665,-2.080751262138665,-2.020945798029141,-2.020945798029141,-2.020945798029141,-2.0685623349220252,-2.0685623349220252,-2.0685623349220252
2018-06-17,-1.7176642002892246,-1.7176642002892246,-1.7176642002892246,-1.6801361478758285,-1.6801361478758285,-1.6801361478758285,-1.6327641097857641,-1.6327641097857641,-1.6327641097857641,-1.6356286525653818,-1.6356286525653818,-1.6356286525653818
2018-06-24,-1.582114735669658,-1.582114735669658,-1.582114735669658,-1.608395963746385,-1.608395963746385,-1.608395963746385,-1.6289718972096958,-1.6289718972096958,-1.6289718972096958,-1.6536088330618501,-1.6536088330618501,-1.6536088330618501
2018-07-01,-1.374270624099652,-1.374270624099652,-1.374270624099652,-1.327335749614781,-1.327335749614781,-1.327335749614781,-1.3050375707543584,-1.3050375707543584,-1.3050375707543584,-1.2983156716767763,-1.2983156716767763,-1.2983156716767763
2018-07-08,-1.1965529914260422,-1.1965529914260422,-1.1965529914260422,-1.1982466022522538,-1.1982466022522538,-1.1982466022522538,-1.1512757678869296,-1.1512757678869296,-1.1512757678869296,-1.1658351954364699,-1.1658351954364699,-1.1658351954364699
2018-07-15,-1.0274217753420727,-1.0274217753420727,-1.0274217753420727,-1.033177773101007,-1.033177773101007,-1.033177773101007,-1.014228268956329,-1.014228268956329,-1.014228268956329,-1.0314782028226404,-1.0314782028226404,-1.0314782028226404
2018-07-22,-0.7471578139406988,-0.7471578139406988,-0.7471578139406988,-0.7548723106672695,-0.7548723106672695,-0.7548723106672695,-0.73614705222004,-0.73614705222004,-0.73614705222004,-0.7499955909026695,-0.7499955909026695,-0.7499955909026695
2018-07-29,-0.7523100888028587,-0.7523100888028587,-0.7523100888028587,-0.7017463486448171,-0.7017463486448171,-0.7017463486448171,-0.6918392239025891,-0.6918392239025891,-0.6918392239025891,-0.6505702080518565,-0.6505702080518565,-0.6505702080518565
