Date,PowerShares DB GoldEtf_Open_average,PowerShares DB GoldEtf_Open_max,PowerShares DB GoldEtf_Open_min,PowerShares DB GoldEtf_High_average,PowerShares DB GoldEtf_High_max,PowerShares DB GoldEtf_High_min,PowerShares DB GoldEtf_Low_average,PowerShares DB GoldEtf_Low_max,PowerShares DB GoldEtf_Low_min,PowerShares DB GoldEtf_Close_average,PowerShares DB GoldEtf_Close_max,PowerShares DB GoldEtf_Close_min
2018-05-27,-1.895551437951766,-1.895551437951766,-1.895551437951766,-1.6932088956900635,-1.6932088956900635,-1.6932088956900635,-1.8193249426224745,-1.8193249426224745,-1.8193249426224745,-1.892173177087131,-1.892173177087131,-1.892173177087131
2018-06-03,-1.3705483566872276,-1.3705483566872276,-1.3705483566872276,-1.4792934722731503,-1.4792934722731503,-1.4792934722731503,-1.4017152478860704,-1.4017152478860704,-1.4017152478860704,-1.4438547185858548,-1.4438547185858548,-1.4438547185858548
2018-06-10,-1.830837532682434,-1.830837532682434,-1.830837532682434,-1.931484220028579,-1.931484220028579,-1.931484220028579,-2.166821436461104,-2.166821436461104,-2.166821436461104,-2.0783238046029155,-2.0783238046029155,-2.0783238046029155
2018-06-17,-2.262090641440627,-2.262090641440627,-2.262090641440627,-2.1986574291119894,-2.1986574291119894,-2.1986574291119894,-2.129174078599901,-2.129174078599901,-2.129174078599901,-2.0978225518216567,-2.0978225518216567,-2.0978225518216567
2018-06-24,-2.378411398129429,-2.378411398129429,-2.378411398129429,-2.3160032480302535,-2.3160032480302535,-2.3160032480302535,-2.3212037527768934,-2.3212037527768934,-2.3212037527768934,-2.3196303422019167,-2.3196303422019167,-2.3196303422019167
2018-07-01,-1.7604912960868717,-1.7604912960868717,-1.7604912960868717,-1.869617521614879,-1.869617521614879,-1.869617521614879,-1.8583988392955306,-1.8583988392955306,-1.8583988392955306,-1.938200538536837,-1.938200538536837,-1.938200538536837
2018-07-08,-2.0357628042152114,-2.0357628042152114,-2.0357628042152114,-2.1049667796279956,-2.1049667796279956,-2.1049667796279956,-1.9736346537515972,-1.9736346537515972,-1.9736346537515972,-2.024410973941421,-2.024410973941421,-2.024410973941421
2018-07-15,-2.039461226203278,-2.039461226203278,-2.039461226203278,-2.039242533375269,-2.039242533375269,-2.039242533375269,-1.9807432313661184,-1.9807432313661184,-1.9807432313661184,-1.985682207539538,-1.985682207539538,-1.985682207539538
2018-07-22,-1.842444498610852,-1.842444498610852,-1.842444498610852,-1.8361600763262083,-1.8361600763262083,-1.8361600763262083,-1.8073253076056117,-1.8073253076056117,-1.8073253076056117,-1.8668467771531974,-1.8668467771531974,-1.8668467771531974
2018-07-29,-1.7310985975688757,-1.7310985975688757,-1.7310985975688757,-1.7089504266950017,-1.7089504266950017,-1.7089504266950017,-1.7565798184374934,-1.7565798184374934,-1.7565798184374934,-1.765818115239175,-1.765818115239175,-1.765818115239175
