Date,ProShares Ultra GoldEtf_Open_average,ProShares Ultra GoldEtf_Open_max,ProShares Ultra GoldEtf_Open_min,ProShares Ultra GoldEtf_High_average,ProShares Ultra GoldEtf_High_max,ProShares Ultra GoldEtf_High_min,ProShares Ultra GoldEtf_Low_average,ProShares Ultra GoldEtf_Low_max,ProShares Ultra GoldEtf_Low_min,ProShares Ultra GoldEtf_Close_average,ProShares Ultra GoldEtf_Close_max,ProShares Ultra GoldEtf_Close_min
2018-04-08,0.2622953383334331,0.2622953383334331,0.2622953383334331,0.6076126722549988,0.6076126722549988,0.6076126722549988,0.536625770339995,0.536625770339995,0.536625770339995,0.6859849088566516,0.6859849088566516,0.6859849088566516
2018-04-15,0.016114976910333628,0.016114976910333628,0.016114976910333628,0.008012585753274406,0.008012585753274406,0.008012585753274406,0.18731298906517638,0.18731298906517638,0.18731298906517638,0.041928693982387355,0.041928693982387355,0.041928693982387355
2018-04-22,-1.097985960154689,-1.097985960154689,-1.097985960154689,-0.9278305121723089,-0.9278305121723089,-0.9278305121723089,-0.9636766574085087,-0.9636766574085087,-0.9636766574085087,-0.8896095405470053,-0.8896095405470053,-0.8896095405470053
2018-04-29,-1.6648308252034674,-1.6648308252034674,-1.6648308252034674,-1.4644318409560653,-1.4644318409560653,-1.4644318409560653,-1.6122394208229176,-1.6122394208229176,-1.6122394208229176,-1.4885510471698296,-1.4885510471698296,-1.4885510471698296
2018-05-06,-0.6406106376703192,-0.6406106376703192,-0.6406106376703192,-0.7626915750636579,-0.7626915750636579,-0.7626915750636579,-0.8596874564321132,-0.8596874564321132,-0.8596874564321132,-1.0997116084100036,-1.0997116084100036,-1.0997116084100036
2018-05-13,-2.4040212817730082,-2.4040212817730082,-2.4040212817730082,-2.4107690401861768,-2.4107690401861768,-2.4107690401861768,-2.3341809753876603,-2.3341809753876603,-2.3341809753876603,-2.3884514875167167,-2.3884514875167167,-2.3884514875167167
2018-05-20,-1.300583354080751,-1.300583354080751,-1.300583354080751,-1.3900750957004144,-1.3900750957004144,-1.3900750957004144,-1.3257304920760404,-1.3257304920760404,-1.3257304920760404,-1.514211881522091,-1.514211881522091,-1.514211881522091
2018-05-27,-1.5373626801524058,-1.5373626801524058,-1.5373626801524058,-1.5010500511246088,-1.5010500511246088,-1.5010500511246088,-1.5378821504614182,-1.5378821504614182,-1.5378821504614182,-1.6176365988333807,-1.6176365988333807,-1.6176365988333807
2018-06-03,-1.1071193284540504,-1.1071193284540504,-1.1071193284540504,-1.2297049106537536,-1.2297049106537536,-1.2297049106537536,-1.1134519310395825,-1.1134519310395825,-1.1134519310395825,-1.147286706029179,-1.147286706029179,-1.147286706029179
2018-06-10,-1.3787762634517937,-1.3787762634517937,-1.3787762634517937,-1.4441035570281349,-1.4441035570281349,-1.4441035570281349,-1.714225136701405,-1.714225136701405,-1.714225136701405,-1.6456244062114485,-1.6456244062114485,-1.6456244062114485
2018-06-17,-1.8882330895840769,-1.8882330895840769,-1.8882330895840769,-1.8111740714487106,-1.8111740714487106,-1.8111740714487106,-1.7355070064297107,-1.7355070064297107,-1.7355070064297107,-1.740264018475029,-1.740264018475029,-1.740264018475029
2018-06-24,-1.9562708525700188,-1.9562708525700188,-1.9562708525700188,-1.894321907398228,-1.894321907398228,-1.894321907398228,-1.8615993477502135,-1.8615993477502135,-1.8615993477502135,-1.8603724825939219,-1.8603724825939219,-1.8603724825939219
2018-07-01,-1.4560084939218183,-1.4560084939218183,-1.4560084939218183,-1.5090547934109424,-1.5090547934109424,-1.5090547934109424,-1.47237447170244,-1.47237447170244,-1.47237447170244,-1.4756642696662907,-1.4756642696662907,-1.4756642696662907
2018-07-08,-1.6269585765341839,-1.6269585765341839,-1.6269585765341839,-1.6347147463345086,-1.6347147463345086,-1.6347147463345086,-1.65685740550937,-1.65685740550937,-1.65685740550937,-1.6183701316703514,-1.6183701316703514,-1.6183701316703514
2018-07-15,-1.7151885145265864,-1.7151885145265864,-1.7151885145265864,-1.7239837631358665,-1.7239837631358665,-1.7239837631358665,-1.6720799264895405,-1.6720799264895405,-1.6720799264895405,-1.6702816560103755,-1.6702816560103755,-1.6702816560103755
2018-07-22,-1.560081932743909,-1.560081932743909,-1.560081932743909,-1.540309536984875,-1.540309536984875,-1.540309536984875,-1.5358739641472452,-1.5358739641472452,-1.5358739641472452,-1.5837589133292223,-1.5837589133292223,-1.5837589133292223
2018-07-29,-1.5143753848429133,-1.5143753848429133,-1.5143753848429133,-1.4978562672369469,-1.4978562672369469,-1.4978562672369469,-1.5236756561984504,-1.5236756561984504,-1.5236756561984504,-1.5568239822906165,-1.5568239822906165,-1.5568239822906165
2018-08-05,-1.399458310663656,-1.399458310663656,-1.399458310663656,-1.3946778717512034,-1.3946778717512034,-1.3946778717512034,-1.4102111310877492,-1.4102111310877492,-1.4102111310877492,-1.4443206191933888,-1.4443206191933888,-1.4443206191933888
2018-08-12,-1.7842402000838387,-1.7842402000838387,-1.7842402000838387,-1.7930524500197846,-1.7930524500197846,-1.7930524500197846,-1.8324596193031581,-1.8324596193031581,-1.8324596193031581,-1.74169250882078,-1.74169250882078,-1.74169250882078
2018-08-19,-1.2236396840608246,-1.2236396840608246,-1.2236396840608246,-1.0891677974211504,-1.0891677974211504,-1.0891677974211504,-1.2478888494325515,-1.2478888494325515,-1.2478888494325515,-1.0854815353104175,-1.0854815353104175,-1.0854815353104175
2018-08-26,-0.9596582887209455,-0.9596582887209455,-0.9596582887209455,-1.047695373284228,-1.047695373284228,-1.047695373284228,-1.0131544115356752,-1.0131544115356752,-1.0131544115356752,-1.1038038655552629,-1.1038038655552629,-1.1038038655552629
2018-09-02,-1.0211811983348962,-1.0211811983348962,-1.0211811983348962,-1.0847589481478181,-1.0847589481478181,-1.0847589481478181,-1.0403656955886227,-1.0403656955886227,-1.0403656955886227,-1.0892871990365443,-1.0892871990365443,-1.0892871990365443
2018-09-09,-0.7676995319171313,-0.7676995319171313,-0.7676995319171313,-0.8991827749573854,-0.8991827749573854,-0.8991827749573854,-0.9618512433624116,-0.9618512433624116,-0.9618512433624116,-1.057569179352605,-1.057569179352605,-1.057569179352605
2018-09-16,-1.0309138246953564,-1.0309138246953564,-1.0309138246953564,-0.8797024730055345,-0.8797024730055345,-0.8797024730055345,-0.9117359622700645,-0.9117359622700645,-0.9117359622700645,-0.8049855399493541,-0.8049855399493541,-0.8049855399493541
2018-09-23,-1.1096520119039546,-1.1096520119039546,-1.1096520119039546,-1.0634543962043632,-1.0634543962043632,-1.0634543962043632,-1.044367923560356,-1.044367923560356,-1.044367923560356,-0.979090596630518,-0.979090596630518,-0.979090596630518
2018-09-30,-0.3327999906485336,-0.3327999906485336,-0.3327999906485336,-0.5419331833542805,-0.5419331833542805,-0.5419331833542805,-0.33893643583699257,-0.33893643583699257,-0.33893643583699257,-0.405605315234152,-0.405605315234152,-0.405605315234152
2018-10-07,0.8073101471102513,0.8073101471102513,0.8073101471102513,0.6435934764258949,0.6435934764258949,0.6435934764258949,0.6443615779728896,0.6443615779728896,0.6443615779728896,0.5775587417375184,0.5775587417375184,0.5775587417375184
