Date,VanEck Vectors JP Morgan EM Local Currency BdEtf_Open_average,VanEck Vectors JP Morgan EM Local Currency BdEtf_Open_max,VanEck Vectors JP Morgan EM Local Currency BdEtf_Open_min,VanEck Vectors JP Morgan EM Local Currency BdEtf_High_average,VanEck Vectors JP Morgan EM Local Currency BdEtf_High_max,VanEck Vectors JP Morgan EM Local Currency BdEtf_High_min,VanEck Vectors JP Morgan EM Local Currency BdEtf_Low_average,VanEck Vectors JP Morgan EM Local Currency BdEtf_Low_max,VanEck Vectors JP Morgan EM Local Currency BdEtf_Low_min,VanEck Vectors JP Morgan EM Local Currency BdEtf_Close_average,VanEck Vectors JP Morgan EM Local Currency BdEtf_Close_max,VanEck Vectors JP Morgan EM Local Currency BdEtf_Close_min
2018-05-27,-2.027942637429421,-2.027942637429421,-2.027942637429421,-2.023634981416957,-2.023634981416957,-2.023634981416957,-2.0054679309438566,-2.0054679309438566,-2.0054679309438566,-2.0411579494555885,-2.0411579494555885,-2.0411579494555885
2018-06-03,-1.882571807888751,-1.882571807888751,-1.882571807888751,-1.8881587396017028,-1.8881587396017028,-1.8881587396017028,-1.946229409267095,-1.946229409267095,-1.946229409267095,-1.8496903776474691,-1.8496903776474691,-1.8496903776474691
2018-06-10,-2.034118249375651,-2.034118249375651,-2.034118249375651,-2.035379460468431,-2.035379460468431,-2.035379460468431,-2.021659762022842,-2.021659762022842,-2.021659762022842,-1.9993153340777583,-1.9993153340777583,-1.9993153340777583
2018-06-17,-1.690311413183657,-1.690311413183657,-1.690311413183657,-1.6805235925469502,-1.6805235925469502,-1.6805235925469502,-1.6591166521597274,-1.6591166521597274,-1.6591166521597274,-1.6585016348914676,-1.6585016348914676,-1.6585016348914676
2018-06-24,-1.6136698123732403,-1.6136698123732403,-1.6136698123732403,-1.6094995952034785,-1.6094995952034785,-1.6094995952034785,-1.600953053605344,-1.600953053605344,-1.600953053605344,-1.6390879608262974,-1.6390879608262974,-1.6390879608262974
2018-07-01,-1.4077727589346558,-1.4077727589346558,-1.4077727589346558,-1.339319351036654,-1.339319351036654,-1.339319351036654,-1.3500901050364447,-1.3500901050364447,-1.3500901050364447,-1.3069444210372727,-1.3069444210372727,-1.3069444210372727
2018-07-08,-1.2261523274140307,-1.2261523274140307,-1.2261523274140307,-1.2029719754835182,-1.2029719754835182,-1.2029719754835182,-1.1941883012431855,-1.1941883012431855,-1.1941883012431855,-1.210963593274269,-1.210963593274269,-1.210963593274269
2018-07-15,-1.0429120987071963,-1.0429120987071963,-1.0429120987071963,-1.0739893783824819,-1.0739893783824819,-1.0739893783824819,-1.0518114380939412,-1.0518114380939412,-1.0518114380939412,-1.067888015397212,-1.067888015397212,-1.067888015397212
2018-07-22,-0.7530451643399241,-0.7530451643399241,-0.7530451643399241,-0.756984195418499,-0.756984195418499,-0.756984195418499,-0.7325522075300686,-0.7325522075300686,-0.7325522075300686,-0.7663699510548675,-0.7663699510548675,-0.7663699510548675
2018-07-29,-0.885223482613893,-0.885223482613893,-0.885223482613893,-0.8849538130761444,-0.8849538130761444,-0.8849538130761444,-0.8767218961603878,-0.8767218961603878,-0.8767218961603878,-0.8883394190019555,-0.8883394190019555,-0.8883394190019555
