Date,ProShares Short High Yield_etf_Open_average,ProShares Short High Yield_etf_Open_max,ProShares Short High Yield_etf_Open_min,ProShares Short High Yield_etf_High_average,ProShares Short High Yield_etf_High_max,ProShares Short High Yield_etf_High_min,ProShares Short High Yield_etf_Low_average,ProShares Short High Yield_etf_Low_max,ProShares Short High Yield_etf_Low_min,ProShares Short High Yield_etf_Close_average,ProShares Short High Yield_etf_Close_max,ProShares Short High Yield_etf_Close_min
2018-04-08,-1.3905312003938537,-1.3905312003938537,-1.3905312003938537,-1.2220992684068233,-1.2220992684068233,-1.2220992684068233,-1.2523761649473255,-1.2523761649473255,-1.2523761649473255,-1.1076955291468413,-1.1076955291468413,-1.1076955291468413
2018-04-15,-1.0325881674711859,-1.0325881674711859,-1.0325881674711859,-0.8226049059523945,-0.8226049059523945,-0.8226049059523945,-0.7346725314783186,-0.7346725314783186,-0.7346725314783186,-0.6842211013607891,-0.6842211013607891,-0.6842211013607891
2018-04-22,-0.7533344465381393,-0.7533344465381393,-0.7533344465381393,-0.6117090486137144,-0.6117090486137144,-0.6117090486137144,-0.6129713330865696,-0.6129713330865696,-0.6129713330865696,-0.6328775911610721,-0.6328775911610721,-0.6328775911610721
2018-04-29,-0.42355872480152534,-0.42355872480152534,-0.42355872480152534,-0.49530333835574114,-0.49530333835574114,-0.49530333835574114,-0.40473800512237845,-0.40473800512237845,-0.40473800512237845,-0.5241172110259674,-0.5241172110259674,-0.5241172110259674
2018-05-06,-1.360251396793616,-1.360251396793616,-1.360251396793616,-1.3934751200043254,-1.3934751200043254,-1.3934751200043254,-1.3100991171057812,-1.3100991171057812,-1.3100991171057812,-1.1443665364950308,-1.1443665364950308,-1.1443665364950308
2018-05-13,0.09180252063804586,0.09180252063804586,0.09180252063804586,-0.10800976859390013,-0.10800976859390013,-0.10800976859390013,-0.15442637645677207,-0.15442637645677207,-0.15442637645677207,-0.18062722761614258,-0.18062722761614258,-0.18062722761614258
2018-05-20,-0.8805763781998895,-0.8805763781998895,-0.8805763781998895,-0.7312724241271402,-0.7312724241271402,-0.7312724241271402,-0.656089841364272,-0.656089841364272,-0.656089841364272,-0.6190167398980077,-0.6190167398980077,-0.6190167398980077
2018-05-27,-0.533120303185482,-0.533120303185482,-0.533120303185482,-0.6148293426674005,-0.6148293426674005,-0.6148293426674005,-0.3776551935632891,-0.3776551935632891,-0.3776551935632891,-0.3925998657451348,-0.3925998657451348,-0.3925998657451348
2018-06-03,-1.0486342911774271,-1.0486342911774271,-1.0486342911774271,-1.000614362604749,-1.000614362604749,-1.000614362604749,-1.2214354280538062,-1.2214354280538062,-1.2214354280538062,-1.1774675653654827,-1.1774675653654827,-1.1774675653654827
2018-06-10,-1.9670479525319728,-1.9670479525319728,-1.9670479525319728,-1.7482801917278994,-1.7482801917278994,-1.7482801917278994,-1.9733163853043558,-1.9733163853043558,-1.9733163853043558,-1.821863136385386,-1.821863136385386,-1.821863136385386
