Date,QuantShares US Market Neutral ValueEtf_Open_average,QuantShares US Market Neutral ValueEtf_Open_max,QuantShares US Market Neutral ValueEtf_Open_min,QuantShares US Market Neutral ValueEtf_High_average,QuantShares US Market Neutral ValueEtf_High_max,QuantShares US Market Neutral ValueEtf_High_min,QuantShares US Market Neutral ValueEtf_Low_average,QuantShares US Market Neutral ValueEtf_Low_max,QuantShares US Market Neutral ValueEtf_Low_min,QuantShares US Market Neutral ValueEtf_Close_average,QuantShares US Market Neutral ValueEtf_Close_max,QuantShares US Market Neutral ValueEtf_Close_min
2018-05-27,-1.6784609550369605,-1.6784609550369605,-1.6784609550369605,-1.7198005153109763,-1.7198005153109763,-1.7198005153109763,-1.7804828364225953,-1.7804828364225953,-1.7804828364225953,-1.8464059401412556,-1.8464059401412556,-1.8464059401412556
2018-06-03,-1.8191778228952313,-1.8191778228952313,-1.8191778228952313,-1.5484913251519201,-1.5484913251519201,-1.5484913251519201,-1.7429912508368772,-1.7429912508368772,-1.7429912508368772,-1.7131596503675512,-1.7131596503675512,-1.7131596503675512
2018-06-10,-1.0621520460802434,-1.0621520460802434,-1.0621520460802434,-1.137738506666098,-1.137738506666098,-1.137738506666098,-0.9898725567860567,-0.9898725567860567,-0.9898725567860567,-1.048110034803396,-1.048110034803396,-1.048110034803396
2018-06-17,-1.0348406672853137,-1.0348406672853137,-1.0348406672853137,-1.0821438522032218,-1.0821438522032218,-1.0821438522032218,-0.9667731365277554,-0.9667731365277554,-0.9667731365277554,-1.0150463265953285,-1.0150463265953285,-1.0150463265953285
2018-06-24,-1.5961688508480119,-1.5961688508480119,-1.5961688508480119,-1.5892885730085724,-1.5892885730085724,-1.5892885730085724,-1.5304139821270122,-1.5304139821270122,-1.5304139821270122,-1.5314560162236277,-1.5314560162236277,-1.5314560162236277
2018-07-01,-1.6043010102135529,-1.6043010102135529,-1.6043010102135529,-1.5564914741201834,-1.5564914741201834,-1.5564914741201834,-1.5281278096953006,-1.5281278096953006,-1.5281278096953006,-1.5045352621369652,-1.5045352621369652,-1.5045352621369652
2018-07-08,-1.9735448625193004,-1.9735448625193004,-1.9735448625193004,-2.06051725649358,-2.06051725649358,-2.06051725649358,-1.918511972843059,-1.918511972843059,-1.918511972843059,-1.9579661095736824,-1.9579661095736824,-1.9579661095736824
2018-07-15,-1.9271582223592003,-1.9271582223592003,-1.9271582223592003,-1.9910309957239427,-1.9910309957239427,-1.9910309957239427,-1.8932149577627613,-1.8932149577627613,-1.8932149577627613,-1.9191729464561387,-1.9191729464561387,-1.9191729464561387
2018-07-22,-1.9050318482346287,-1.9050318482346287,-1.9050318482346287,-1.7388039815157192,-1.7388039815157192,-1.7388039815157192,-1.8885836421252382,-1.8885836421252382,-1.8885836421252382,-1.6879507573407788,-1.6879507573407788,-1.6879507573407788
2018-07-29,-1.3912979615518946,-1.3912979615518946,-1.3912979615518946,-1.1573191286759241,-1.1573191286759241,-1.1573191286759241,-1.3760583575225895,-1.3760583575225895,-1.3760583575225895,-1.1123128121810502,-1.1123128121810502,-1.1123128121810502
