Date,PowerShares S&P Emerging Markets Low VolatilityEtf_Open_average,PowerShares S&P Emerging Markets Low VolatilityEtf_Open_max,PowerShares S&P Emerging Markets Low VolatilityEtf_Open_min,PowerShares S&P Emerging Markets Low VolatilityEtf_High_average,PowerShares S&P Emerging Markets Low VolatilityEtf_High_max,PowerShares S&P Emerging Markets Low VolatilityEtf_High_min,PowerShares S&P Emerging Markets Low VolatilityEtf_Low_average,PowerShares S&P Emerging Markets Low VolatilityEtf_Low_max,PowerShares S&P Emerging Markets Low VolatilityEtf_Low_min,PowerShares S&P Emerging Markets Low VolatilityEtf_Close_average,PowerShares S&P Emerging Markets Low VolatilityEtf_Close_max,PowerShares S&P Emerging Markets Low VolatilityEtf_Close_min
2018-05-27,-1.4411449964046266,-1.4411449964046266,-1.4411449964046266,-1.4143968361844963,-1.4143968361844963,-1.4143968361844963,-1.4245906321632376,-1.4245906321632376,-1.4245906321632376,-1.6580325087668266,-1.6580325087668266,-1.6580325087668266
2018-06-03,-1.2517054590976808,-1.2517054590976808,-1.2517054590976808,-1.2800373335263504,-1.2800373335263504,-1.2800373335263504,-1.1322563980739773,-1.1322563980739773,-1.1322563980739773,-1.1282730846196167,-1.1282730846196167,-1.1282730846196167
2018-06-10,-1.920355740831292,-1.920355740831292,-1.920355740831292,-2.1742198711385825,-2.1742198711385825,-2.1742198711385825,-1.9820322409894815,-1.9820322409894815,-1.9820322409894815,-2.0601300890603045,-2.0601300890603045,-2.0601300890603045
2018-06-17,-2.5619421212579843,-2.5619421212579843,-2.5619421212579843,-2.642939096025574,-2.642939096025574,-2.642939096025574,-2.4014236790831864,-2.4014236790831864,-2.4014236790831864,-2.616846300637553,-2.616846300637553,-2.616846300637553
2018-06-24,-2.5943763572597174,-2.5943763572597174,-2.5943763572597174,-2.549670415149811,-2.549670415149811,-2.549670415149811,-2.524179885159117,-2.524179885159117,-2.524179885159117,-2.551523244437929,-2.551523244437929,-2.551523244437929
2018-07-01,-2.0917212341683684,-2.0917212341683684,-2.0917212341683684,-1.9892294193841238,-1.9892294193841238,-1.9892294193841238,-2.005130642931502,-2.005130642931502,-2.005130642931502,-1.9676458112155415,-1.9676458112155415,-1.9676458112155415
2018-07-08,-1.5273462032076084,-1.5273462032076084,-1.5273462032076084,-1.4444290840054952,-1.4444290840054952,-1.4444290840054952,-1.4748553378161258,-1.4748553378161258,-1.4748553378161258,-1.3345640317867582,-1.3345640317867582,-1.3345640317867582
2018-07-15,-1.1688178541816205,-1.1688178541816205,-1.1688178541816205,-1.069913929811374,-1.069913929811374,-1.069913929811374,-1.0920780178106317,-1.0920780178106317,-1.0920780178106317,-0.959067284099264,-0.959067284099264,-0.959067284099264
2018-07-22,-0.3714553012784566,-0.3714553012784566,-0.3714553012784566,-0.45437710558252564,-0.45437710558252564,-0.45437710558252564,-0.382978285440202,-0.382978285440202,-0.382978285440202,-0.47449797637911445,-0.47449797637911445,-0.47449797637911445
2018-07-29,-0.544182896733903,-0.544182896733903,-0.544182896733903,-0.5419149482110814,-0.5419149482110814,-0.5419149482110814,-0.4483066748986847,-0.4483066748986847,-0.4483066748986847,-0.536614328001106,-0.536614328001106,-0.536614328001106
2018-08-05,-0.857056075181427,-0.857056075181427,-0.857056075181427,-1.0089043316818784,-1.0089043316818784,-1.0089043316818784,-1.0264796503725695,-1.0264796503725695,-1.0264796503725695,-1.0120503793414033,-1.0120503793414033,-1.0120503793414033
