Date,KraneShares MSCI One Belt One Road_Open_average,KraneShares MSCI One Belt One Road_Open_max,KraneShares MSCI One Belt One Road_Open_min,KraneShares MSCI One Belt One Road_High_average,KraneShares MSCI One Belt One Road_High_max,KraneShares MSCI One Belt One Road_High_min,KraneShares MSCI One Belt One Road_Low_average,KraneShares MSCI One Belt One Road_Low_max,KraneShares MSCI One Belt One Road_Low_min,KraneShares MSCI One Belt One Road_Close_average,KraneShares MSCI One Belt One Road_Close_max,KraneShares MSCI One Belt One Road_Close_min
2018-04-08,-0.840670920738928,-0.840670920738928,-0.840670920738928,-0.9698602853439269,-0.9698602853439269,-0.9698602853439269,-0.7416179277872504,-0.7416179277872504,-0.7416179277872504,-0.78417973733705,-0.78417973733705,-0.78417973733705
2018-04-15,-0.6917757543422745,-0.6917757543422745,-0.6917757543422745,-0.8427615636974529,-0.8427615636974529,-0.8427615636974529,-0.7137504176216641,-0.7137504176216641,-0.7137504176216641,-0.8334279741070579,-0.8334279741070579,-0.8334279741070579
2018-04-22,-0.5299189297765886,-0.5299189297765886,-0.5299189297765886,-0.6909459980336818,-0.6909459980336818,-0.6909459980336818,-0.3704464498219966,-0.3704464498219966,-0.3704464498219966,-0.6124901859590628,-0.6124901859590628,-0.6124901859590628
2018-04-29,-1.0894936112347284,-1.0894936112347284,-1.0894936112347284,-1.2001933253763997,-1.2001933253763997,-1.2001933253763997,-0.9256630690286811,-0.9256630690286811,-0.9256630690286811,-1.0122718443371326,-1.0122718443371326,-1.0122718443371326
2018-05-06,-0.39010746829977105,-0.39010746829977105,-0.39010746829977105,-0.4554126416403217,-0.4554126416403217,-0.4554126416403217,-0.37167597071727304,-0.37167597071727304,-0.37167597071727304,-0.5402915907544382,-0.5402915907544382,-0.5402915907544382
2018-05-13,-0.4390128859637671,-0.4390128859637671,-0.4390128859637671,-0.5212474530692643,-0.5212474530692643,-0.5212474530692643,-0.25967583240082714,-0.25967583240082714,-0.25967583240082714,-0.3918504222381488,-0.3918504222381488,-0.3918504222381488
2018-05-20,-1.552404314021372,-1.552404314021372,-1.552404314021372,-1.561506863069986,-1.561506863069986,-1.561506863069986,-1.2388776154017802,-1.2388776154017802,-1.2388776154017802,-1.371994503056201,-1.371994503056201,-1.371994503056201
2018-05-27,-1.7038686884254255,-1.7038686884254255,-1.7038686884254255,-1.7444527445716245,-1.7444527445716245,-1.7444527445716245,-1.5212796559476953,-1.5212796559476953,-1.5212796559476953,-1.5097340706771634,-1.5097340706771634,-1.5097340706771634
2018-06-03,-1.3923137181438068,-1.3923137181438068,-1.3923137181438068,-1.6125841811430601,-1.6125841811430601,-1.6125841811430601,-1.3647416022363141,-1.3647416022363141,-1.3647416022363141,-1.582606106923174,-1.582606106923174,-1.582606106923174
2018-06-10,-2.839561303938972,-2.839561303938972,-2.839561303938972,-2.864527375499446,-2.864527375499446,-2.864527375499446,-2.9569659984797605,-2.9569659984797605,-2.9569659984797605,-2.9252437730714,-2.9252437730714,-2.9252437730714
