Date,FlexShares International Quality DividendEtf_Open_average,FlexShares International Quality DividendEtf_Open_max,FlexShares International Quality DividendEtf_Open_min,FlexShares International Quality DividendEtf_High_average,FlexShares International Quality DividendEtf_High_max,FlexShares International Quality DividendEtf_High_min,FlexShares International Quality DividendEtf_Low_average,FlexShares International Quality DividendEtf_Low_max,FlexShares International Quality DividendEtf_Low_min,FlexShares International Quality DividendEtf_Close_average,FlexShares International Quality DividendEtf_Close_max,FlexShares International Quality DividendEtf_Close_min
2018-05-27,-1.4378443230265425,-1.4378443230265425,-1.4378443230265425,-1.5263814179906734,-1.5263814179906734,-1.5263814179906734,-1.3057113996645724,-1.3057113996645724,-1.3057113996645724,-1.427523712027321,-1.427523712027321,-1.427523712027321
2018-06-03,-1.3220047776453543,-1.3220047776453543,-1.3220047776453543,-1.326426826487502,-1.326426826487502,-1.326426826487502,-1.2498570531589084,-1.2498570531589084,-1.2498570531589084,-1.266320849884289,-1.266320849884289,-1.266320849884289
2018-06-10,-1.7550014597359953,-1.7550014597359953,-1.7550014597359953,-1.8220952118933518,-1.8220952118933518,-1.8220952118933518,-1.7173122151248703,-1.7173122151248703,-1.7173122151248703,-1.7661218233432714,-1.7661218233432714,-1.7661218233432714
2018-06-17,-2.5134630810512686,-2.5134630810512686,-2.5134630810512686,-2.455423377081999,-2.455423377081999,-2.455423377081999,-2.354392851736293,-2.354392851736293,-2.354392851736293,-2.4378036963964553,-2.4378036963964553,-2.4378036963964553
2018-06-24,-2.3701041376044505,-2.3701041376044505,-2.3701041376044505,-2.310029894775868,-2.310029894775868,-2.310029894775868,-2.260878455270495,-2.260878455270495,-2.260878455270495,-2.2848225296532063,-2.2848225296532063,-2.2848225296532063
2018-07-01,-1.9658165729334227,-1.9658165729334227,-1.9658165729334227,-1.834612143455934,-1.834612143455934,-1.834612143455934,-1.869456609651813,-1.869456609651813,-1.869456609651813,-1.7873751603288424,-1.7873751603288424,-1.7873751603288424
2018-07-08,-1.8101257577351733,-1.8101257577351733,-1.8101257577351733,-1.8082724297658601,-1.8082724297658601,-1.8082724297658601,-1.7838671836500144,-1.7838671836500144,-1.7838671836500144,-1.7604788192314826,-1.7604788192314826,-1.7604788192314826
2018-07-15,-1.5110105893761363,-1.5110105893761363,-1.5110105893761363,-1.4386126476146543,-1.4386126476146543,-1.4386126476146543,-1.450562276155348,-1.450562276155348,-1.450562276155348,-1.4005503510460415,-1.4005503510460415,-1.4005503510460415
2018-07-22,-0.8485425401691551,-0.8485425401691551,-0.8485425401691551,-0.9272034223377886,-0.9272034223377886,-0.9272034223377886,-0.9430340422888676,-0.9430340422888676,-0.9430340422888676,-0.9630162833140444,-0.9630162833140444,-0.9630162833140444
2018-07-29,-1.173083243305633,-1.173083243305633,-1.173083243305633,-1.1119516798975384,-1.1119516798975384,-1.1119516798975384,-1.111848344174439,-1.111848344174439,-1.111848344174439,-1.0868656570883815,-1.0868656570883815,-1.0868656570883815
