Date,iShares MSCI China A_etf_Open_average,iShares MSCI China A_etf_Open_max,iShares MSCI China A_etf_Open_min,iShares MSCI China A_etf_High_average,iShares MSCI China A_etf_High_max,iShares MSCI China A_etf_High_min,iShares MSCI China A_etf_Low_average,iShares MSCI China A_etf_Low_max,iShares MSCI China A_etf_Low_min,iShares MSCI China A_etf_Close_average,iShares MSCI China A_etf_Close_max,iShares MSCI China A_etf_Close_min
2018-04-08,-0.6627628655858062,-0.6627628655858062,-0.6627628655858062,-0.7270096630811117,-0.7270096630811117,-0.7270096630811117,-0.6725430086227859,-0.6725430086227859,-0.6725430086227859,-0.8121733501339634,-0.8121733501339634,-0.8121733501339634
2018-04-15,-1.4540519059591963,-1.4540519059591963,-1.4540519059591963,-1.4901635108951539,-1.4901635108951539,-1.4901635108951539,-1.1547584147209418,-1.1547584147209418,-1.1547584147209418,-1.3637320704130094,-1.3637320704130094,-1.3637320704130094
2018-04-22,-1.352906055845934,-1.352906055845934,-1.352906055845934,-1.3780142995372182,-1.3780142995372182,-1.3780142995372182,-1.1023887319359553,-1.1023887319359553,-1.1023887319359553,-1.2979732699109705,-1.2979732699109705,-1.2979732699109705
2018-04-29,-1.1762142019945871,-1.1762142019945871,-1.1762142019945871,-1.1905367021336837,-1.1905367021336837,-1.1905367021336837,-0.9153559377577072,-0.9153559377577072,-0.9153559377577072,-1.1107614177935414,-1.1107614177935414,-1.1107614177935414
2018-05-06,-0.2636796063648048,-0.2636796063648048,-0.2636796063648048,-0.3063310730795458,-0.3063310730795458,-0.3063310730795458,-0.15464345610319968,-0.15464345610319968,-0.15464345610319968,-0.24522188155915634,-0.24522188155915634,-0.24522188155915634
2018-05-13,-0.35475896606111146,-0.35475896606111146,-0.35475896606111146,-0.4011757242372917,-0.4011757242372917,-0.4011757242372917,-0.1992735529839708,-0.1992735529839708,-0.1992735529839708,-0.28312135254392035,-0.28312135254392035,-0.28312135254392035
2018-05-20,-0.9729092006606105,-0.9729092006606105,-0.9729092006606105,-0.7549919446821453,-0.7549919446821453,-0.7549919446821453,-0.840629613663774,-0.840629613663774,-0.840629613663774,-0.6468921942327123,-0.6468921942327123,-0.6468921942327123
2018-05-27,-0.8903542784731876,-0.8903542784731876,-0.8903542784731876,-0.7868827704559882,-0.7868827704559882,-0.7868827704559882,-0.7951893624898161,-0.7951893624898161,-0.7951893624898161,-0.7179816270401288,-0.7179816270401288,-0.7179816270401288
2018-06-03,-0.7871014642314039,-0.7871014642314039,-0.7871014642314039,-0.816193453630114,-0.816193453630114,-0.816193453630114,-0.7640075426535194,-0.7640075426535194,-0.7640075426535194,-0.7270377366062739,-0.7270377366062739,-0.7270377366062739
2018-06-10,-1.0375402634008775,-1.0375402634008775,-1.0375402634008775,-1.107891476581331,-1.107891476581331,-1.107891476581331,-1.4245948706033449,-1.4245948706033449,-1.4245948706033449,-1.318090805085939,-1.318090805085939,-1.318090805085939
