Date,ProShares UltraShort Real Estate_Open_average,ProShares UltraShort Real Estate_Open_max,ProShares UltraShort Real Estate_Open_min,ProShares UltraShort Real Estate_High_average,ProShares UltraShort Real Estate_High_max,ProShares UltraShort Real Estate_High_min,ProShares UltraShort Real Estate_Low_average,ProShares UltraShort Real Estate_Low_max,ProShares UltraShort Real Estate_Low_min,ProShares UltraShort Real Estate_Close_average,ProShares UltraShort Real Estate_Close_max,ProShares UltraShort Real Estate_Close_min
2018-04-08,0.05857531117171369,0.05857531117171369,0.05857531117171369,-0.29543548130634134,-0.29543548130634134,-0.29543548130634134,0.02228133511094314,0.02228133511094314,0.02228133511094314,-0.22043671209168386,-0.22043671209168386,-0.22043671209168386
2018-04-15,0.4270617665468083,0.4270617665468083,0.4270617665468083,0.08443274549598537,0.08443274549598537,0.08443274549598537,0.6163966894643751,0.6163966894643751,0.6163966894643751,0.40472943607360273,0.40472943607360273,0.40472943607360273
2018-04-22,-1.3396643443299583,-1.3396643443299583,-1.3396643443299583,-1.4183921031940043,-1.4183921031940043,-1.4183921031940043,-1.410565400324459,-1.410565400324459,-1.410565400324459,-1.5527674528172397,-1.5527674528172397,-1.5527674528172397
2018-04-29,-1.8188214016320816,-1.8188214016320816,-1.8188214016320816,-1.7423113840265496,-1.7423113840265496,-1.7423113840265496,-1.999212632850844,-1.999212632850844,-1.999212632850844,-2.216249500377976,-2.216249500377976,-2.216249500377976
2018-05-06,-1.8822766790985603,-1.8822766790985603,-1.8822766790985603,-1.6147630767147954,-1.6147630767147954,-1.6147630767147954,-1.9348488402487793,-1.9348488402487793,-1.9348488402487793,-1.781522272072426,-1.781522272072426,-1.781522272072426
2018-05-13,-0.4304394512954115,-0.4304394512954115,-0.4304394512954115,-0.5139301606512986,-0.5139301606512986,-0.5139301606512986,-0.7752582145851112,-0.7752582145851112,-0.7752582145851112,-1.012231045339169,-1.012231045339169,-1.012231045339169
2018-05-20,-1.0582440509329158,-1.0582440509329158,-1.0582440509329158,-1.276043744911773,-1.276043744911773,-1.276043744911773,-1.215174491810892,-1.215174491810892,-1.215174491810892,-1.3473123919356969,-1.3473123919356969,-1.3473123919356969
2018-05-27,-1.820210011578163,-1.820210011578163,-1.820210011578163,-1.9667497275777268,-1.9667497275777268,-1.9667497275777268,-1.9974654987413198,-1.9974654987413198,-1.9974654987413198,-2.1163618382163425,-2.1163618382163425,-2.1163618382163425
2018-06-03,-1.7893561654213066,-1.7893561654213066,-1.7893561654213066,-1.855186063951854,-1.855186063951854,-1.855186063951854,-1.739576296162036,-1.739576296162036,-1.739576296162036,-1.7511419323232869,-1.7511419323232869,-1.7511419323232869
2018-06-10,-1.2935056690868048,-1.2935056690868048,-1.2935056690868048,-1.2558369666863594,-1.2558369666863594,-1.2558369666863594,-1.2389994424803947,-1.2389994424803947,-1.2389994424803947,-1.3088082498214115,-1.3088082498214115,-1.3088082498214115
2018-06-17,-1.7707930980958613,-1.7707930980958613,-1.7707930980958613,-1.6447659769231069,-1.6447659769231069,-1.6447659769231069,-1.724586531953197,-1.724586531953197,-1.724586531953197,-1.6440190559135308,-1.6440190559135308,-1.6440190559135308
2018-06-24,-1.593463259639235,-1.593463259639235,-1.593463259639235,-1.428186118614777,-1.428186118614777,-1.428186118614777,-1.6151280944101891,-1.6151280944101891,-1.6151280944101891,-1.511720022751785,-1.511720022751785,-1.511720022751785
2018-07-01,-1.777415709496856,-1.777415709496856,-1.777415709496856,-1.6800352590991763,-1.6800352590991763,-1.6800352590991763,-1.7563111947644896,-1.7563111947644896,-1.7563111947644896,-1.6332618044425131,-1.6332618044425131,-1.6332618044425131
2018-07-08,-1.1577532400909525,-1.1577532400909525,-1.1577532400909525,-1.2711702454373421,-1.2711702454373421,-1.2711702454373421,-1.2068118484138854,-1.2068118484138854,-1.2068118484138854,-1.2690103033273572,-1.2690103033273572,-1.2690103033273572
2018-07-15,-0.8839113479224365,-0.8839113479224365,-0.8839113479224365,-0.8594619445314077,-0.8594619445314077,-0.8594619445314077,-0.8464929404266067,-0.8464929404266067,-0.8464929404266067,-0.8656183401008423,-0.8656183401008423,-0.8656183401008423
2018-07-22,-0.5803943677549669,-0.5803943677549669,-0.5803943677549669,-0.5868170054106349,-0.5868170054106349,-0.5868170054106349,-0.5779380160729541,-0.5779380160729541,-0.5779380160729541,-0.6240614019964315,-0.6240614019964315,-0.6240614019964315
2018-07-29,-1.3725949016061636,-1.3725949016061636,-1.3725949016061636,-1.4967180704107856,-1.4967180704107856,-1.4967180704107856,-1.4112395651530611,-1.4112395651530611,-1.4112395651530611,-1.4097808716398406,-1.4097808716398406,-1.4097808716398406
2018-08-05,-0.6206373096440296,-0.6206373096440296,-0.6206373096440296,-0.7919065014108132,-0.7919065014108132,-0.7919065014108132,-0.6580268702495549,-0.6580268702495549,-0.6580268702495549,-0.6945438964165891,-0.6945438964165891,-0.6945438964165891
2018-08-12,-1.5919252416670415,-1.5919252416670415,-1.5919252416670415,-1.7560277782708325,-1.7560277782708325,-1.7560277782708325,-1.6777441497163834,-1.6777441497163834,-1.6777441497163834,-1.697828546555216,-1.697828546555216,-1.697828546555216
