Date,FlexShares International Quality Dividend Defensiv_etf_Open_average,FlexShares International Quality Dividend Defensiv_etf_Open_max,FlexShares International Quality Dividend Defensiv_etf_Open_min,FlexShares International Quality Dividend Defensiv_etf_High_average,FlexShares International Quality Dividend Defensiv_etf_High_max,FlexShares International Quality Dividend Defensiv_etf_High_min,FlexShares International Quality Dividend Defensiv_etf_Low_average,FlexShares International Quality Dividend Defensiv_etf_Low_max,FlexShares International Quality Dividend Defensiv_etf_Low_min,FlexShares International Quality Dividend Defensiv_etf_Close_average,FlexShares International Quality Dividend Defensiv_etf_Close_max,FlexShares International Quality Dividend Defensiv_etf_Close_min
2018-04-08,-0.6826465343750169,-0.6826465343750169,-0.6826465343750169,-0.7595926230299431,-0.7595926230299431,-0.7595926230299431,-0.5216728738526044,-0.5216728738526044,-0.5216728738526044,-0.6405883554990988,-0.6405883554990988,-0.6405883554990988
2018-04-15,-0.6113911871663185,-0.6113911871663185,-0.6113911871663185,-0.7437679606612,-0.7437679606612,-0.7437679606612,-0.48861073065163124,-0.48861073065163124,-0.48861073065163124,-0.6829412946265316,-0.6829412946265316,-0.6829412946265316
2018-04-22,-0.9138190564019835,-0.9138190564019835,-0.9138190564019835,-0.9614429692089433,-0.9614429692089433,-0.9614429692089433,-0.575738594539885,-0.575738594539885,-0.575738594539885,-0.7293667827396217,-0.7293667827396217,-0.7293667827396217
2018-04-29,-1.658770877362056,-1.658770877362056,-1.658770877362056,-1.2371604737203041,-1.2371604737203041,-1.2371604737203041,-1.2138417896653877,-1.2138417896653877,-1.2138417896653877,-0.9787704151406774,-0.9787704151406774,-0.9787704151406774
2018-05-06,-0.6109628688032087,-0.6109628688032087,-0.6109628688032087,-0.7086152098480832,-0.7086152098480832,-0.7086152098480832,-0.5668309683385353,-0.5668309683385353,-0.5668309683385353,-0.6987248661330275,-0.6987248661330275,-0.6987248661330275
2018-05-13,-1.274005941573657,-1.274005941573657,-1.274005941573657,-1.4640483996333566,-1.4640483996333566,-1.4640483996333566,-1.1134384745411627,-1.1134384745411627,-1.1134384745411627,-1.221228188047507,-1.221228188047507,-1.221228188047507
2018-05-20,-1.8001545122229166,-1.8001545122229166,-1.8001545122229166,-2.013509941885767,-2.013509941885767,-2.013509941885767,-1.6829036782392182,-1.6829036782392182,-1.6829036782392182,-1.8504292754369236,-1.8504292754369236,-1.8504292754369236
2018-05-27,-1.6444406771839877,-1.6444406771839877,-1.6444406771839877,-1.8247220873405112,-1.8247220873405112,-1.8247220873405112,-1.65646639152449,-1.65646639152449,-1.65646639152449,-1.753529822617996,-1.753529822617996,-1.753529822617996
2018-06-03,-1.2933864252659748,-1.2933864252659748,-1.2933864252659748,-1.4045352806001876,-1.4045352806001876,-1.4045352806001876,-1.3475543565353594,-1.3475543565353594,-1.3475543565353594,-1.294998769484535,-1.294998769484535,-1.294998769484535
2018-06-10,-1.6314787532217878,-1.6314787532217878,-1.6314787532217878,-1.6902751763483812,-1.6902751763483812,-1.6902751763483812,-1.7967234745861862,-1.7967234745861862,-1.7967234745861862,-1.774743034077804,-1.774743034077804,-1.774743034077804
