Date,iShares MSCI China A_Open_average,iShares MSCI China A_Open_max,iShares MSCI China A_Open_min,iShares MSCI China A_High_average,iShares MSCI China A_High_max,iShares MSCI China A_High_min,iShares MSCI China A_Low_average,iShares MSCI China A_Low_max,iShares MSCI China A_Low_min,iShares MSCI China A_Close_average,iShares MSCI China A_Close_max,iShares MSCI China A_Close_min
2018-04-08,-1.0539709352792335,-1.0539709352792335,-1.0539709352792335,-1.1963328851742046,-1.1963328851742046,-1.1963328851742046,-1.074071963533951,-1.074071963533951,-1.074071963533951,-1.2009773602761593,-1.2009773602761593,-1.2009773602761593
2018-04-15,-1.3714301674932505,-1.3714301674932505,-1.3714301674932505,-1.4953450345435906,-1.4953450345435906,-1.4953450345435906,-1.3615675469543334,-1.3615675469543334,-1.3615675469543334,-1.4691324867040998,-1.4691324867040998,-1.4691324867040998
2018-04-22,-1.0091586074542582,-1.0091586074542582,-1.0091586074542582,-1.1105853666139973,-1.1105853666139973,-1.1105853666139973,-1.161878962247859,-1.161878962247859,-1.161878962247859,-1.2427518025045285,-1.2427518025045285,-1.2427518025045285
2018-04-29,-1.0950773492885157,-1.0950773492885157,-1.0950773492885157,-0.9623495587907057,-0.9623495587907057,-0.9623495587907057,-1.01073278523713,-1.01073278523713,-1.01073278523713,-0.9363333862643828,-0.9363333862643828,-0.9363333862643828
2018-05-06,-0.030612115777640246,-0.030612115777640246,-0.030612115777640246,-0.022880944048501058,-0.022880944048501058,-0.022880944048501058,0.026331857162114544,0.026331857162114544,0.026331857162114544,0.03688512680957393,0.03688512680957393,0.03688512680957393
2018-05-13,-0.029613375129209866,-0.029613375129209866,-0.029613375129209866,-0.08755472919983937,-0.08755472919983937,-0.08755472919983937,0.02002015898235593,0.02002015898235593,0.02002015898235593,-0.06166190833162571,-0.06166190833162571,-0.06166190833162571
2018-05-20,-1.1155001958080235,-1.1155001958080235,-1.1155001958080235,-0.9707347639029966,-0.9707347639029966,-0.9707347639029966,-1.0289507720041815,-1.0289507720041815,-1.0289507720041815,-0.8796304290630276,-0.8796304290630276,-0.8796304290630276
2018-05-27,-0.7708577392356297,-0.7708577392356297,-0.7708577392356297,-0.8436650782823489,-0.8436650782823489,-0.8436650782823489,-0.71895094115715,-0.71895094115715,-0.71895094115715,-0.7970638881412848,-0.7970638881412848,-0.7970638881412848
2018-06-03,-1.0161940643445524,-1.0161940643445524,-1.0161940643445524,-1.1415705506196197,-1.1415705506196197,-1.1415705506196197,-1.0835251018143854,-1.0835251018143854,-1.0835251018143854,-1.0475167700677233,-1.0475167700677233,-1.0475167700677233
2018-06-10,-2.1376990778177363,-2.1376990778177363,-2.1376990778177363,-2.1635446599148613,-2.1635446599148613,-2.1635446599148613,-2.08556333730645,-2.08556333730645,-2.08556333730645,-2.1672290112377994,-2.1672290112377994,-2.1672290112377994
