Date,iShares Edge MSCI Multifactor EmergEtf_Open_average,iShares Edge MSCI Multifactor EmergEtf_Open_max,iShares Edge MSCI Multifactor EmergEtf_Open_min,iShares Edge MSCI Multifactor EmergEtf_High_average,iShares Edge MSCI Multifactor EmergEtf_High_max,iShares Edge MSCI Multifactor EmergEtf_High_min,iShares Edge MSCI Multifactor EmergEtf_Low_average,iShares Edge MSCI Multifactor EmergEtf_Low_max,iShares Edge MSCI Multifactor EmergEtf_Low_min,iShares Edge MSCI Multifactor EmergEtf_Close_average,iShares Edge MSCI Multifactor EmergEtf_Close_max,iShares Edge MSCI Multifactor EmergEtf_Close_min
2018-05-27,-0.608646930336175,-0.608646930336175,-0.608646930336175,-0.5548103725128753,-0.5548103725128753,-0.5548103725128753,-0.3122710328420554,-0.3122710328420554,-0.3122710328420554,-0.3299240415175554,-0.3299240415175554,-0.3299240415175554
2018-06-03,-0.23238244308348738,-0.23238244308348738,-0.23238244308348738,-0.22719468674747442,-0.22719468674747442,-0.22719468674747442,-0.07065932468747183,-0.07065932468747183,-0.07065932468747183,-0.11836270630422617,-0.11836270630422617,-0.11836270630422617
2018-06-10,-1.3605238656584195,-1.3605238656584195,-1.3605238656584195,-1.3129271308165151,-1.3129271308165151,-1.3129271308165151,-1.2530086883320588,-1.2530086883320588,-1.2530086883320588,-1.0338006176597523,-1.0338006176597523,-1.0338006176597523
2018-06-17,-2.095793365813481,-2.095793365813481,-2.095793365813481,-2.25613642029082,-2.25613642029082,-2.25613642029082,-1.8833312072527861,-1.8833312072527861,-1.8833312072527861,-2.2019279118925392,-2.2019279118925392,-2.2019279118925392
2018-06-24,-2.7552280690810593,-2.7552280690810593,-2.7552280690810593,-2.6725399732126074,-2.6725399732126074,-2.6725399732126074,-2.5870788949330654,-2.5870788949330654,-2.5870788949330654,-2.564816567347532,-2.564816567347532,-2.564816567347532
2018-07-01,-2.435494076590526,-2.435494076590526,-2.435494076590526,-2.335612792226129,-2.335612792226129,-2.335612792226129,-2.3524860015516853,-2.3524860015516853,-2.3524860015516853,-2.2878374183156214,-2.2878374183156214,-2.2878374183156214
2018-07-08,-1.6388501928163413,-1.6388501928163413,-1.6388501928163413,-1.6958227942847521,-1.6958227942847521,-1.6958227942847521,-1.5882341757357343,-1.5882341757357343,-1.5882341757357343,-1.640159657396581,-1.640159657396581,-1.640159657396581
2018-07-15,-1.585793097282806,-1.585793097282806,-1.585793097282806,-1.6805830017946213,-1.6805830017946213,-1.6805830017946213,-1.5688033993296089,-1.5688033993296089,-1.5688033993296089,-1.6391461655716522,-1.6391461655716522,-1.6391461655716522
2018-07-22,-1.1463981774616379,-1.1463981774616379,-1.1463981774616379,-1.2044690305056336,-1.2044690305056336,-1.2044690305056336,-1.2218030559657178,-1.2218030559657178,-1.2218030559657178,-1.2112339476715426,-1.2112339476715426,-1.2112339476715426
2018-07-29,-1.528966585596493,-1.528966585596493,-1.528966585596493,-1.5861249489482339,-1.5861249489482339,-1.5861249489482339,-1.5678539143448047,-1.5678539143448047,-1.5678539143448047,-1.5723855748789415,-1.5723855748789415,-1.5723855748789415
2018-08-05,-1.7035341225661562,-1.7035341225661562,-1.7035341225661562,-1.7614201201672528,-1.7614201201672528,-1.7614201201672528,-1.8196254940242336,-1.8196254940242336,-1.8196254940242336,-1.8039159411703907,-1.8039159411703907,-1.8039159411703907
2018-08-12,-2.2093124683306065,-2.2093124683306065,-2.2093124683306065,-2.1299966181263628,-2.1299966181263628,-2.1299966181263628,-2.2036033388752645,-2.2036033388752645,-2.2036033388752645,-2.1527686381420144,-2.1527686381420144,-2.1527686381420144
2018-08-19,-1.404607338510545,-1.404607338510545,-1.404607338510545,-1.4349571430548782,-1.4349571430548782,-1.4349571430548782,-1.421091029347337,-1.421091029347337,-1.421091029347337,-1.487286681596177,-1.487286681596177,-1.487286681596177
2018-08-26,-1.3320374609113965,-1.3320374609113965,-1.3320374609113965,-1.2310269174289683,-1.2310269174289683,-1.2310269174289683,-1.2851322961509613,-1.2851322961509613,-1.2851322961509613,-1.185828300627111,-1.185828300627111,-1.185828300627111
2018-09-02,-1.7751427540708862,-1.7751427540708862,-1.7751427540708862,-1.7781153623164994,-1.7781153623164994,-1.7781153623164994,-1.8153485550315547,-1.8153485550315547,-1.8153485550315547,-1.871328464107268,-1.871328464107268,-1.871328464107268
2018-09-09,-1.6201578590865169,-1.6201578590865169,-1.6201578590865169,-1.6573907347062733,-1.6573907347062733,-1.6573907347062733,-1.64863892644234,-1.64863892644234,-1.64863892644234,-1.6603656180147746,-1.6603656180147746,-1.6603656180147746
