Date,iShares Int High Yield Bond_Open_average,iShares Int High Yield Bond_Open_max,iShares Int High Yield Bond_Open_min,iShares Int High Yield Bond_High_average,iShares Int High Yield Bond_High_max,iShares Int High Yield Bond_High_min,iShares Int High Yield Bond_Low_average,iShares Int High Yield Bond_Low_max,iShares Int High Yield Bond_Low_min,iShares Int High Yield Bond_Close_average,iShares Int High Yield Bond_Close_max,iShares Int High Yield Bond_Close_min
2018-04-08,1.0888333646338426,1.0888333646338426,1.0888333646338426,0.5456937630623871,0.5456937630623871,0.5456937630623871,1.1155408005456982,1.1155408005456982,1.1155408005456982,1.059980517132383,1.059980517132383,1.059980517132383
2018-04-15,-0.6765624219448055,-0.6765624219448055,-0.6765624219448055,-0.7931821667454811,-0.7931821667454811,-0.7931821667454811,-0.3166348083016074,-0.3166348083016074,-0.3166348083016074,-1.1513745607970314,-1.1513745607970314,-1.1513745607970314
2018-04-22,-2.1286107920182378,-2.1286107920182378,-2.1286107920182378,-1.577372165690504,-1.577372165690504,-1.577372165690504,-1.177872143664684,-1.177872143664684,-1.177872143664684,-2.266341780135305,-2.266341780135305,-2.266341780135305
2018-04-29,-2.618086994201754,-2.618086994201754,-2.618086994201754,-2.6133007618515833,-2.6133007618515833,-2.6133007618515833,-2.5415259845992026,-2.5415259845992026,-2.5415259845992026,-2.580559222325351,-2.580559222325351,-2.580559222325351
2018-05-06,-1.5916022212533016,-1.5916022212533016,-1.5916022212533016,-1.6952102384553427,-1.6952102384553427,-1.6952102384553427,-1.8655178304100237,-1.8655178304100237,-1.8655178304100237,-1.948947636192781,-1.948947636192781,-1.948947636192781
2018-05-13,-2.3277848173427778,-2.3277848173427778,-2.3277848173427778,-2.332520227536881,-2.332520227536881,-2.332520227536881,-2.2448200445305937,-2.2448200445305937,-2.2448200445305937,-2.253430247237255,-2.253430247237255,-2.253430247237255
2018-05-20,-2.156187397346649,-2.156187397346649,-2.156187397346649,-2.1368425689646022,-2.1368425689646022,-2.1368425689646022,-2.1350650440755183,-2.1350650440755183,-2.1350650440755183,-2.126665259445508,-2.126665259445508,-2.126665259445508
2018-05-27,-1.6142975972482148,-1.6142975972482148,-1.6142975972482148,-1.6209901919048155,-1.6209901919048155,-1.6209901919048155,-1.612585776224055,-1.612585776224055,-1.612585776224055,-1.6058953184856413,-1.6058953184856413,-1.6058953184856413
2018-06-03,-1.2204164880072068,-1.2204164880072068,-1.2204164880072068,-1.1913415779068017,-1.1913415779068017,-1.1913415779068017,-1.1856643729263356,-1.1856643729263356,-1.1856643729263356,-1.1642828835314911,-1.1642828835314911,-1.1642828835314911
2018-06-10,-1.4044708202142928,-1.4044708202142928,-1.4044708202142928,-1.3594555818089047,-1.3594555818089047,-1.3594555818089047,-1.3785211532799526,-1.3785211532799526,-1.3785211532799526,-1.3412970471807835,-1.3412970471807835,-1.3412970471807835
2018-06-17,-1.1512170261668613,-1.1512170261668613,-1.1512170261668613,-1.089538667961712,-1.089538667961712,-1.089538667961712,-1.1040905444112943,-1.1040905444112943,-1.1040905444112943,-1.0661391354256071,-1.0661391354256071,-1.0661391354256071
