Date,MOGaStock_Open_average,MOGaStock_Open_max,MOGaStock_Open_min,MOGaStock_Open_volatility,MOGaStock_Open_change,MOGaStock_High_average,MOGaStock_High_max,MOGaStock_High_min,MOGaStock_High_volatility,MOGaStock_High_change,MOGaStock_Low_average,MOGaStock_Low_max,MOGaStock_Low_min,MOGaStock_Low_volatility,MOGaStock_Low_change,MOGaStock_Close_average,MOGaStock_Close_max,MOGaStock_Close_min,MOGaStock_Close_volatility,MOGaStock_Close_change,MOGaStock_Volume_average,MOGaStock_Volume_max,MOGaStock_Volume_min,MOGaStock_Volume_volatility,MOGaStock_Volume_change
2018-05-27,-0.8744617352309171,-1.2331235720358302,-0.3495019491343997,-1.1800521062984437,0.24644140193193934,-0.9988067055529828,-1.315690132316286,-0.6543462987536128,-1.5088251655861034,0.42211334717216353,-0.7566157697442882,-1.0515920909688576,-0.4483926890659314,-1.2650637760921837,0.4742445058517237,-0.9096525490122856,-0.9589167739313591,-0.6077680636237838,-0.8734508387855572,0.24052869854837888,-0.6734357821961113,-0.5373295924180516,-0.6635661160418777,-0.4170640810128277,-0.4674774187421283
2018-06-03,-0.44927648797835273,-0.9265442112818126,-0.15016205695806206,-1.085183637594633,0.6378598342070115,-0.6429792976357285,-0.7175464126314578,-0.5801320771002926,-0.4726207920493911,1.0557286117781517,-0.33530148505185037,-0.3826280602269784,-0.1567273733025666,-0.5227523647693989,0.8505933385557289,-0.25244387477857994,-0.27239847921149524,-0.14275187610598566,-0.2960948758157801,1.0277965048981579,-0.5685673877428327,-0.5313784193486257,-0.23476809323124798,-0.5355394367618788,0.007130206945252058
2018-06-10,-0.20431673184347862,-0.41191100266574465,-0.4436311168522289,0.015345626581216519,-0.7361526188447154,-0.29393565072602534,-0.15227617541771152,-0.3319812559730501,0.19235386147303254,-0.8313482664242033,-0.22460329254287847,-0.18473462328990872,-0.3402702466520278,0.32470581978669694,-1.02446717453159,-0.28956603544322707,-0.2681102336663478,-0.21287699280107297,-0.09655480848603433,-0.6414605107127682,0.5396087914743967,1.1230388447993753,-0.6313236640787222,1.4174119495512294,1.7408733762771091
2018-06-17,-2.146307278291859,-1.7003012645418258,-2.2902827219729005,0.655007871685022,-1.140166371214361,-2.29718781243743,-1.4168171489254047,-2.9810503685646617,1.6081785791254561,-1.5009012260432755,-2.131938376581717,-1.162428688547877,-2.4300660645996257,1.93957488920148,-1.6389107970330725,-2.336271126205655,-1.1356827507229885,-2.5074800544850246,2.3271182509085575,-1.88866843506856,0.9236564867930938,0.3841843481756444,1.9942409326233403,-0.1517330388285475,0.4454304857500242
2018-06-24,-2.8364681845881092,-3.0769835475967664,-2.471691104250583,-1.4682593275477656,0.6015938480069214,-2.656510240789257,-2.7158322558447723,-2.501597809888107,-0.8892255336971107,0.8738277001710556,-2.5211503471376115,-2.6305985600347626,-2.341094732651887,-0.7858356351247963,0.7706587792366265,-2.559482168343136,-2.82607165714549,-2.279047802409719,-1.1193932710425738,0.7797267010702126,-0.02830151501277373,-0.3802392646690163,0.6253766363863078,-0.583528437796195,-0.5495365846322184
2018-07-01,-2.0797816539087455,-2.335483731197626,-1.762025600568488,-1.652324064631581,0.38526748210758616,-2.199244149691985,-2.3010635000371193,-1.9624223060915449,-1.2620737607096737,0.3015249557683949,-1.9744873715412525,-2.1901153797863673,-1.9194973172630811,-0.8723727616905801,0.6262686060184556,-2.0508134036235046,-2.323675722788909,-1.670407556061361,-1.6746030877059166,0.18770961437513126,-0.8556612710486887,-0.2732904055299529,-1.4548726022026033,0.10957298208345323,-1.1191278720115947
2018-07-08,-1.6984277373442658,-1.7639440706670415,-1.4841516941999857,-1.2201591699175798,0.46571547497515126,-1.7094705336898637,-1.8805719912320358,-1.5418019894123915,-1.3363245541091207,0.3532624549471462,-1.5482025444782672,-1.6818100725600793,-1.3054322127101403,-1.18506262269372,0.3513212063094902,-1.5958328315268688,-1.819537736515493,-1.4559522673171559,-1.2560281491345107,0.18667565620376145,-0.9060514125229707,-0.8015811522183174,-0.41644607450309185,-0.7666944591834288,-0.49781168463444014
2018-07-15,-1.249074457409437,-1.2840553120183078,-1.108301288667455,-0.8808025044714297,0.5392866726360901,-1.1869881142156935,-0.9081092619702325,-1.1305057521097952,0.10576720840313925,1.1476902981594728,-1.0363225484432625,-1.0142582650803824,-0.8451236104597304,-0.6189204190264539,0.718376940502797,-0.9989970830504339,-0.753646906604689,-0.9851962738937313,0.22729318538785837,1.2151219064967969,-0.7356380843694181,-0.24632907163649906,-1.073150785233075,0.03956043502082894,0.07773376848664372
2018-07-22,-0.8765398655093,-0.6960381075911785,-0.830224410007579,-0.042906754933152956,0.05177519001882269,-0.7578117436326074,-0.5658145335080126,-0.9201227784481076,0.5583476395022077,0.1747364866575641,-1.3665511618243456,-1.2274017705401716,-2.2446078573411303,2.0691890517116622,-1.796816216635585,-1.303021197737683,-0.9060611115052576,-2.113862338647487,2.356191117525823,-1.301030889195725,0.32544975568762025,0.5865951135331565,-0.5906838440485722,0.8116591042895447,1.2272236041812234
2018-07-29,-2.4474997664489404,-2.2691159404100945,-2.7197817749062283,0.27744545904973533,0.2720320079741747,-2.386799646722134,-2.44511195321361,-2.3256914859131395,-1.0250114997035613,0.23306985542030886,-2.4221370354071237,-2.419986616275768,-2.318565328322848,-0.32126901327627266,0.7438920802608511,-2.3648834576205555,-2.3226630964292223,-2.371579819672812,0.1647075621398908,1.0077080456486602,-0.08961669967651809,0.7124162358912545,-0.6890625531443622,1.1547105854335247,-0.2375653050994676
