Date,Sprott Physical Gold_Open_average,Sprott Physical Gold_Open_max,Sprott Physical Gold_Open_min,Sprott Physical Gold_High_average,Sprott Physical Gold_High_max,Sprott Physical Gold_High_min,Sprott Physical Gold_Low_average,Sprott Physical Gold_Low_max,Sprott Physical Gold_Low_min,Sprott Physical Gold_Close_average,Sprott Physical Gold_Close_max,Sprott Physical Gold_Close_min
2018-04-08,1.0023097082240093,1.0023097082240093,1.0023097082240093,0.8463339677876554,0.8463339677876554,0.8463339677876554,1.1523514350645618,1.1523514350645618,1.1523514350645618,0.9397872808248267,0.9397872808248267,0.9397872808248267
2018-04-15,-0.8717731103990612,-0.8717731103990612,-0.8717731103990612,-1.0963654839335764,-1.0963654839335764,-1.0963654839335764,-0.8843745141905311,-0.8843745141905311,-0.8843745141905311,-1.0405710833779513,-1.0405710833779513,-1.0405710833779513
2018-04-22,-1.4597394313324563,-1.4597394313324563,-1.4597394313324563,-1.3316329346202664,-1.3316329346202664,-1.3316329346202664,-1.532856924063798,-1.532856924063798,-1.532856924063798,-1.5139204067555807,-1.5139204067555807,-1.5139204067555807
2018-04-29,-0.7845479365600395,-0.7845479365600395,-0.7845479365600395,-0.9798983503067195,-0.9798983503067195,-0.9798983503067195,-0.7986699907676673,-0.7986699907676673,-0.7986699907676673,-1.0221636861782473,-1.0221636861782473,-1.0221636861782473
2018-05-06,-0.5754714818911503,-0.5754714818911503,-0.5754714818911503,-0.8155724192496414,-0.8155724192496414,-0.8155724192496414,-0.9847529787386473,-0.9847529787386473,-0.9847529787386473,-1.1859508799491307,-1.1859508799491307,-1.1859508799491307
2018-05-13,-2.3105320846673822,-2.3105320846673822,-2.3105320846673822,-2.212150133302923,-2.212150133302923,-2.212150133302923,-2.18869734166024,-2.18869734166024,-2.18869734166024,-2.1758642844222695,-2.1758642844222695,-2.1758642844222695
2018-05-20,-0.9257962711327299,-0.9257962711327299,-0.9257962711327299,-1.0188222107843559,-1.0188222107843559,-1.0188222107843559,-1.0294840477053693,-1.0294840477053693,-1.0294840477053693,-1.2787476655536618,-1.2787476655536618,-1.2787476655536618
2018-05-27,-1.4846864937712434,-1.4846864937712434,-1.4846864937712434,-1.4749927975090673,-1.4749927975090673,-1.4749927975090673,-1.446436189395561,-1.446436189395561,-1.446436189395561,-1.5934859971508155,-1.5934859971508155,-1.5934859971508155
2018-06-03,-1.1009432710187215,-1.1009432710187215,-1.1009432710187215,-1.0509246219081327,-1.0509246219081327,-1.0509246219081327,-0.9619021281658182,-0.9619021281658182,-0.9619021281658182,-0.9253635908473828,-0.9253635908473828,-0.9253635908473828
2018-06-10,-1.7493882889702224,-1.7493882889702224,-1.7493882889702224,-1.7509827199315406,-1.7509827199315406,-1.7509827199315406,-1.7837610108057016,-1.7837610108057016,-1.7837610108057016,-1.7487706576547108,-1.7487706576547108,-1.7487706576547108
