Date,ETFS Physical Silver Shares_Open_average,ETFS Physical Silver Shares_Open_max,ETFS Physical Silver Shares_Open_min,ETFS Physical Silver Shares_High_average,ETFS Physical Silver Shares_High_max,ETFS Physical Silver Shares_High_min,ETFS Physical Silver Shares_Low_average,ETFS Physical Silver Shares_Low_max,ETFS Physical Silver Shares_Low_min,ETFS Physical Silver Shares_Close_average,ETFS Physical Silver Shares_Close_max,ETFS Physical Silver Shares_Close_min
2018-04-08,0.215577328155404,0.215577328155404,0.215577328155404,0.15884145477450703,0.15884145477450703,0.15884145477450703,0.29034829022603664,0.29034829022603664,0.29034829022603664,0.027629085510684496,0.027629085510684496,0.027629085510684496
2018-04-15,0.4071752143161002,0.4071752143161002,0.4071752143161002,0.30989560189642246,0.30989560189642246,0.30989560189642246,0.17849581701813735,0.17849581701813735,0.17849581701813735,-0.02343300114498975,-0.02343300114498975,-0.02343300114498975
2018-04-22,-1.6227594240156222,-1.6227594240156222,-1.6227594240156222,-1.3689382192275026,-1.3689382192275026,-1.3689382192275026,-1.8650590973426402,-1.8650590973426402,-1.8650590973426402,-1.7789059785605157,-1.7789059785605157,-1.7789059785605157
2018-04-29,-0.4396876087919759,-0.4396876087919759,-0.4396876087919759,-0.7056989304364285,-0.7056989304364285,-0.7056989304364285,-0.3270457146389711,-0.3270457146389711,-0.3270457146389711,-0.5823085235584199,-0.5823085235584199,-0.5823085235584199
2018-05-06,0.5570066518960068,0.5570066518960068,0.5570066518960068,0.33374078372007276,0.33374078372007276,0.33374078372007276,0.2307507528645851,0.2307507528645851,0.2307507528645851,-0.32077077590587255,-0.32077077590587255,-0.32077077590587255
2018-05-13,-0.28791183750726224,-0.28791183750726224,-0.28791183750726224,-0.5378637751170482,-0.5378637751170482,-0.5378637751170482,-0.2559078052790631,-0.2559078052790631,-0.2559078052790631,-0.21785619235896206,-0.21785619235896206,-0.21785619235896206
2018-05-20,0.5590503167361421,0.5590503167361421,0.5590503167361421,0.25895415065242433,0.25895415065242433,0.25895415065242433,0.2343797685170866,0.2343797685170866,0.2343797685170866,-0.2189129373163065,-0.2189129373163065,-0.2189129373163065
2018-05-27,-0.26676548700233593,-0.26676548700233593,-0.26676548700233593,-0.5874423863024477,-0.5874423863024477,-0.5874423863024477,-0.4925460933498264,-0.4925460933498264,-0.4925460933498264,-0.9798951972106359,-0.9798951972106359,-0.9798951972106359
2018-06-03,1.644982026128099,1.644982026128099,1.644982026128099,1.8650830979205875,1.8650830979205875,1.8650830979205875,2.1577851391998926,2.1577851391998926,2.1577851391998926,2.292843485376095,2.292843485376095,2.292843485376095
2018-06-10,-0.27997633212814915,-0.27997633212814915,-0.27997633212814915,-0.6843859108291636,-0.6843859108291636,-0.6843859108291636,-0.5386237790019465,-0.5386237790019465,-0.5386237790019465,-0.5470818212076294,-0.5470818212076294,-0.5470818212076294
2018-06-17,-1.2563435544559878,-1.2563435544559878,-1.2563435544559878,-1.567234103779401,-1.567234103779401,-1.567234103779401,-1.1198414388389024,-1.1198414388389024,-1.1198414388389024,-1.2693490194820427,-1.2693490194820427,-1.2693490194820427
2018-06-24,-2.4522861922126578,-2.4522861922126578,-2.4522861922126578,-2.534344073902599,-2.534344073902599,-2.534344073902599,-2.5451783064090994,-2.5451783064090994,-2.5451783064090994,-2.5876129366485436,-2.5876129366485436,-2.5876129366485436
2018-07-01,-1.2134121478916298,-1.2134121478916298,-1.2134121478916298,-1.2115751645141137,-1.2115751645141137,-1.2115751645141137,-1.1666370386126097,-1.1666370386126097,-1.1666370386126097,-1.2623042304298793,-1.2623042304298793,-1.2623042304298793
2018-07-08,-2.0006629410176053,-2.0006629410176053,-2.0006629410176053,-2.0217662129878895,-2.0217662129878895,-2.0217662129878895,-1.8437212125983666,-1.8437212125983666,-1.8437212125983666,-1.8910775122947254,-1.8910775122947254,-1.8910775122947254
2018-07-15,-2.186971215744121,-2.186971215744121,-2.186971215744121,-2.231422708543233,-2.231422708543233,-2.231422708543233,-2.2093726442878476,-2.2093726442878476,-2.2093726442878476,-2.232747762999523,-2.232747762999523,-2.232747762999523
2018-07-22,-1.6565687595854361,-1.6565687595854361,-1.6565687595854361,-1.5946527452905985,-1.5946527452905985,-1.5946527452905985,-1.5559732104309967,-1.5559732104309967,-1.5559732104309967,-1.593779589117017,-1.593779589117017,-1.593779589117017
2018-07-29,-1.5822723738887283,-1.5822723738887283,-1.5822723738887283,-1.5975339626689042,-1.5975339626689042,-1.5975339626689042,-1.5643946535024063,-1.5643946535024063,-1.5643946535024063,-1.6022616967120096,-1.6022616967120096,-1.6022616967120096
2018-08-05,-1.4697688662090465,-1.4697688662090465,-1.4697688662090465,-1.478061573810302,-1.478061573810302,-1.478061573810302,-1.728544686046177,-1.728544686046177,-1.728544686046177,-1.7553610497435113,-1.7553610497435113,-1.7553610497435113
2018-08-12,-1.8431760834228117,-1.8431760834228117,-1.8431760834228117,-1.8211273212998673,-1.8211273212998673,-1.8211273212998673,-1.7799072888683318,-1.7799072888683318,-1.7799072888683318,-1.6885514685069778,-1.6885514685069778,-1.6885514685069778
2018-08-19,-1.4219136599975337,-1.4219136599975337,-1.4219136599975337,-1.3467721063406182,-1.3467721063406182,-1.3467721063406182,-1.303355551020807,-1.303355551020807,-1.303355551020807,-1.2672574198111999,-1.2672574198111999,-1.2672574198111999
2018-08-26,-1.5131492026719573,-1.5131492026719573,-1.5131492026719573,-1.4918538063960332,-1.4918538063960332,-1.4918538063960332,-1.4651276699838285,-1.4651276699838285,-1.4651276699838285,-1.5014615395421416,-1.5014615395421416,-1.5014615395421416
2018-09-02,-1.6942210977465335,-1.6942210977465335,-1.6942210977465335,-1.7453072572759705,-1.7453072572759705,-1.7453072572759705,-1.7051484031963535,-1.7051484031963535,-1.7051484031963535,-1.7216784622148857,-1.7216784622148857,-1.7216784622148857
2018-09-09,-1.4998896195172375,-1.4998896195172375,-1.4998896195172375,-1.4804608087989521,-1.4804608087989521,-1.4804608087989521,-1.4465538142373942,-1.4465538142373942,-1.4465538142373942,-1.4620030907700694,-1.4620030907700694,-1.4620030907700694
2018-09-16,-1.2070603336522336,-1.2070603336522336,-1.2070603336522336,-1.162752531320954,-1.162752531320954,-1.162752531320954,-1.152904755838061,-1.152904755838061,-1.152904755838061,-1.179106458822526,-1.179106458822526,-1.179106458822526
2018-09-23,-0.8678880049554791,-0.8678880049554791,-0.8678880049554791,-0.784775034363272,-0.784775034363272,-0.784775034363272,-0.8427684275351222,-0.8427684275351222,-0.8427684275351222,-0.7144571984967131,-0.7144571984967131,-0.7144571984967131
2018-09-30,-0.9296005160692786,-0.9296005160692786,-0.9296005160692786,-0.9012594748077415,-0.9012594748077415,-0.9012594748077415,-0.9226732541996753,-0.9226732541996753,-0.9226732541996753,-0.7952648515889764,-0.7952648515889764,-0.7952648515889764
2018-10-07,-0.0996620940115262,-0.0996620940115262,-0.0996620940115262,-0.08916958666337386,-0.08916958666337386,-0.08916958666337386,-0.054184623424717505,-0.054184623424717505,-0.054184623424717505,-0.12782086185889455,-0.12782086185889455,-0.12782086185889455
2018-10-14,-0.3044738634368815,-0.3044738634368815,-0.3044738634368815,-0.370935169299577,-0.370935169299577,-0.370935169299577,-0.2483377610438704,-0.2483377610438704,-0.2483377610438704,-0.2371238893919197,-0.2371238893919197,-0.2371238893919197
2018-10-21,0.14507954502032355,0.14507954502032355,0.14507954502032355,0.05586288821240165,0.05586288821240165,0.05586288821240165,-0.3999190799070888,-0.3999190799070888,-0.3999190799070888,-0.42244032832937695,-0.42244032832937695,-0.42244032832937695
2018-10-28,0.294377135443472,0.294377135443472,0.294377135443472,0.3504258390705607,0.3504258390705607,0.3504258390705607,0.4438636337583185,0.4438636337583185,0.4438636337583185,0.41601935500392223,0.41601935500392223,0.41601935500392223
