Date,KraneShares E China Commercial PaperEtf_Open_average,KraneShares E China Commercial PaperEtf_Open_max,KraneShares E China Commercial PaperEtf_Open_min,KraneShares E China Commercial PaperEtf_High_average,KraneShares E China Commercial PaperEtf_High_max,KraneShares E China Commercial PaperEtf_High_min,KraneShares E China Commercial PaperEtf_Low_average,KraneShares E China Commercial PaperEtf_Low_max,KraneShares E China Commercial PaperEtf_Low_min,KraneShares E China Commercial PaperEtf_Close_average,KraneShares E China Commercial PaperEtf_Close_max,KraneShares E China Commercial PaperEtf_Close_min
2018-05-27,-0.13574704921674713,-0.13574704921674713,-0.13574704921674713,-0.4283381819562682,-0.4283381819562682,-0.4283381819562682,-0.5991365101524478,-0.5991365101524478,-0.5991365101524478,-0.4230230972155058,-0.4230230972155058,-0.4230230972155058
2018-06-03,-0.19521620608610724,-0.19521620608610724,-0.19521620608610724,-0.6580762592701648,-0.6580762592701648,-0.6580762592701648,-0.31037900078368924,-0.31037900078368924,-0.31037900078368924,-0.795986225781836,-0.795986225781836,-0.795986225781836
2018-06-10,-1.4624344503248177,-1.4624344503248177,-1.4624344503248177,-1.915100615122822,-1.915100615122822,-1.915100615122822,-1.1699894991463091,-1.1699894991463091,-1.1699894991463091,-1.353494637382627,-1.353494637382627,-1.353494637382627
2018-06-17,-2.592117613760372,-2.592117613760372,-2.592117613760372,-2.8002985513481433,-2.8002985513481433,-2.8002985513481433,-2.573844430783349,-2.573844430783349,-2.573844430783349,-2.820955527215932,-2.820955527215932,-2.820955527215932
2018-06-24,-3.430988661957858,-3.430988661957858,-3.430988661957858,-3.429703173037798,-3.429703173037798,-3.429703173037798,-3.1159794040816022,-3.1159794040816022,-3.1159794040816022,-3.190575592931643,-3.190575592931643,-3.190575592931643
2018-07-01,-2.85169613294249,-2.85169613294249,-2.85169613294249,-2.7481209361173047,-2.7481209361173047,-2.7481209361173047,-2.733663541871759,-2.733663541871759,-2.733663541871759,-2.645814617583824,-2.645814617583824,-2.645814617583824
2018-07-08,-2.2792270472878653,-2.2792270472878653,-2.2792270472878653,-2.4184832062754107,-2.4184832062754107,-2.4184832062754107,-2.5393352402308227,-2.5393352402308227,-2.5393352402308227,-2.5733702133278027,-2.5733702133278027,-2.5733702133278027
2018-07-15,-2.328749737483684,-2.328749737483684,-2.328749737483684,-2.413163117522182,-2.413163117522182,-2.413163117522182,-2.4022615394248397,-2.4022615394248397,-2.4022615394248397,-2.4239230273588284,-2.4239230273588284,-2.4239230273588284
2018-07-22,-2.1237005541437504,-2.1237005541437504,-2.1237005541437504,-2.177715871010279,-2.177715871010279,-2.177715871010279,-1.95891000707356,-1.95891000707356,-1.95891000707356,-2.0252915449812847,-2.0252915449812847,-2.0252915449812847
2018-07-29,-1.9701848363794154,-1.9701848363794154,-1.9701848363794154,-1.7264356942519736,-1.7264356942519736,-1.7264356942519736,-1.8542023108694843,-1.8542023108694843,-1.8542023108694843,-1.73053066868555,-1.73053066868555,-1.73053066868555
