Date,iShares MSCI Emerging Markets Small-CapEtf_Open_average,iShares MSCI Emerging Markets Small-CapEtf_Open_max,iShares MSCI Emerging Markets Small-CapEtf_Open_min,iShares MSCI Emerging Markets Small-CapEtf_High_average,iShares MSCI Emerging Markets Small-CapEtf_High_max,iShares MSCI Emerging Markets Small-CapEtf_High_min,iShares MSCI Emerging Markets Small-CapEtf_Low_average,iShares MSCI Emerging Markets Small-CapEtf_Low_max,iShares MSCI Emerging Markets Small-CapEtf_Low_min,iShares MSCI Emerging Markets Small-CapEtf_Close_average,iShares MSCI Emerging Markets Small-CapEtf_Close_max,iShares MSCI Emerging Markets Small-CapEtf_Close_min
2018-05-27,-0.8287144878273824,-0.8287144878273824,-0.8287144878273824,-0.6252317827436091,-0.6252317827436091,-0.6252317827436091,-0.7375890086413135,-0.7375890086413135,-0.7375890086413135,-0.45871116920824984,-0.45871116920824984,-0.45871116920824984
2018-06-03,-1.0492305955704828,-1.0492305955704828,-1.0492305955704828,-1.2265988651639155,-1.2265988651639155,-1.2265988651639155,-1.0178671989880985,-1.0178671989880985,-1.0178671989880985,-1.081371677081498,-1.081371677081498,-1.081371677081498
2018-06-10,-1.775319536893674,-1.775319536893674,-1.775319536893674,-1.9752988319856726,-1.9752988319856726,-1.9752988319856726,-1.7890750192339495,-1.7890750192339495,-1.7890750192339495,-2.005117602519963,-2.005117602519963,-2.005117602519963
2018-06-17,-2.7807971315851825,-2.7807971315851825,-2.7807971315851825,-2.7784045986460475,-2.7784045986460475,-2.7784045986460475,-2.5691373810744653,-2.5691373810744653,-2.5691373810744653,-2.8402744668560307,-2.8402744668560307,-2.8402744668560307
2018-06-24,-2.8351480969430094,-2.8351480969430094,-2.8351480969430094,-2.68389325821267,-2.68389325821267,-2.68389325821267,-2.6434105379099475,-2.6434105379099475,-2.6434105379099475,-2.62489888595307,-2.62489888595307,-2.62489888595307
2018-07-01,-2.4554853556508434,-2.4554853556508434,-2.4554853556508434,-2.2744217591148135,-2.2744217591148135,-2.2744217591148135,-2.358301883924727,-2.358301883924727,-2.358301883924727,-2.2235878327936938,-2.2235878327936938,-2.2235878327936938
2018-07-08,-1.6601232198594764,-1.6601232198594764,-1.6601232198594764,-1.7336925641536585,-1.7336925641536585,-1.7336925641536585,-1.6895857202468347,-1.6895857202468347,-1.6895857202468347,-1.7189255157835948,-1.7189255157835948,-1.7189255157835948
2018-07-15,-1.6500685984987098,-1.6500685984987098,-1.6500685984987098,-1.6676007658020608,-1.6676007658020608,-1.6676007658020608,-1.5953936578449928,-1.5953936578449928,-1.5953936578449928,-1.6240023997217983,-1.6240023997217983,-1.6240023997217983
2018-07-22,-1.0689284798179328,-1.0689284798179328,-1.0689284798179328,-1.087070858220402,-1.087070858220402,-1.087070858220402,-1.0358056420113055,-1.0358056420113055,-1.0358056420113055,-1.0794986907671282,-1.0794986907671282,-1.0794986907671282
2018-07-29,-1.0673990410397578,-1.0673990410397578,-1.0673990410397578,-1.0656852532339007,-1.0656852532339007,-1.0656852532339007,-1.045428665820133,-1.045428665820133,-1.045428665820133,-1.0124142269101564,-1.0124142269101564,-1.0124142269101564
