Date,EMQQ Emerging Markets Internet and EcommerceEtf_Open_average,EMQQ Emerging Markets Internet and EcommerceEtf_Open_max,EMQQ Emerging Markets Internet and EcommerceEtf_Open_min,EMQQ Emerging Markets Internet and EcommerceEtf_High_average,EMQQ Emerging Markets Internet and EcommerceEtf_High_max,EMQQ Emerging Markets Internet and EcommerceEtf_High_min,EMQQ Emerging Markets Internet and EcommerceEtf_Low_average,EMQQ Emerging Markets Internet and EcommerceEtf_Low_max,EMQQ Emerging Markets Internet and EcommerceEtf_Low_min,EMQQ Emerging Markets Internet and EcommerceEtf_Close_average,EMQQ Emerging Markets Internet and EcommerceEtf_Close_max,EMQQ Emerging Markets Internet and EcommerceEtf_Close_min
2018-05-27,-1.0040434090958859,-1.0040434090958859,-1.0040434090958859,-0.8360075912461398,-0.8360075912461398,-0.8360075912461398,-0.7889699048366561,-0.7889699048366561,-0.7889699048366561,-0.7165400038952399,-0.7165400038952399,-0.7165400038952399
2018-06-03,-0.49226756253701903,-0.49226756253701903,-0.49226756253701903,-0.38971420858019806,-0.38971420858019806,-0.38971420858019806,-0.30076077039291943,-0.30076077039291943,-0.30076077039291943,-0.2873329103493443,-0.2873329103493443,-0.2873329103493443
2018-06-10,-0.14962242354922903,-0.14962242354922903,-0.14962242354922903,-0.17131167805485448,-0.17131167805485448,-0.17131167805485448,-0.06378495105588197,-0.06378495105588197,-0.06378495105588197,-0.06066161070346415,-0.06066161070346415,-0.06066161070346415
2018-06-17,-0.42322032252033986,-0.42322032252033986,-0.42322032252033986,-0.6217585004156977,-0.6217585004156977,-0.6217585004156977,-0.4334418913500322,-0.4334418913500322,-0.4334418913500322,-0.5844400318819118,-0.5844400318819118,-0.5844400318819118
2018-06-24,-1.2148832527677003,-1.2148832527677003,-1.2148832527677003,-1.3054300488236834,-1.3054300488236834,-1.3054300488236834,-1.1304610937256048,-1.1304610937256048,-1.1304610937256048,-1.2162349718128826,-1.2162349718128826,-1.2162349718128826
2018-07-01,-1.2508542436253418,-1.2508542436253418,-1.2508542436253418,-1.0369833575749055,-1.0369833575749055,-1.0369833575749055,-1.1213026210267996,-1.1213026210267996,-1.1213026210267996,-0.9313661684476426,-0.9313661684476426,-0.9313661684476426
2018-07-08,-0.7312543866183892,-0.7312543866183892,-0.7312543866183892,-0.8319216956932588,-0.8319216956932588,-0.8319216956932588,-0.7482091623076272,-0.7482091623076272,-0.7482091623076272,-0.8311360680985684,-0.8311360680985684,-0.8311360680985684
2018-07-15,-0.8517596964520396,-0.8517596964520396,-0.8517596964520396,-0.9556030954861745,-0.9556030954861745,-0.9556030954861745,-0.7823659134491633,-0.7823659134491633,-0.7823659134491633,-0.9336772504592209,-0.9336772504592209,-0.9336772504592209
2018-07-22,-0.6668255513185729,-0.6668255513185729,-0.6668255513185729,-0.8039150949208468,-0.8039150949208468,-0.8039150949208468,-1.031027676902952,-1.031027676902952,-1.031027676902952,-1.1203509014176356,-1.1203509014176356,-1.1203509014176356
2018-07-29,-2.4205542805526346,-2.4205542805526346,-2.4205542805526346,-2.4664494452086814,-2.4664494452086814,-2.4664494452086814,-2.526682201071083,-2.526682201071083,-2.526682201071083,-2.5488962087500315,-2.5488962087500315,-2.5488962087500315
