Date,USAA MSCI International Value Momentum BlendEtf_Open_average,USAA MSCI International Value Momentum BlendEtf_Open_max,USAA MSCI International Value Momentum BlendEtf_Open_min,USAA MSCI International Value Momentum BlendEtf_High_average,USAA MSCI International Value Momentum BlendEtf_High_max,USAA MSCI International Value Momentum BlendEtf_High_min,USAA MSCI International Value Momentum BlendEtf_Low_average,USAA MSCI International Value Momentum BlendEtf_Low_max,USAA MSCI International Value Momentum BlendEtf_Low_min,USAA MSCI International Value Momentum BlendEtf_Close_average,USAA MSCI International Value Momentum BlendEtf_Close_max,USAA MSCI International Value Momentum BlendEtf_Close_min
2018-05-27,-1.1947379572099277,-1.1947379572099277,-1.1947379572099277,-1.2994285102301624,-1.2994285102301624,-1.2994285102301624,-1.0520249536019295,-1.0520249536019295,-1.0520249536019295,-1.229711546390922,-1.229711546390922,-1.229711546390922
2018-06-03,-0.9736437109012024,-0.9736437109012024,-0.9736437109012024,-0.9159499487929157,-0.9159499487929157,-0.9159499487929157,-0.8081290922580907,-0.8081290922580907,-0.8081290922580907,-0.8569573214137131,-0.8569573214137131,-0.8569573214137131
2018-06-10,-1.4523931563367607,-1.4523931563367607,-1.4523931563367607,-1.5357356588425453,-1.5357356588425453,-1.5357356588425453,-1.306023843337564,-1.306023843337564,-1.306023843337564,-1.470165484764136,-1.470165484764136,-1.470165484764136
2018-06-17,-2.253250597289891,-2.253250597289891,-2.253250597289891,-2.25704066161843,-2.25704066161843,-2.25704066161843,-2.027137583804349,-2.027137583804349,-2.027137583804349,-2.33947133360624,-2.33947133360624,-2.33947133360624
2018-06-24,-2.4148162313804247,-2.4148162313804247,-2.4148162313804247,-2.4544970554057666,-2.4544970554057666,-2.4544970554057666,-2.417797386192868,-2.417797386192868,-2.417797386192868,-2.476180959194651,-2.476180959194651,-2.476180959194651
2018-07-01,-1.9791690691608486,-1.9791690691608486,-1.9791690691608486,-2.0094979579847774,-2.0094979579847774,-2.0094979579847774,-1.8801519016214103,-1.8801519016214103,-1.8801519016214103,-1.9084428899093426,-1.9084428899093426,-1.9084428899093426
2018-07-08,-1.8977797426357013,-1.8977797426357013,-1.8977797426357013,-1.860742383283808,-1.860742383283808,-1.860742383283808,-1.814293088878522,-1.814293088878522,-1.814293088878522,-1.7612362641506267,-1.7612362641506267,-1.7612362641506267
2018-07-15,-1.579467389950084,-1.579467389950084,-1.579467389950084,-1.5307840741114203,-1.5307840741114203,-1.5307840741114203,-1.51602691367272,-1.51602691367272,-1.51602691367272,-1.4506771567849688,-1.4506771567849688,-1.4506771567849688
2018-07-22,-0.7035749013008121,-0.7035749013008121,-0.7035749013008121,-0.7771930914433618,-0.7771930914433618,-0.7771930914433618,-0.7524241054469812,-0.7524241054469812,-0.7524241054469812,-0.7800784494063076,-0.7800784494063076,-0.7800784494063076
2018-07-29,-1.1678866202227036,-1.1678866202227036,-1.1678866202227036,-1.179150901480115,-1.179150901480115,-1.179150901480115,-1.1095032466301675,-1.1095032466301675,-1.1095032466301675,-1.1099448392703462,-1.1099448392703462,-1.1099448392703462
2018-08-05,-1.5371230740941584,-1.5371230740941584,-1.5371230740941584,-1.5279422836240457,-1.5279422836240457,-1.5279422836240457,-1.511176034980868,-1.511176034980868,-1.511176034980868,-1.532219206726625,-1.532219206726625,-1.532219206726625
2018-08-12,-1.725250584239711,-1.725250584239711,-1.725250584239711,-1.5628070664164042,-1.5628070664164042,-1.5628070664164042,-1.6979925277901375,-1.6979925277901375,-1.6979925277901375,-1.5540656504307542,-1.5540656504307542,-1.5540656504307542
2018-08-19,-1.1033353003278006,-1.1033353003278006,-1.1033353003278006,-1.130009405214713,-1.130009405214713,-1.130009405214713,-1.0809254044198338,-1.0809254044198338,-1.0809254044198338,-1.0949474961809453,-1.0949474961809453,-1.0949474961809453
