Date,ProShares Decline of the Retail StoreEtf_Open_average,ProShares Decline of the Retail StoreEtf_Open_max,ProShares Decline of the Retail StoreEtf_Open_min,ProShares Decline of the Retail StoreEtf_High_average,ProShares Decline of the Retail StoreEtf_High_max,ProShares Decline of the Retail StoreEtf_High_min,ProShares Decline of the Retail StoreEtf_Low_average,ProShares Decline of the Retail StoreEtf_Low_max,ProShares Decline of the Retail StoreEtf_Low_min,ProShares Decline of the Retail StoreEtf_Close_average,ProShares Decline of the Retail StoreEtf_Close_max,ProShares Decline of the Retail StoreEtf_Close_min
2018-05-27,-1.0682777614884014,-1.0682777614884014,-1.0682777614884014,-0.7597593939127407,-0.7597593939127407,-0.7597593939127407,-0.8490255114468656,-0.8490255114468656,-0.8490255114468656,-0.35852014454201137,-0.35852014454201137,-0.35852014454201137
2018-06-03,-2.458547684459614,-2.458547684459614,-2.458547684459614,-2.7483406062217712,-2.7483406062217712,-2.7483406062217712,-2.5726925170328787,-2.5726925170328787,-2.5726925170328787,-2.6153396504990694,-2.6153396504990694,-2.6153396504990694
2018-06-10,-2.0318195436276127,-2.0318195436276127,-2.0318195436276127,-2.1333794738230036,-2.1333794738230036,-2.1333794738230036,-2.2186701018206136,-2.2186701018206136,-2.2186701018206136,-2.2748656640682348,-2.2748656640682348,-2.2748656640682348
2018-06-17,-2.496431040416245,-2.496431040416245,-2.496431040416245,-2.378577202897709,-2.378577202897709,-2.378577202897709,-2.5163945297490002,-2.5163945297490002,-2.5163945297490002,-2.3796451120168776,-2.3796451120168776,-2.3796451120168776
2018-06-24,-1.72884240628132,-1.72884240628132,-1.72884240628132,-1.6668228768475324,-1.6668228768475324,-1.6668228768475324,-1.7170005463217353,-1.7170005463217353,-1.7170005463217353,-1.6269671082715633,-1.6269671082715633,-1.6269671082715633
2018-07-01,-1.4066100018440362,-1.4066100018440362,-1.4066100018440362,-1.4777034990865523,-1.4777034990865523,-1.4777034990865523,-1.424846021496287,-1.424846021496287,-1.424846021496287,-1.4892414673265277,-1.4892414673265277,-1.4892414673265277
2018-07-08,-1.0670204174616285,-1.0670204174616285,-1.0670204174616285,-1.0498679237099287,-1.0498679237099287,-1.0498679237099287,-1.025763763232545,-1.025763763232545,-1.025763763232545,-0.9871399881103816,-0.9871399881103816,-0.9871399881103816
2018-07-15,-1.3000623130925384,-1.3000623130925384,-1.3000623130925384,-1.3419047916560687,-1.3419047916560687,-1.3419047916560687,-1.2952788943074514,-1.2952788943074514,-1.2952788943074514,-1.318061543079638,-1.318061543079638,-1.318061543079638
2018-07-22,-0.8824525490608368,-0.8824525490608368,-0.8824525490608368,-0.811375065294612,-0.811375065294612,-0.811375065294612,-0.8540055650379166,-0.8540055650379166,-0.8540055650379166,-0.798812238353312,-0.798812238353312,-0.798812238353312
2018-07-29,-0.9654547050996843,-0.9654547050996843,-0.9654547050996843,-0.9457837301784306,-0.9457837301784306,-0.9457837301784306,-0.9401125105550192,-0.9401125105550192,-0.9401125105550192,-0.9091921516676335,-0.9091921516676335,-0.9091921516676335
2018-08-05,-1.1283178771315858,-1.1283178771315858,-1.1283178771315858,-1.1997374024124445,-1.1997374024124445,-1.1997374024124445,-1.2990761720679413,-1.2990761720679413,-1.2990761720679413,-1.2597935365932613,-1.2597935365932613,-1.2597935365932613
2018-08-12,-1.1574892707709,-1.1574892707709,-1.1574892707709,-1.1994602188438388,-1.1994602188438388,-1.1994602188438388,-1.3495599266769998,-1.3495599266769998,-1.3495599266769998,-1.3525602474924003,-1.3525602474924003,-1.3525602474924003
2018-08-19,-1.4533720344827037,-1.4533720344827037,-1.4533720344827037,-1.486086014788561,-1.486086014788561,-1.486086014788561,-1.40992521773585,-1.40992521773585,-1.40992521773585,-1.4687486371610528,-1.4687486371610528,-1.4687486371610528
2018-08-26,-1.2392990959396828,-1.2392990959396828,-1.2392990959396828,-1.2683977389916914,-1.2683977389916914,-1.2683977389916914,-1.313123192111922,-1.313123192111922,-1.313123192111922,-1.3666275605219305,-1.3666275605219305,-1.3666275605219305
2018-09-02,-1.2139818453620637,-1.2139818453620637,-1.2139818453620637,-1.21559896327647,-1.21559896327647,-1.21559896327647,-1.182797195361351,-1.182797195361351,-1.182797195361351,-1.1922071224653568,-1.1922071224653568,-1.1922071224653568
