Date,QuantShares US Market Neutral Value_Open_average,QuantShares US Market Neutral Value_Open_max,QuantShares US Market Neutral Value_Open_min,QuantShares US Market Neutral Value_High_average,QuantShares US Market Neutral Value_High_max,QuantShares US Market Neutral Value_High_min,QuantShares US Market Neutral Value_Low_average,QuantShares US Market Neutral Value_Low_max,QuantShares US Market Neutral Value_Low_min,QuantShares US Market Neutral Value_Close_average,QuantShares US Market Neutral Value_Close_max,QuantShares US Market Neutral Value_Close_min
2018-04-08,-0.756585875081303,-0.756585875081303,-0.756585875081303,-0.8708297079307588,-0.8708297079307588,-0.8708297079307588,-0.69229291195746,-0.69229291195746,-0.69229291195746,-0.8370896809895372,-0.8370896809895372,-0.8370896809895372
2018-04-15,-1.6584008178391842,-1.6584008178391842,-1.6584008178391842,-1.6466281085392178,-1.6466281085392178,-1.6466281085392178,-1.7981214984562424,-1.7981214984562424,-1.7981214984562424,-1.7663045258206254,-1.7663045258206254,-1.7663045258206254
2018-04-22,-1.1662320936639916,-1.1662320936639916,-1.1662320936639916,-1.1684467981195363,-1.1684467981195363,-1.1684467981195363,-1.1918111532417082,-1.1918111532417082,-1.1918111532417082,-1.2013497779649889,-1.2013497779649889,-1.2013497779649889
2018-04-29,-0.4805700044665779,-0.4805700044665779,-0.4805700044665779,-0.553498934562561,-0.553498934562561,-0.553498934562561,-0.47382388932884373,-0.47382388932884373,-0.47382388932884373,-0.5405061574024602,-0.5405061574024602,-0.5405061574024602
2018-05-06,-1.2466977698524593,-1.2466977698524593,-1.2466977698524593,-1.1637931612410397,-1.1637931612410397,-1.1637931612410397,-1.2842531638170263,-1.2842531638170263,-1.2842531638170263,-1.246214042261628,-1.246214042261628,-1.246214042261628
2018-05-13,0.007738642631024146,0.007738642631024146,0.007738642631024146,-0.13136058534460707,-0.13136058534460707,-0.13136058534460707,-1.3152134972234077,-1.3152134972234077,-1.3152134972234077,-1.029907671449994,-1.029907671449994,-1.029907671449994
2018-05-20,-2.0700162023378073,-2.0700162023378073,-2.0700162023378073,-2.0813032930982045,-2.0813032930982045,-2.0813032930982045,-2.063769891681739,-2.063769891681739,-2.063769891681739,-2.118845592375516,-2.118845592375516,-2.118845592375516
2018-05-27,-1.9804951180759998,-1.9804951180759998,-1.9804951180759998,-1.6316482484334764,-1.6316482484334764,-1.6316482484334764,-1.824093052567081,-1.824093052567081,-1.824093052567081,-1.7691023661683756,-1.7691023661683756,-1.7691023661683756
2018-06-03,-0.8434333301221817,-0.8434333301221817,-0.8434333301221817,-0.962685963077773,-0.962685963077773,-0.962685963077773,-0.7210945264525351,-0.7210945264525351,-0.7210945264525351,-0.7710920684127683,-0.7710920684127683,-0.7710920684127683
2018-06-10,-0.7506456030590477,-0.7506456030590477,-0.7506456030590477,-0.8435503831370642,-0.8435503831370642,-0.8435503831370642,-0.637455365862058,-0.637455365862058,-0.637455365862058,-0.6848997065032156,-0.6848997065032156,-0.6848997065032156
2018-06-17,-1.350248930603708,-1.350248930603708,-1.350248930603708,-1.4772273558582518,-1.4772273558582518,-1.4772273558582518,-1.2606917984484303,-1.2606917984484303,-1.2606917984484303,-1.3112179676716513,-1.3112179676716513,-1.3112179676716513
2018-06-24,-1.2494651057989974,-1.2494651057989974,-1.2494651057989974,-1.3487765624197632,-1.3487765624197632,-1.3487765624197632,-1.1831427466289737,-1.1831427466289737,-1.1831427466289737,-1.223571593497447,-1.223571593497447,-1.223571593497447
2018-07-01,-1.7285055025027019,-1.7285055025027019,-1.7285055025027019,-1.8255099111118753,-1.8255099111118753,-1.8255099111118753,-1.7320593415019576,-1.7320593415019576,-1.7320593415019576,-1.7636649779890006,-1.7636649779890006,-1.7636649779890006
2018-07-08,-1.6827161711858016,-1.6827161711858016,-1.6827161711858016,-1.7518506834067427,-1.7518506834067427,-1.7518506834067427,-1.7328741183578718,-1.7328741183578718,-1.7328741183578718,-1.7484547045413996,-1.7484547045413996,-1.7484547045413996
2018-07-15,-1.602737513774064,-1.602737513774064,-1.602737513774064,-1.42868660630907,-1.42868660630907,-1.42868660630907,-1.6535024641272467,-1.6535024641272467,-1.6535024641272467,-1.4259077058102536,-1.4259077058102536,-1.4259077058102536
