Date,Guggenheim CurrencyShares British Pound SterlingEtf_Open_average,Guggenheim CurrencyShares British Pound SterlingEtf_Open_max,Guggenheim CurrencyShares British Pound SterlingEtf_Open_min,Guggenheim CurrencyShares British Pound SterlingEtf_High_average,Guggenheim CurrencyShares British Pound SterlingEtf_High_max,Guggenheim CurrencyShares British Pound SterlingEtf_High_min,Guggenheim CurrencyShares British Pound SterlingEtf_Low_average,Guggenheim CurrencyShares British Pound SterlingEtf_Low_max,Guggenheim CurrencyShares British Pound SterlingEtf_Low_min,Guggenheim CurrencyShares British Pound SterlingEtf_Close_average,Guggenheim CurrencyShares British Pound SterlingEtf_Close_max,Guggenheim CurrencyShares British Pound SterlingEtf_Close_min
2018-05-27,-1.8724629438926572,-1.8724629438926572,-1.8724629438926572,-1.8236781347570792,-1.8236781347570792,-1.8236781347570792,-1.8457128561366252,-1.8457128561366252,-1.8457128561366252,-1.8439047762837717,-1.8439047762837717,-1.8439047762837717
2018-06-03,-1.4925139795022506,-1.4925139795022506,-1.4925139795022506,-1.4544118517014348,-1.4544118517014348,-1.4544118517014348,-1.4672738361763429,-1.4672738361763429,-1.4672738361763429,-1.44693285392111,-1.44693285392111,-1.44693285392111
2018-06-10,-1.5848689512374672,-1.5848689512374672,-1.5848689512374672,-1.6428841797597205,-1.6428841797597205,-1.6428841797597205,-1.6239041729666652,-1.6239041729666652,-1.6239041729666652,-1.6585419316264565,-1.6585419316264565,-1.6585419316264565
2018-06-17,-1.4047770862301148,-1.4047770862301148,-1.4047770862301148,-1.4658630107624857,-1.4658630107624857,-1.4658630107624857,-1.4907746196809817,-1.4907746196809817,-1.4907746196809817,-1.5217448260172524,-1.5217448260172524,-1.5217448260172524
2018-06-24,-1.6040511468013623,-1.6040511468013623,-1.6040511468013623,-1.5382643258781388,-1.5382643258781388,-1.5382643258781388,-1.5656185995878038,-1.5656185995878038,-1.5656185995878038,-1.5136196398031503,-1.5136196398031503,-1.5136196398031503
2018-07-01,-1.1589358082953816,-1.1589358082953816,-1.1589358082953816,-1.1945174044246012,-1.1945174044246012,-1.1945174044246012,-1.1399056380254509,-1.1399056380254509,-1.1399056380254509,-1.1822322239425334,-1.1822322239425334,-1.1822322239425334
2018-07-08,-1.2865625347433596,-1.2865625347433596,-1.2865625347433596,-1.184558658381461,-1.184558658381461,-1.184558658381461,-1.257593645643121,-1.257593645643121,-1.257593645643121,-1.1520639765110954,-1.1520639765110954,-1.1520639765110954
2018-07-15,-1.323633562431173,-1.323633562431173,-1.323633562431173,-1.3095047875752928,-1.3095047875752928,-1.3095047875752928,-1.317334931653163,-1.317334931653163,-1.317334931653163,-1.284864221924251,-1.284864221924251,-1.284864221924251
2018-07-22,-1.1669549612082823,-1.1669549612082823,-1.1669549612082823,-1.1916730647547882,-1.1916730647547882,-1.1916730647547882,-1.1518692805465192,-1.1518692805465192,-1.1518692805465192,-1.2179789873465594,-1.2179789873465594,-1.2179789873465594
2018-07-29,-1.306704548313313,-1.306704548313313,-1.306704548313313,-1.314118443503923,-1.314118443503923,-1.314118443503923,-1.2887033745378307,-1.2887033745378307,-1.2887033745378307,-1.3334940780986781,-1.3334940780986781,-1.3334940780986781
