Date,ProShares Ultra Euro_Open_average,ProShares Ultra Euro_Open_max,ProShares Ultra Euro_Open_min,ProShares Ultra Euro_High_average,ProShares Ultra Euro_High_max,ProShares Ultra Euro_High_min,ProShares Ultra Euro_Low_average,ProShares Ultra Euro_Low_max,ProShares Ultra Euro_Low_min,ProShares Ultra Euro_Close_average,ProShares Ultra Euro_Close_max,ProShares Ultra Euro_Close_min
2018-04-08,0.173108935825371,0.173108935825371,0.173108935825371,-0.20445764610005773,-0.20445764610005773,-0.20445764610005773,0.047162291529918195,0.047162291529918195,0.047162291529918195,-0.34197805434370465,-0.34197805434370465,-0.34197805434370465
2018-04-15,-2.0014280490773007,-2.0014280490773007,-2.0014280490773007,-2.112300791204308,-2.112300791204308,-2.112300791204308,-2.261940316185177,-2.261940316185177,-2.261940316185177,-2.3209031630808523,-2.3209031630808523,-2.3209031630808523
2018-04-22,-2.5228762740135955,-2.5228762740135955,-2.5228762740135955,-2.47461571790164,-2.47461571790164,-2.47461571790164,-2.5493163909246275,-2.5493163909246275,-2.5493163909246275,-2.542930554540198,-2.542930554540198,-2.542930554540198
2018-04-29,-2.5806056470139453,-2.5806056470139453,-2.5806056470139453,-2.5227634027810066,-2.5227634027810066,-2.5227634027810066,-2.5178122339273794,-2.5178122339273794,-2.5178122339273794,-2.485295279302013,-2.485295279302013,-2.485295279302013
2018-05-06,-1.6691871919810999,-1.6691871919810999,-1.6691871919810999,-1.7152474575336438,-1.7152474575336438,-1.7152474575336438,-1.8185301963762222,-1.8185301963762222,-1.8185301963762222,-1.8589600650824483,-1.8589600650824483,-1.8589600650824483
2018-05-13,-2.065544396769934,-2.065544396769934,-2.065544396769934,-2.0506426285144133,-2.0506426285144133,-2.0506426285144133,-2.084342496207467,-2.084342496207467,-2.084342496207467,-1.961890719781583,-1.961890719781583,-1.961890719781583
2018-05-20,-1.9684853411387953,-1.9684853411387953,-1.9684853411387953,-1.9373414107521048,-1.9373414107521048,-1.9373414107521048,-1.8797335800085249,-1.8797335800085249,-1.8797335800085249,-1.8975043594020722,-1.8975043594020722,-1.8975043594020722
2018-05-27,-1.4921521498753965,-1.4921521498753965,-1.4921521498753965,-1.4674019315493172,-1.4674019315493172,-1.4674019315493172,-1.4433714402413,-1.4433714402413,-1.4433714402413,-1.4841834343744071,-1.4841834343744071,-1.4841834343744071
2018-06-03,-1.0210912900343372,-1.0210912900343372,-1.0210912900343372,-1.0519586844914228,-1.0519586844914228,-1.0519586844914228,-0.9643210989118232,-0.9643210989118232,-0.9643210989118232,-1.0087392684306449,-1.0087392684306449,-1.0087392684306449
2018-06-10,-1.41341455131763,-1.41341455131763,-1.41341455131763,-1.3997573287427896,-1.3997573287427896,-1.3997573287427896,-1.3904574473411278,-1.3904574473411278,-1.3904574473411278,-1.3831038074388207,-1.3831038074388207,-1.3831038074388207
2018-06-17,-1.01027035597874,-1.01027035597874,-1.01027035597874,-0.9966170926651591,-0.9966170926651591,-0.9966170926651591,-1.0028069402560924,-1.0028069402560924,-1.0028069402560924,-1.01135816829279,-1.01135816829279,-1.01135816829279
