Date,iShares MSCI Turkey_Open_average,iShares MSCI Turkey_Open_max,iShares MSCI Turkey_Open_min,iShares MSCI Turkey_High_average,iShares MSCI Turkey_High_max,iShares MSCI Turkey_High_min,iShares MSCI Turkey_Low_average,iShares MSCI Turkey_Low_max,iShares MSCI Turkey_Low_min,iShares MSCI Turkey_Close_average,iShares MSCI Turkey_Close_max,iShares MSCI Turkey_Close_min
2018-04-08,-2.180766077559985,-2.180766077559985,-2.180766077559985,-2.0690238393410683,-2.0690238393410683,-2.0690238393410683,-1.949317186549222,-1.949317186549222,-1.949317186549222,-1.8792962182296473,-1.8792962182296473,-1.8792962182296473
2018-04-15,-1.6311248270323384,-1.6311248270323384,-1.6311248270323384,-1.6791914344855672,-1.6791914344855672,-1.6791914344855672,-1.607722705836903,-1.607722705836903,-1.607722705836903,-1.6954040052511636,-1.6954040052511636,-1.6954040052511636
2018-04-22,-1.6032805374854429,-1.6032805374854429,-1.6032805374854429,-1.6070807580061899,-1.6070807580061899,-1.6070807580061899,-1.8205145530104865,-1.8205145530104865,-1.8205145530104865,-1.7748844962865944,-1.7748844962865944,-1.7748844962865944
2018-04-29,-2.2527722035730307,-2.2527722035730307,-2.2527722035730307,-2.2307506898501206,-2.2307506898501206,-2.2307506898501206,-2.139277461020081,-2.139277461020081,-2.139277461020081,-2.1028592541475093,-2.1028592541475093,-2.1028592541475093
2018-05-06,-1.6931239182698796,-1.6931239182698796,-1.6931239182698796,-1.6599730549514788,-1.6599730549514788,-1.6599730549514788,-1.7334990360739033,-1.7334990360739033,-1.7334990360739033,-1.7498873842458575,-1.7498873842458575,-1.7498873842458575
2018-05-13,-1.8658496479200477,-1.8658496479200477,-1.8658496479200477,-1.850714781432249,-1.850714781432249,-1.850714781432249,-1.7666982299173246,-1.7666982299173246,-1.7666982299173246,-1.743604802514273,-1.743604802514273,-1.743604802514273
2018-05-20,-1.6944057348115726,-1.6944057348115726,-1.6944057348115726,-1.6555878795764498,-1.6555878795764498,-1.6555878795764498,-1.5953802781128865,-1.5953802781128865,-1.5953802781128865,-1.5941884301913396,-1.5941884301913396,-1.5941884301913396
2018-05-27,-1.4302258909129613,-1.4302258909129613,-1.4302258909129613,-1.4141024182798376,-1.4141024182798376,-1.4141024182798376,-1.3688541346775724,-1.3688541346775724,-1.3688541346775724,-1.384081291867314,-1.384081291867314,-1.384081291867314
2018-06-03,-1.2576389634388974,-1.2576389634388974,-1.2576389634388974,-1.2775169476608361,-1.2775169476608361,-1.2775169476608361,-1.221224377215572,-1.221224377215572,-1.221224377215572,-1.2432680876041102,-1.2432680876041102,-1.2432680876041102
2018-06-10,-1.5515343153448509,-1.5515343153448509,-1.5515343153448509,-1.5414878627353568,-1.5414878627353568,-1.5414878627353568,-1.5537270046428597,-1.5537270046428597,-1.5537270046428597,-1.5004161383351435,-1.5004161383351435,-1.5004161383351435
2018-06-17,-1.3962595220527645,-1.3962595220527645,-1.3962595220527645,-1.4036306173545312,-1.4036306173545312,-1.4036306173545312,-1.443359108855552,-1.443359108855552,-1.443359108855552,-1.415550400104583,-1.415550400104583,-1.415550400104583
2018-06-24,-1.0529663926574249,-1.0529663926574249,-1.0529663926574249,-1.0415353902785005,-1.0415353902785005,-1.0415353902785005,-1.0094828688373654,-1.0094828688373654,-1.0094828688373654,-1.0085794990047199,-1.0085794990047199,-1.0085794990047199
2018-07-01,-0.5988354898207409,-0.5988354898207409,-0.5988354898207409,-0.5900648711229702,-0.5900648711229702,-0.5900648711229702,-0.9051894527566511,-0.9051894527566511,-0.9051894527566511,-0.897280847880645,-0.897280847880645,-0.897280847880645
2018-07-08,-1.6374624511415532,-1.6374624511415532,-1.6374624511415532,-1.6485100670312007,-1.6485100670312007,-1.6485100670312007,-1.6145586334778739,-1.6145586334778739,-1.6145586334778739,-1.6324657452774773,-1.6324657452774773,-1.6324657452774773
2018-07-15,-0.9471874026393003,-0.9471874026393003,-0.9471874026393003,-0.9626432277560167,-0.9626432277560167,-0.9626432277560167,-0.9402636825633359,-0.9402636825633359,-0.9402636825633359,-0.9635819695628322,-0.9635819695628322,-0.9635819695628322
