Date,PowerShares DB Precious MetalsEtf_Open_average,PowerShares DB Precious MetalsEtf_Open_max,PowerShares DB Precious MetalsEtf_Open_min,PowerShares DB Precious MetalsEtf_High_average,PowerShares DB Precious MetalsEtf_High_max,PowerShares DB Precious MetalsEtf_High_min,PowerShares DB Precious MetalsEtf_Low_average,PowerShares DB Precious MetalsEtf_Low_max,PowerShares DB Precious MetalsEtf_Low_min,PowerShares DB Precious MetalsEtf_Close_average,PowerShares DB Precious MetalsEtf_Close_max,PowerShares DB Precious MetalsEtf_Close_min
2018-05-27,-1.6595648258092055,-1.6595648258092055,-1.6595648258092055,-1.674854373097421,-1.674854373097421,-1.674854373097421,-1.623977576576913,-1.623977576576913,-1.623977576576913,-1.7542077236646374,-1.7542077236646374,-1.7542077236646374
2018-06-03,-1.0090069051758743,-1.0090069051758743,-1.0090069051758743,-1.1796617608286626,-1.1796617608286626,-1.1796617608286626,-0.9913065271440409,-0.9913065271440409,-0.9913065271440409,-1.1367631667156266,-1.1367631667156266,-1.1367631667156266
2018-06-10,-1.6231194516102125,-1.6231194516102125,-1.6231194516102125,-1.80804520467034,-1.80804520467034,-1.80804520467034,-1.8558169111860037,-1.8558169111860037,-1.8558169111860037,-1.9758909071630189,-1.9758909071630189,-1.9758909071630189
2018-06-17,-2.101524143261966,-2.101524143261966,-2.101524143261966,-2.1348643771789972,-2.1348643771789972,-2.1348643771789972,-2.0714845589243467,-2.0714845589243467,-2.0714845589243467,-2.069579731662851,-2.069579731662851,-2.069579731662851
2018-06-24,-2.4584477969840237,-2.4584477969840237,-2.4584477969840237,-2.420528436406586,-2.420528436406586,-2.420528436406586,-2.473138840967524,-2.473138840967524,-2.473138840967524,-2.418325523332643,-2.418325523332643,-2.418325523332643
2018-07-01,-1.9618623219411624,-1.9618623219411624,-1.9618623219411624,-2.0720441708255275,-2.0720441708255275,-2.0720441708255275,-1.9786403525533203,-1.9786403525533203,-1.9786403525533203,-2.0413754252727,-2.0413754252727,-2.0413754252727
2018-07-08,-2.0950399150073773,-2.0950399150073773,-2.0950399150073773,-2.1326106232221287,-2.1326106232221287,-2.1326106232221287,-2.0814227205192495,-2.0814227205192495,-2.0814227205192495,-2.1707828888154355,-2.1707828888154355,-2.1707828888154355
2018-07-15,-2.157943350763349,-2.157943350763349,-2.157943350763349,-2.156887475728257,-2.156887475728257,-2.156887475728257,-2.146351404249419,-2.146351404249419,-2.146351404249419,-2.148770221131945,-2.148770221131945,-2.148770221131945
2018-07-22,-1.8723729053256162,-1.8723729053256162,-1.8723729053256162,-1.9095489890039667,-1.9095489890039667,-1.9095489890039667,-1.8995672182187762,-1.8995672182187762,-1.8995672182187762,-1.9321421805032355,-1.9321421805032355,-1.9321421805032355
2018-07-29,-1.772286573924647,-1.772286573924647,-1.772286573924647,-1.769153858200218,-1.769153858200218,-1.769153858200218,-1.8254572144259784,-1.8254572144259784,-1.8254572144259784,-1.8747517847230182,-1.8747517847230182,-1.8747517847230182
