Date,KraneShares Bosera MSCI China A Share_Open_average,KraneShares Bosera MSCI China A Share_Open_max,KraneShares Bosera MSCI China A Share_Open_min,KraneShares Bosera MSCI China A Share_High_average,KraneShares Bosera MSCI China A Share_High_max,KraneShares Bosera MSCI China A Share_High_min,KraneShares Bosera MSCI China A Share_Low_average,KraneShares Bosera MSCI China A Share_Low_max,KraneShares Bosera MSCI China A Share_Low_min,KraneShares Bosera MSCI China A Share_Close_average,KraneShares Bosera MSCI China A Share_Close_max,KraneShares Bosera MSCI China A Share_Close_min
2018-04-08,-0.7452638802930867,-0.7452638802930867,-0.7452638802930867,-0.8284182560263051,-0.8284182560263051,-0.8284182560263051,-0.7084093986308255,-0.7084093986308255,-0.7084093986308255,-0.8624570346000511,-0.8624570346000511,-0.8624570346000511
2018-04-15,-1.2930899680842523,-1.2930899680842523,-1.2930899680842523,-1.3870566404785696,-1.3870566404785696,-1.3870566404785696,-1.1935798271746514,-1.1935798271746514,-1.1935798271746514,-1.3866279784256816,-1.3866279784256816,-1.3866279784256816
2018-04-22,-1.2641832964339472,-1.2641832964339472,-1.2641832964339472,-1.3808627398569082,-1.3808627398569082,-1.3808627398569082,-1.0438946034576402,-1.0438946034576402,-1.0438946034576402,-1.2127818279858138,-1.2127818279858138,-1.2127818279858138
2018-04-29,-1.2686920369240762,-1.2686920369240762,-1.2686920369240762,-1.1924673321553403,-1.1924673321553403,-1.1924673321553403,-0.9870819451123355,-0.9870819451123355,-0.9870819451123355,-1.033366325531965,-1.033366325531965,-1.033366325531965
2018-05-06,-0.27144030767313976,-0.27144030767313976,-0.27144030767313976,-0.33884956022218105,-0.33884956022218105,-0.33884956022218105,-0.12975733293797123,-0.12975733293797123,-0.12975733293797123,-0.22180191977970787,-0.22180191977970787,-0.22180191977970787
2018-05-13,-0.308116819444937,-0.308116819444937,-0.308116819444937,-0.3871890179095652,-0.3871890179095652,-0.3871890179095652,-0.167110612466774,-0.167110612466774,-0.167110612466774,-0.2432847541001211,-0.2432847541001211,-0.2432847541001211
2018-05-20,-0.8932433808255529,-0.8932433808255529,-0.8932433808255529,-0.8633018177911815,-0.8633018177911815,-0.8633018177911815,-0.6953358286258798,-0.6953358286258798,-0.6953358286258798,-0.6657682070399265,-0.6657682070399265,-0.6657682070399265
2018-05-27,-1.0177541873257305,-1.0177541873257305,-1.0177541873257305,-1.0454075738411404,-1.0454075738411404,-1.0454075738411404,-0.8569212657607336,-0.8569212657607336,-0.8569212657607336,-0.8835765420086231,-0.8835765420086231,-0.8835765420086231
2018-06-03,-0.9073618517276154,-0.9073618517276154,-0.9073618517276154,-0.96285113374415,-0.96285113374415,-0.96285113374415,-0.8818461677019925,-0.8818461677019925,-0.8818461677019925,-0.8278201755981539,-0.8278201755981539,-0.8278201755981539
2018-06-10,-1.0690118085387401,-1.0690118085387401,-1.0690118085387401,-1.1335440169034028,-1.1335440169034028,-1.1335440169034028,-1.2495700770466986,-1.2495700770466986,-1.2495700770466986,-1.3093694654011105,-1.3093694654011105,-1.3093694654011105
