Date,PowerShares S&P Emerging Markets Low Volatility_etf_Open_average,PowerShares S&P Emerging Markets Low Volatility_etf_Open_max,PowerShares S&P Emerging Markets Low Volatility_etf_Open_min,PowerShares S&P Emerging Markets Low Volatility_etf_High_average,PowerShares S&P Emerging Markets Low Volatility_etf_High_max,PowerShares S&P Emerging Markets Low Volatility_etf_High_min,PowerShares S&P Emerging Markets Low Volatility_etf_Low_average,PowerShares S&P Emerging Markets Low Volatility_etf_Low_max,PowerShares S&P Emerging Markets Low Volatility_etf_Low_min,PowerShares S&P Emerging Markets Low Volatility_etf_Close_average,PowerShares S&P Emerging Markets Low Volatility_etf_Close_max,PowerShares S&P Emerging Markets Low Volatility_etf_Close_min
2018-04-08,0.4882331013274921,0.4882331013274921,0.4882331013274921,0.26075044126573754,0.26075044126573754,0.26075044126573754,0.25075545309453706,0.25075545309453706,0.25075545309453706,0.26428796813632566,0.26428796813632566,0.26428796813632566
2018-04-15,0.19404799035941483,0.19404799035941483,0.19404799035941483,-0.033371802603598455,-0.033371802603598455,-0.033371802603598455,0.08558771742044642,0.08558771742044642,0.08558771742044642,-0.08501342831164609,-0.08501342831164609,-0.08501342831164609
2018-04-22,0.08349682409838684,0.08349682409838684,0.08349682409838684,-0.1004764775195959,-0.1004764775195959,-0.1004764775195959,0.15715821820626835,0.15715821820626835,0.15715821820626835,0.24740572917870227,0.24740572917870227,0.24740572917870227
2018-04-29,-1.5044024503082174,-1.5044024503082174,-1.5044024503082174,-1.003704184830866,-1.003704184830866,-1.003704184830866,-0.9035859429019916,-0.9035859429019916,-0.9035859429019916,-0.9931051067602954,-0.9931051067602954,-0.9931051067602954
2018-05-06,-1.3686004033649348,-1.3686004033649348,-1.3686004033649348,-1.8028548066037782,-1.8028548066037782,-1.8028548066037782,-1.4278155636964134,-1.4278155636964134,-1.4278155636964134,-1.7220754776710387,-1.7220754776710387,-1.7220754776710387
2018-05-13,-1.7170072086109225,-1.7170072086109225,-1.7170072086109225,-2.083391959054401,-2.083391959054401,-2.083391959054401,-1.609589995858866,-1.609589995858866,-1.609589995858866,-1.7245815027389093,-1.7245815027389093,-1.7245815027389093
2018-05-20,-1.2459094937860182,-1.2459094937860182,-1.2459094937860182,-1.5223705431142485,-1.5223705431142485,-1.5223705431142485,-1.1892685638824185,-1.1892685638824185,-1.1892685638824185,-1.2677174545955128,-1.2677174545955128,-1.2677174545955128
2018-05-27,-1.5957591177553232,-1.5957591177553232,-1.5957591177553232,-1.6045606603682283,-1.6045606603682283,-1.6045606603682283,-1.8384873263554897,-1.8384873263554897,-1.8384873263554897,-1.832315511572149,-1.832315511572149,-1.832315511572149
2018-06-03,-1.272258909128978,-1.272258909128978,-1.272258909128978,-1.3389110974330152,-1.3389110974330152,-1.3389110974330152,-1.2995787221225659,-1.2995787221225659,-1.2995787221225659,-1.0708891916232754,-1.0708891916232754,-1.0708891916232754
2018-06-10,-1.7299968343672387,-1.7299968343672387,-1.7299968343672387,-1.986920584074948,-1.986920584074948,-1.986920584074948,-1.9687380504381897,-1.9687380504381897,-1.9687380504381897,-1.8195469266932782,-1.8195469266932782,-1.8195469266932782
