Date,NuShares Enhanced Yield US Aggregate Bond_etf_Open_average,NuShares Enhanced Yield US Aggregate Bond_etf_Open_max,NuShares Enhanced Yield US Aggregate Bond_etf_Open_min,NuShares Enhanced Yield US Aggregate Bond_etf_High_average,NuShares Enhanced Yield US Aggregate Bond_etf_High_max,NuShares Enhanced Yield US Aggregate Bond_etf_High_min,NuShares Enhanced Yield US Aggregate Bond_etf_Low_average,NuShares Enhanced Yield US Aggregate Bond_etf_Low_max,NuShares Enhanced Yield US Aggregate Bond_etf_Low_min,NuShares Enhanced Yield US Aggregate Bond_etf_Close_average,NuShares Enhanced Yield US Aggregate Bond_etf_Close_max,NuShares Enhanced Yield US Aggregate Bond_etf_Close_min
2018-04-08,-0.350287463137798,-0.350287463137798,-0.350287463137798,-0.5328027804099496,-0.5328027804099496,-0.5328027804099496,-0.46617222238997125,-0.46617222238997125,-0.46617222238997125,-0.3388963130476208,-0.3388963130476208,-0.3388963130476208
2018-04-15,-1.0220521089517176,-1.0220521089517176,-1.0220521089517176,-1.2094434550794206,-1.2094434550794206,-1.2094434550794206,-1.2899960658701761,-1.2899960658701761,-1.2899960658701761,-1.0902847893627108,-1.0902847893627108,-1.0902847893627108
2018-04-22,-1.647124179814768,-1.647124179814768,-1.647124179814768,-1.8194420887047895,-1.8194420887047895,-1.8194420887047895,-1.9609994940536328,-1.9609994940536328,-1.9609994940536328,-1.824601570396482,-1.824601570396482,-1.824601570396482
2018-04-29,-2.351827889107391,-2.351827889107391,-2.351827889107391,-2.1333574928349286,-2.1333574928349286,-2.1333574928349286,-1.996396596834396,-1.996396596834396,-1.996396596834396,-2.307769032998871,-2.307769032998871,-2.307769032998871
2018-05-06,-1.9756178706482606,-1.9756178706482606,-1.9756178706482606,-1.9454445256095607,-1.9454445256095607,-1.9454445256095607,-1.8863379471053585,-1.8863379471053585,-1.8863379471053585,-2.0531743353052345,-2.0531743353052345,-2.0531743353052345
2018-05-13,-2.072952786065681,-2.072952786065681,-2.072952786065681,-2.0030673580412297,-2.0030673580412297,-2.0030673580412297,-1.9845516086158952,-1.9845516086158952,-1.9845516086158952,-2.119860886666158,-2.119860886666158,-2.119860886666158
2018-05-20,-0.6061649603671336,-0.6061649603671336,-0.6061649603671336,-0.6418490525931204,-0.6418490525931204,-0.6418490525931204,-0.5824104512997481,-0.5824104512997481,-0.5824104512997481,-0.6613783600410708,-0.6613783600410708,-0.6613783600410708
2018-05-27,-0.318065846628854,-0.318065846628854,-0.318065846628854,-0.3565760657775111,-0.3565760657775111,-0.3565760657775111,-0.23394916074168123,-0.23394916074168123,-0.23394916074168123,-0.21912071630678306,-0.21912071630678306,-0.21912071630678306
2018-06-03,-0.933159712655479,-0.933159712655479,-0.933159712655479,-0.8934538812096176,-0.8934538812096176,-0.8934538812096176,-0.9301845790830988,-0.9301845790830988,-0.9301845790830988,-1.0704280884015616,-1.0704280884015616,-1.0704280884015616
2018-06-10,-0.2993909506479231,-0.2993909506479231,-0.2993909506479231,-0.4599217124198868,-0.4599217124198868,-0.4599217124198868,-0.35247934536714465,-0.35247934536714465,-0.35247934536714465,-0.5321485829277777,-0.5321485829277777,-0.5321485829277777
