Date,iShares Core MSCI Total International StockEtf_Open_average,iShares Core MSCI Total International StockEtf_Open_max,iShares Core MSCI Total International StockEtf_Open_min,iShares Core MSCI Total International StockEtf_High_average,iShares Core MSCI Total International StockEtf_High_max,iShares Core MSCI Total International StockEtf_High_min,iShares Core MSCI Total International StockEtf_Low_average,iShares Core MSCI Total International StockEtf_Low_max,iShares Core MSCI Total International StockEtf_Low_min,iShares Core MSCI Total International StockEtf_Close_average,iShares Core MSCI Total International StockEtf_Close_max,iShares Core MSCI Total International StockEtf_Close_min
2018-05-27,-0.7509670530931971,-0.7509670530931971,-0.7509670530931971,-0.8166748629187912,-0.8166748629187912,-0.8166748629187912,-0.547000464373865,-0.547000464373865,-0.547000464373865,-0.6339334043190539,-0.6339334043190539,-0.6339334043190539
2018-06-03,-0.3950152716163151,-0.3950152716163151,-0.3950152716163151,-0.46146068894722453,-0.46146068894722453,-0.46146068894722453,-0.2819403591147821,-0.2819403591147821,-0.2819403591147821,-0.2917021087719248,-0.2917021087719248,-0.2917021087719248
2018-06-10,-0.9027619822328699,-0.9027619822328699,-0.9027619822328699,-1.1223410690514144,-1.1223410690514144,-1.1223410690514144,-0.6874713392989509,-0.6874713392989509,-0.6874713392989509,-0.8799732124016872,-0.8799732124016872,-0.8799732124016872
2018-06-17,-2.4146057442236737,-2.4146057442236737,-2.4146057442236737,-2.5668121512159594,-2.5668121512159594,-2.5668121512159594,-1.943938820678491,-1.943938820678491,-1.943938820678491,-2.3746986458647252,-2.3746986458647252,-2.3746986458647252
2018-06-24,-2.7042674616999527,-2.7042674616999527,-2.7042674616999527,-2.681700899511552,-2.681700899511552,-2.681700899511552,-2.4410694615893775,-2.4410694615893775,-2.4410694615893775,-2.523944835150057,-2.523944835150057,-2.523944835150057
2018-07-01,-2.2407425790022533,-2.2407425790022533,-2.2407425790022533,-2.125791056394044,-2.125791056394044,-2.125791056394044,-2.0921443483417375,-2.0921443483417375,-2.0921443483417375,-1.9672264846157324,-1.9672264846157324,-1.9672264846157324
2018-07-08,-1.6350562875472183,-1.6350562875472183,-1.6350562875472183,-1.711973233589133,-1.711973233589133,-1.711973233589133,-1.5747442018636117,-1.5747442018636117,-1.5747442018636117,-1.5488544407619438,-1.5488544407619438,-1.5488544407619438
2018-07-15,-1.4324685355826399,-1.4324685355826399,-1.4324685355826399,-1.3960490837932003,-1.3960490837932003,-1.3960490837932003,-1.3164000656182608,-1.3164000656182608,-1.3164000656182608,-1.2982363021522425,-1.2982363021522425,-1.2982363021522425
2018-07-22,-0.527962778123456,-0.527962778123456,-0.527962778123456,-0.6268734837865255,-0.6268734837865255,-0.6268734837865255,-0.6109040031831827,-0.6109040031831827,-0.6109040031831827,-0.691293555460582,-0.691293555460582,-0.691293555460582
2018-07-29,-1.1499474679588169,-1.1499474679588169,-1.1499474679588169,-1.1442549841931193,-1.1442549841931193,-1.1442549841931193,-1.0479227424643818,-1.0479227424643818,-1.0479227424643818,-1.0128865824575486,-1.0128865824575486,-1.0128865824575486
