Date,iShares MSCI Germany Small-CapEtf_Open_average,iShares MSCI Germany Small-CapEtf_Open_max,iShares MSCI Germany Small-CapEtf_Open_min,iShares MSCI Germany Small-CapEtf_High_average,iShares MSCI Germany Small-CapEtf_High_max,iShares MSCI Germany Small-CapEtf_High_min,iShares MSCI Germany Small-CapEtf_Low_average,iShares MSCI Germany Small-CapEtf_Low_max,iShares MSCI Germany Small-CapEtf_Low_min,iShares MSCI Germany Small-CapEtf_Close_average,iShares MSCI Germany Small-CapEtf_Close_max,iShares MSCI Germany Small-CapEtf_Close_min
2018-05-27,-0.7580057980546009,-0.7580057980546009,-0.7580057980546009,-0.9056008337379932,-0.9056008337379932,-0.9056008337379932,-0.7473124787726069,-0.7473124787726069,-0.7473124787726069,-0.9319656249138949,-0.9319656249138949,-0.9319656249138949
2018-06-03,-0.2872648957388665,-0.2872648957388665,-0.2872648957388665,-0.3845049902676301,-0.3845049902676301,-0.3845049902676301,-0.2546073712957734,-0.2546073712957734,-0.2546073712957734,-0.23420188434460176,-0.23420188434460176,-0.23420188434460176
2018-06-10,-0.3821949438860339,-0.3821949438860339,-0.3821949438860339,-0.5747462860313653,-0.5747462860313653,-0.5747462860313653,-0.4253622996667896,-0.4253622996667896,-0.4253622996667896,-0.5466761620640261,-0.5466761620640261,-0.5466761620640261
2018-06-17,-2.476731559514346,-2.476731559514346,-2.476731559514346,-2.589341060349057,-2.589341060349057,-2.589341060349057,-2.2973031963752337,-2.2973031963752337,-2.2973031963752337,-2.520598626995049,-2.520598626995049,-2.520598626995049
2018-06-24,-2.9306332956714884,-2.9306332956714884,-2.9306332956714884,-2.852027411110815,-2.852027411110815,-2.852027411110815,-2.8197612606075424,-2.8197612606075424,-2.8197612606075424,-2.880396887497309,-2.880396887497309,-2.880396887497309
2018-07-01,-1.9442622254207376,-1.9442622254207376,-1.9442622254207376,-1.9250656487329714,-1.9250656487329714,-1.9250656487329714,-1.8399004103489436,-1.8399004103489436,-1.8399004103489436,-1.8562004862744592,-1.8562004862744592,-1.8562004862744592
2018-07-08,-1.4597223635648882,-1.4597223635648882,-1.4597223635648882,-1.5207745523576048,-1.5207745523576048,-1.5207745523576048,-1.4097509214896955,-1.4097509214896955,-1.4097509214896955,-1.4622609194763418,-1.4622609194763418,-1.4622609194763418
2018-07-15,-0.9000493869619521,-0.9000493869619521,-0.9000493869619521,-0.8925160376763955,-0.8925160376763955,-0.8925160376763955,-0.8014717235817227,-0.8014717235817227,-0.8014717235817227,-0.814712473311418,-0.814712473311418,-0.814712473311418
2018-07-22,-0.25661485689245156,-0.25661485689245156,-0.25661485689245156,-0.3373961177668451,-0.3373961177668451,-0.3373961177668451,-0.36645690764701905,-0.36645690764701905,-0.36645690764701905,-0.45739757030835654,-0.45739757030835654,-0.45739757030835654
2018-07-29,-0.9027334965824895,-0.9027334965824895,-0.9027334965824895,-0.9100139136022889,-0.9100139136022889,-0.9100139136022889,-0.8045552425664348,-0.8045552425664348,-0.8045552425664348,-0.8325731444477654,-0.8325731444477654,-0.8325731444477654
