Date,iShares Gold_Open_average,iShares Gold_Open_max,iShares Gold_Open_min,iShares Gold_High_average,iShares Gold_High_max,iShares Gold_High_min,iShares Gold_Low_average,iShares Gold_Low_max,iShares Gold_Low_min,iShares Gold_Close_average,iShares Gold_Close_max,iShares Gold_Close_min
2018-04-08,1.0744685316968214,1.0744685316968214,1.0744685316968214,0.9910342781756788,0.9910342781756788,0.9910342781756788,1.1727471063003283,1.1727471063003283,1.1727471063003283,0.9843760999230594,0.9843760999230594,0.9843760999230594
2018-04-15,-0.6341090133704899,-0.6341090133704899,-0.6341090133704899,-0.836572433914722,-0.836572433914722,-0.836572433914722,-0.6597081270672981,-0.6597081270672981,-0.6597081270672981,-0.7516978954337878,-0.7516978954337878,-0.7516978954337878
2018-04-22,-1.3298323193317552,-1.3298323193317552,-1.3298323193317552,-1.121880713779543,-1.121880713779543,-1.121880713779543,-1.3890499718140636,-1.3890499718140636,-1.3890499718140636,-1.3286039984237465,-1.3286039984237465,-1.3286039984237465
2018-04-29,-1.0718704820779663,-1.0718704820779663,-1.0718704820779663,-1.2659407821977662,-1.2659407821977662,-1.2659407821977662,-1.1204208084702292,-1.1204208084702292,-1.1204208084702292,-1.1306289744875593,-1.1306289744875593,-1.1306289744875593
2018-05-06,-0.6446447609131358,-0.6446447609131358,-0.6446447609131358,-0.8513247750515192,-0.8513247750515192,-0.8513247750515192,-0.9130010632788862,-0.9130010632788862,-0.9130010632788862,-1.1208600558420592,-1.1208600558420592,-1.1208600558420592
2018-05-13,-2.1287246255606966,-2.1287246255606966,-2.1287246255606966,-2.127410516290985,-2.127410516290985,-2.127410516290985,-2.063418178313833,-2.063418178313833,-2.063418178313833,-1.9782206027733942,-1.9782206027733942,-1.9782206027733942
2018-05-20,-1.1047524389962602,-1.1047524389962602,-1.1047524389962602,-1.174088554055072,-1.174088554055072,-1.174088554055072,-1.122839407606255,-1.122839407606255,-1.122839407606255,-1.289578348053429,-1.289578348053429,-1.289578348053429
2018-05-27,-1.2578460676305483,-1.2578460676305483,-1.2578460676305483,-1.391422488279528,-1.391422488279528,-1.391422488279528,-1.3505295113730365,-1.3505295113730365,-1.3505295113730365,-1.512757539776169,-1.512757539776169,-1.512757539776169
2018-06-03,-1.0567871206815258,-1.0567871206815258,-1.0567871206815258,-0.9922102101493513,-0.9922102101493513,-0.9922102101493513,-0.9150512786221773,-0.9150512786221773,-0.9150512786221773,-0.9609073034463378,-0.9609073034463378,-0.9609073034463378
2018-06-10,-1.611818152186488,-1.611818152186488,-1.611818152186488,-1.626788238886265,-1.626788238886265,-1.626788238886265,-1.597524126056732,-1.597524126056732,-1.597524126056732,-1.6271091544926102,-1.6271091544926102,-1.6271091544926102
