Date,ProShares Ultra MSCI Emerging MarketsEtf_Open_average,ProShares Ultra MSCI Emerging MarketsEtf_Open_max,ProShares Ultra MSCI Emerging MarketsEtf_Open_min,ProShares Ultra MSCI Emerging MarketsEtf_High_average,ProShares Ultra MSCI Emerging MarketsEtf_High_max,ProShares Ultra MSCI Emerging MarketsEtf_High_min,ProShares Ultra MSCI Emerging MarketsEtf_Low_average,ProShares Ultra MSCI Emerging MarketsEtf_Low_max,ProShares Ultra MSCI Emerging MarketsEtf_Low_min,ProShares Ultra MSCI Emerging MarketsEtf_Close_average,ProShares Ultra MSCI Emerging MarketsEtf_Close_max,ProShares Ultra MSCI Emerging MarketsEtf_Close_min
2018-05-27,-1.2049514908335233,-1.2049514908335233,-1.2049514908335233,-1.2191524080856482,-1.2191524080856482,-1.2191524080856482,-1.0462252753765138,-1.0462252753765138,-1.0462252753765138,-1.094415722252101,-1.094415722252101,-1.094415722252101
2018-06-03,-1.1128637996170667,-1.1128637996170667,-1.1128637996170667,-1.1000309593641675,-1.1000309593641675,-1.1000309593641675,-0.9299109900372179,-0.9299109900372179,-0.9299109900372179,-1.001543042576061,-1.001543042576061,-1.001543042576061
2018-06-10,-1.612924582427812,-1.612924582427812,-1.612924582427812,-1.7500160633540605,-1.7500160633540605,-1.7500160633540605,-1.5179771959558463,-1.5179771959558463,-1.5179771959558463,-1.6706170168867447,-1.6706170168867447,-1.6706170168867447
2018-06-17,-1.9149578250205868,-1.9149578250205868,-1.9149578250205868,-2.0082257705743336,-2.0082257705743336,-2.0082257705743336,-1.858266050968505,-1.858266050968505,-1.858266050968505,-1.9523428265986174,-1.9523428265986174,-1.9523428265986174
2018-06-24,-2.0451591399777005,-2.0451591399777005,-2.0451591399777005,-2.003374796143934,-2.003374796143934,-2.003374796143934,-1.940125331692101,-1.940125331692101,-1.940125331692101,-1.9585497032742163,-1.9585497032742163,-1.9585497032742163
2018-07-01,-1.9310735642787968,-1.9310735642787968,-1.9310735642787968,-1.7844346634199626,-1.7844346634199626,-1.7844346634199626,-1.8585960172533948,-1.8585960172533948,-1.8585960172533948,-1.7954610283024466,-1.7954610283024466,-1.7954610283024466
2018-07-08,-1.421708394656704,-1.421708394656704,-1.421708394656704,-1.521037069746052,-1.521037069746052,-1.521037069746052,-1.3830261223987466,-1.3830261223987466,-1.3830261223987466,-1.4621072547969027,-1.4621072547969027,-1.4621072547969027
2018-07-15,-1.2682920852509112,-1.2682920852509112,-1.2682920852509112,-1.2720309025442444,-1.2720309025442444,-1.2720309025442444,-1.2088157906734518,-1.2088157906734518,-1.2088157906734518,-1.2174885626969836,-1.2174885626969836,-1.2174885626969836
2018-07-22,-0.7064319445998757,-0.7064319445998757,-0.7064319445998757,-0.8170533330259095,-0.8170533330259095,-0.8170533330259095,-0.7312554296616464,-0.7312554296616464,-0.7312554296616464,-0.7997163078599318,-0.7997163078599318,-0.7997163078599318
2018-07-29,-1.035528358909198,-1.035528358909198,-1.035528358909198,-1.052530129268484,-1.052530129268484,-1.052530129268484,-0.9992998070025975,-0.9992998070025975,-0.9992998070025975,-1.0574996143907438,-1.0574996143907438,-1.0574996143907438
2018-08-05,-1.4012322820365641,-1.4012322820365641,-1.4012322820365641,-1.4224824594524361,-1.4224824594524361,-1.4224824594524361,-1.4654416665901504,-1.4654416665901504,-1.4654416665901504,-1.4339776608584245,-1.4339776608584245,-1.4339776608584245
2018-08-12,-1.928630824001503,-1.928630824001503,-1.928630824001503,-1.7596957285341885,-1.7596957285341885,-1.7596957285341885,-2.00315112984714,-2.00315112984714,-2.00315112984714,-1.8166243831491453,-1.8166243831491453,-1.8166243831491453
2018-08-19,-1.0636100122082168,-1.0636100122082168,-1.0636100122082168,-1.1168217015699013,-1.1168217015699013,-1.1168217015699013,-1.0854015556525667,-1.0854015556525667,-1.0854015556525667,-1.102803625258317,-1.102803625258317,-1.102803625258317
2018-08-26,-1.1565966423111238,-1.1565966423111238,-1.1565966423111238,-1.098788021847686,-1.098788021847686,-1.098788021847686,-1.1444150126302959,-1.1444150126302959,-1.1444150126302959,-1.0831900968896357,-1.0831900968896357,-1.0831900968896357
2018-09-02,-1.6539112629454378,-1.6539112629454378,-1.6539112629454378,-1.7305812287916573,-1.7305812287916573,-1.7305812287916573,-1.715511735743629,-1.715511735743629,-1.715511735743629,-1.8363374791575777,-1.8363374791575777,-1.8363374791575777
2018-09-09,-1.3031833428243935,-1.3031833428243935,-1.3031833428243935,-1.3821503666782762,-1.3821503666782762,-1.3821503666782762,-1.458893157161893,-1.458893157161893,-1.458893157161893,-1.4289971330228408,-1.4289971330228408,-1.4289971330228408
