Date,ETFS Physical Swiss Gold Shares_Open_average,ETFS Physical Swiss Gold Shares_Open_max,ETFS Physical Swiss Gold Shares_Open_min,ETFS Physical Swiss Gold Shares_High_average,ETFS Physical Swiss Gold Shares_High_max,ETFS Physical Swiss Gold Shares_High_min,ETFS Physical Swiss Gold Shares_Low_average,ETFS Physical Swiss Gold Shares_Low_max,ETFS Physical Swiss Gold Shares_Low_min,ETFS Physical Swiss Gold Shares_Close_average,ETFS Physical Swiss Gold Shares_Close_max,ETFS Physical Swiss Gold Shares_Close_min
2018-04-08,1.039203283549223,1.039203283549223,1.039203283549223,0.9393850241635622,0.9393850241635622,0.9393850241635622,1.2026093923212775,1.2026093923212775,1.2026093923212775,0.9789024931733957,0.9789024931733957,0.9789024931733957
2018-04-15,-0.6765714776650554,-0.6765714776650554,-0.6765714776650554,-0.9445009270130225,-0.9445009270130225,-0.9445009270130225,-0.6628418119993293,-0.6628418119993293,-0.6628418119993293,-0.7358310670830052,-0.7358310670830052,-0.7358310670830052
2018-04-22,-1.359089333379923,-1.359089333379923,-1.359089333379923,-1.1398297166600881,-1.1398297166600881,-1.1398297166600881,-1.3742413599254144,-1.3742413599254144,-1.3742413599254144,-0.9185898020007389,-0.9185898020007389,-0.9185898020007389
2018-04-29,-1.2108240360096278,-1.2108240360096278,-1.2108240360096278,-1.3321547312179374,-1.3321547312179374,-1.3321547312179374,-1.0454039234271826,-1.0454039234271826,-1.0454039234271826,-1.1991824362726866,-1.1991824362726866,-1.1991824362726866
2018-05-06,-0.6435911542753888,-0.6435911542753888,-0.6435911542753888,-0.8551157444140974,-0.8551157444140974,-0.8551157444140974,-0.9051338696056154,-0.9051338696056154,-0.9051338696056154,-1.1635191257940696,-1.1635191257940696,-1.1635191257940696
2018-05-13,-2.1370189408399436,-2.1370189408399436,-2.1370189408399436,-2.0998064378760444,-2.0998064378760444,-2.0998064378760444,-2.060783206843123,-2.060783206843123,-2.060783206843123,-2.0778029419373354,-2.0778029419373354,-2.0778029419373354
2018-05-20,-1.029793348498192,-1.029793348498192,-1.029793348498192,-1.166092855784176,-1.166092855784176,-1.166092855784176,-1.1226700910384955,-1.1226700910384955,-1.1226700910384955,-1.313708746277612,-1.313708746277612,-1.313708746277612
2018-05-27,-1.3259062093488974,-1.3259062093488974,-1.3259062093488974,-1.3755369260854808,-1.3755369260854808,-1.3755369260854808,-1.3904207207689194,-1.3904207207689194,-1.3904207207689194,-1.5287906767960011,-1.5287906767960011,-1.5287906767960011
2018-06-03,-1.067449879759958,-1.067449879759958,-1.067449879759958,-1.0228014342819802,-1.0228014342819802,-1.0228014342819802,-0.9027549807029208,-0.9027549807029208,-0.9027549807029208,-0.9255866946440829,-0.9255866946440829,-0.9255866946440829
2018-06-10,-1.6333559093680539,-1.6333559093680539,-1.6333559093680539,-1.631262340618892,-1.631262340618892,-1.631262340618892,-1.6155643215059807,-1.6155643215059807,-1.6155643215059807,-1.671673839885462,-1.671673839885462,-1.671673839885462
