Date,SPDR Gold SharesEtf_Open_average,SPDR Gold SharesEtf_Open_max,SPDR Gold SharesEtf_Open_min,SPDR Gold SharesEtf_High_average,SPDR Gold SharesEtf_High_max,SPDR Gold SharesEtf_High_min,SPDR Gold SharesEtf_Low_average,SPDR Gold SharesEtf_Low_max,SPDR Gold SharesEtf_Low_min,SPDR Gold SharesEtf_Close_average,SPDR Gold SharesEtf_Close_max,SPDR Gold SharesEtf_Close_min
2018-05-27,-1.7840881212478747,-1.7840881212478747,-1.7840881212478747,-1.7133980809052773,-1.7133980809052773,-1.7133980809052773,-1.7456514346196552,-1.7456514346196552,-1.7456514346196552,-1.9031448763335257,-1.9031448763335257,-1.9031448763335257
2018-06-03,-1.3316776937694195,-1.3316776937694195,-1.3316776937694195,-1.4948498274513986,-1.4948498274513986,-1.4948498274513986,-1.304628067810579,-1.304628067810579,-1.304628067810579,-1.4082188904114137,-1.4082188904114137,-1.4082188904114137
2018-06-10,-1.6478555841933071,-1.6478555841933071,-1.6478555841933071,-1.788885571521137,-1.788885571521137,-1.788885571521137,-2.162054760081815,-2.162054760081815,-2.162054760081815,-2.045481973979239,-2.045481973979239,-2.045481973979239
2018-06-17,-2.2266383026641856,-2.2266383026641856,-2.2266383026641856,-2.2455067544577303,-2.2455067544577303,-2.2455067544577303,-2.108671807213258,-2.108671807213258,-2.108671807213258,-2.127138307132457,-2.127138307132457,-2.127138307132457
2018-06-24,-2.414696929641096,-2.414696929641096,-2.414696929641096,-2.3329447271962187,-2.3329447271962187,-2.3329447271962187,-2.3641870655100132,-2.3641870655100132,-2.3641870655100132,-2.330007128958959,-2.330007128958959,-2.330007128958959
2018-07-01,-1.9211787361289845,-1.9211787361289845,-1.9211787361289845,-1.994512003150617,-1.994512003150617,-1.994512003150617,-1.889633206624957,-1.889633206624957,-1.889633206624957,-1.9418348855032044,-1.9418348855032044,-1.9418348855032044
2018-07-08,-2.0285531041441693,-2.0285531041441693,-2.0285531041441693,-2.0568310779483747,-2.0568310779483747,-2.0568310779483747,-1.9909353686403377,-1.9909353686403377,-1.9909353686403377,-2.0156014181373343,-2.0156014181373343,-2.0156014181373343
2018-07-15,-2.032264890243485,-2.032264890243485,-2.032264890243485,-2.0066715419506362,-2.0066715419506362,-2.0066715419506362,-2.004176362100171,-2.004176362100171,-2.004176362100171,-1.9827059623665257,-1.9827059623665257,-1.9827059623665257
2018-07-22,-1.851500443310107,-1.851500443310107,-1.851500443310107,-1.8322429815113956,-1.8322429815113956,-1.8322429815113956,-1.8305477976476159,-1.8305477976476159,-1.8305477976476159,-1.8718578038536522,-1.8718578038536522,-1.8718578038536522
2018-07-29,-1.781978833216929,-1.781978833216929,-1.781978833216929,-1.7436595433812943,-1.7436595433812943,-1.7436595433812943,-1.7835373647412573,-1.7835373647412573,-1.7835373647412573,-1.8118859202210464,-1.8118859202210464,-1.8118859202210464
