Date,SPDR Gold Shares_etf_Open_average,SPDR Gold Shares_etf_Open_max,SPDR Gold Shares_etf_Open_min,SPDR Gold Shares_etf_High_average,SPDR Gold Shares_etf_High_max,SPDR Gold Shares_etf_High_min,SPDR Gold Shares_etf_Low_average,SPDR Gold Shares_etf_Low_max,SPDR Gold Shares_etf_Low_min,SPDR Gold Shares_etf_Close_average,SPDR Gold Shares_etf_Close_max,SPDR Gold Shares_etf_Close_min
2018-04-08,0.5483041974846014,0.5483041974846014,0.5483041974846014,0.8569224836060753,0.8569224836060753,0.8569224836060753,0.8331243322162841,0.8331243322162841,0.8331243322162841,0.9591199539081159,0.9591199539081159,0.9591199539081159
2018-04-15,0.23794548034747987,0.23794548034747987,0.23794548034747987,0.2229069992428827,0.2229069992428827,0.2229069992428827,0.43547349351222076,0.43547349351222076,0.43547349351222076,0.23106346091606875,0.23106346091606875,0.23106346091606875
2018-04-22,-0.821944058401018,-0.821944058401018,-0.821944058401018,-0.725731728197367,-0.725731728197367,-0.725731728197367,-0.5608664956105285,-0.5608664956105285,-0.5608664956105285,-0.6339841546625923,-0.6339841546625923,-0.6339841546625923
2018-04-29,-1.4498901071485586,-1.4498901071485586,-1.4498901071485586,-1.3062208092698246,-1.3062208092698246,-1.3062208092698246,-1.3525948335616709,-1.3525948335616709,-1.3525948335616709,-1.3022664311605652,-1.3022664311605652,-1.3022664311605652
2018-05-06,-0.3678545725093339,-0.3678545725093339,-0.3678545725093339,-0.6014222634177043,-0.6014222634177043,-0.6014222634177043,-0.6335859537718539,-0.6335859537718539,-0.6335859537718539,-0.9299768964622891,-0.9299768964622891,-0.9299768964622891
2018-05-13,-2.3956700899315924,-2.3956700899315924,-2.3956700899315924,-2.3063270371063815,-2.3063270371063815,-2.3063270371063815,-2.2875596400542957,-2.2875596400542957,-2.2875596400542957,-2.356615001648271,-2.356615001648271,-2.356615001648271
2018-05-20,-1.1038067547431232,-1.1038067547431232,-1.1038067547431232,-1.3029389250217807,-1.3029389250217807,-1.3029389250217807,-1.218660772128191,-1.218660772128191,-1.218660772128191,-1.4518611950053355,-1.4518611950053355,-1.4518611950053355
2018-05-27,-1.4825245757691794,-1.4825245757691794,-1.4825245757691794,-1.4234641420201997,-1.4234641420201997,-1.4234641420201997,-1.4413020027733074,-1.4413020027733074,-1.4413020027733074,-1.5716201908264322,-1.5716201908264322,-1.5716201908264322
2018-06-03,-1.0505390467839515,-1.0505390467839515,-1.0505390467839515,-1.201246868866177,-1.201246868866177,-1.201246868866177,-1.0236670894765298,-1.0236670894765298,-1.0236670894765298,-1.0907094800307335,-1.0907094800307335,-1.0907094800307335
2018-06-10,-1.3191169382960113,-1.3191169382960113,-1.3191169382960113,-1.445336068237711,-1.445336068237711,-1.445336068237711,-1.753376973998627,-1.753376973998627,-1.753376973998627,-1.6392119410995747,-1.6392119410995747,-1.6392119410995747
