Date,FlexShares International Quality Dividend Defensiv_Open_average,FlexShares International Quality Dividend Defensiv_Open_max,FlexShares International Quality Dividend Defensiv_Open_min,FlexShares International Quality Dividend Defensiv_High_average,FlexShares International Quality Dividend Defensiv_High_max,FlexShares International Quality Dividend Defensiv_High_min,FlexShares International Quality Dividend Defensiv_Low_average,FlexShares International Quality Dividend Defensiv_Low_max,FlexShares International Quality Dividend Defensiv_Low_min,FlexShares International Quality Dividend Defensiv_Close_average,FlexShares International Quality Dividend Defensiv_Close_max,FlexShares International Quality Dividend Defensiv_Close_min
2018-04-08,-0.7864046784053905,-0.7864046784053905,-0.7864046784053905,-0.7724251074690608,-0.7724251074690608,-0.7724251074690608,-0.5554984063199744,-0.5554984063199744,-0.5554984063199744,-0.5958998089166108,-0.5958998089166108,-0.5958998089166108
2018-04-15,-0.8025982646128103,-0.8025982646128103,-0.8025982646128103,-0.9596120297991672,-0.9596120297991672,-0.9596120297991672,-0.803468825598931,-0.803468825598931,-0.803468825598931,-1.022698143842552,-1.022698143842552,-1.022698143842552
2018-04-22,-0.9708390463237627,-0.9708390463237627,-0.9708390463237627,-1.047387826984084,-1.047387826984084,-1.047387826984084,-0.7299467864282124,-0.7299467864282124,-0.7299467864282124,-0.9612042552810821,-0.9612042552810821,-0.9612042552810821
2018-04-29,-1.2174456245672303,-1.2174456245672303,-1.2174456245672303,-1.3004668000031712,-1.3004668000031712,-1.3004668000031712,-1.1250406923118774,-1.1250406923118774,-1.1250406923118774,-1.344476539150709,-1.344476539150709,-1.344476539150709
2018-05-06,-0.5800359749309103,-0.5800359749309103,-0.5800359749309103,-0.5814175829500148,-0.5814175829500148,-0.5814175829500148,-0.36159344211518574,-0.36159344211518574,-0.36159344211518574,-0.4062403045380687,-0.4062403045380687,-0.4062403045380687
2018-05-13,-1.093573612929071,-1.093573612929071,-1.093573612929071,-1.189465799131176,-1.189465799131176,-1.189465799131176,-0.8730304205452152,-0.8730304205452152,-0.8730304205452152,-0.9906334578005228,-0.9906334578005228,-0.9906334578005228
2018-05-20,-2.0226762476860327,-2.0226762476860327,-2.0226762476860327,-2.023800100399855,-2.023800100399855,-2.023800100399855,-1.7677136045105266,-1.7677136045105266,-1.7677136045105266,-1.8170510182176185,-1.8170510182176185,-1.8170510182176185
2018-05-27,-1.6531082682925133,-1.6531082682925133,-1.6531082682925133,-1.726643951588625,-1.726643951588625,-1.726643951588625,-1.5594051147876844,-1.5594051147876844,-1.5594051147876844,-1.6103924048207106,-1.6103924048207106,-1.6103924048207106
2018-06-03,-1.4139220012953628,-1.4139220012953628,-1.4139220012953628,-1.2782724122685856,-1.2782724122685856,-1.2782724122685856,-1.200938669160051,-1.200938669160051,-1.200938669160051,-1.2178093361577504,-1.2178093361577504,-1.2178093361577504
2018-06-10,-2.7003843518470987,-2.7003843518470987,-2.7003843518470987,-2.6344987632270183,-2.6344987632270183,-2.6344987632270183,-2.6832547425920703,-2.6832547425920703,-2.6832547425920703,-2.5780438047888987,-2.5780438047888987,-2.5780438047888987
2018-06-17,-1.9942004714464523,-1.9942004714464523,-1.9942004714464523,-2.040981514045406,-2.040981514045406,-2.040981514045406,-2.2030764116971127,-2.2030764116971127,-2.2030764116971127,-2.1817341276501594,-2.1817341276501594,-2.1817341276501594
2018-06-24,-1.988059955308782,-1.988059955308782,-1.988059955308782,-2.0052931205995277,-2.0052931205995277,-2.0052931205995277,-1.9180855918603654,-1.9180855918603654,-1.9180855918603654,-1.960414503666889,-1.960414503666889,-1.960414503666889
2018-07-01,-1.049901015793659,-1.049901015793659,-1.049901015793659,-0.9282692032009539,-0.9282692032009539,-0.9282692032009539,-0.9778435093509511,-0.9778435093509511,-0.9778435093509511,-0.9418328852525827,-0.9418328852525827,-0.9418328852525827
2018-07-08,-1.2050024738652085,-1.2050024738652085,-1.2050024738652085,-1.2417282606990905,-1.2417282606990905,-1.2417282606990905,-1.1852527816438574,-1.1852527816438574,-1.1852527816438574,-1.2329086572029186,-1.2329086572029186,-1.2329086572029186
2018-07-15,-0.8658391982285291,-0.8658391982285291,-0.8658391982285291,-0.8528541143763507,-0.8528541143763507,-0.8528541143763507,-0.8257926751179823,-0.8257926751179823,-0.8257926751179823,-0.8000460689049012,-0.8000460689049012,-0.8000460689049012
