Date,Guggenheim CurrencyShares Swedish Krona_Open_average,Guggenheim CurrencyShares Swedish Krona_Open_max,Guggenheim CurrencyShares Swedish Krona_Open_min,Guggenheim CurrencyShares Swedish Krona_High_average,Guggenheim CurrencyShares Swedish Krona_High_max,Guggenheim CurrencyShares Swedish Krona_High_min,Guggenheim CurrencyShares Swedish Krona_Low_average,Guggenheim CurrencyShares Swedish Krona_Low_max,Guggenheim CurrencyShares Swedish Krona_Low_min,Guggenheim CurrencyShares Swedish Krona_Close_average,Guggenheim CurrencyShares Swedish Krona_Close_max,Guggenheim CurrencyShares Swedish Krona_Close_min
2018-11-25,-0.3732312653479867,-0.3732312653479867,-0.3732312653479867,-0.3384720950508755,-0.3384720950508755,-0.3384720950508755,-0.4944360684525077,-0.4944360684525077,-0.4944360684525077,-0.31536749324111224,-0.31536749324111224,-0.31536749324111224
2018-12-02,-0.8680134876953712,-0.8680134876953712,-0.8680134876953712,-0.8471272343730246,-0.8471272343730246,-0.8471272343730246,-0.8667565523797701,-0.8667565523797701,-0.8667565523797701,-0.863059729321616,-0.863059729321616,-0.863059729321616
2018-12-09,-0.4832804088836696,-0.4832804088836696,-0.4832804088836696,-0.4482913631322917,-0.4482913631322917,-0.4482913631322917,-0.45767452984549256,-0.45767452984549256,-0.45767452984549256,-0.5261692417632828,-0.5261692417632828,-0.5261692417632828
2018-12-16,1.2266593705380595,1.2266593705380595,1.2266593705380595,1.127443841863421,1.127443841863421,1.127443841863421,-0.221661489253363,-0.221661489253363,-0.221661489253363,-0.31002989742689,-0.31002989742689,-0.31002989742689
2018-12-23,1.7303524975726416,1.7303524975726416,1.7303524975726416,1.9083765210226573,1.9083765210226573,1.9083765210226573,2.144901991887282,2.144901991887282,2.144901991887282,2.1808599157338477,2.1808599157338477,2.1808599157338477
2018-12-30,1.0720236731049115,1.0720236731049115,1.0720236731049115,1.238342205817483,1.238342205817483,1.238342205817483,1.2621255642612048,1.2621255642612048,1.2621255642612048,1.39800540412253,1.39800540412253,1.39800540412253
2019-01-06,0.6533705287338377,0.6533705287338377,0.6533705287338377,0.5194482567171598,0.5194482567171598,0.5194482567171598,0.8916101582668033,0.8916101582668033,0.8916101582668033,0.6981396295944541,0.6981396295944541,0.6981396295944541
2019-01-13,-0.25519439930032795,-0.25519439930032795,-0.25519439930032795,-0.33884745712373243,-0.33884745712373243,-0.33884745712373243,-0.09518727353668816,-0.09518727353668816,-0.09518727353668816,-0.21197853191486363,-0.21197853191486363,-0.21197853191486363
2019-01-20,-0.8586129214442134,-0.8586129214442134,-0.8586129214442134,-0.806651232662526,-0.806651232662526,-0.806651232662526,-0.7515534710649191,-0.7515534710649191,-0.7515534710649191,-0.7029904617875948,-0.7029904617875948,-0.7029904617875948
2019-01-27,-1.3047560525324737,-1.3047560525324737,-1.3047560525324737,-1.2853662864147466,-1.2853662864147466,-1.2853662864147466,-1.3041345395050077,-1.3041345395050077,-1.3041345395050077,-1.2299445251350134,-1.2299445251350134,-1.2299445251350134
