Date,iShares Emerging Markets Corporate Bond_Open_average,iShares Emerging Markets Corporate Bond_Open_max,iShares Emerging Markets Corporate Bond_Open_min,iShares Emerging Markets Corporate Bond_High_average,iShares Emerging Markets Corporate Bond_High_max,iShares Emerging Markets Corporate Bond_High_min,iShares Emerging Markets Corporate Bond_Low_average,iShares Emerging Markets Corporate Bond_Low_max,iShares Emerging Markets Corporate Bond_Low_min,iShares Emerging Markets Corporate Bond_Close_average,iShares Emerging Markets Corporate Bond_Close_max,iShares Emerging Markets Corporate Bond_Close_min
2018-04-08,-1.2398481208296472,-1.2398481208296472,-1.2398481208296472,-1.0984427115437483,-1.0984427115437483,-1.0984427115437483,-1.083796575463591,-1.083796575463591,-1.083796575463591,-1.0684049081325167,-1.0684049081325167,-1.0684049081325167
2018-04-15,-1.2541056466223444,-1.2541056466223444,-1.2541056466223444,-1.2482810332492564,-1.2482810332492564,-1.2482810332492564,-1.3773611311983134,-1.3773611311983134,-1.3773611311983134,-1.3549912626815133,-1.3549912626815133,-1.3549912626815133
2018-04-22,-1.5757279448648227,-1.5757279448648227,-1.5757279448648227,-1.2912542680258996,-1.2912542680258996,-1.2912542680258996,-1.9731873603462795,-1.9731873603462795,-1.9731873603462795,-1.9409258072386402,-1.9409258072386402,-1.9409258072386402
2018-04-29,-2.158949035787416,-2.158949035787416,-2.158949035787416,-2.180711353175723,-2.180711353175723,-2.180711353175723,-2.082678955327097,-2.082678955327097,-2.082678955327097,-1.9749332962983102,-1.9749332962983102,-1.9749332962983102
2018-05-06,-1.6931161473938603,-1.6931161473938603,-1.6931161473938603,-1.6998718070620882,-1.6998718070620882,-1.6998718070620882,-1.7163549575235375,-1.7163549575235375,-1.7163549575235375,-1.5484495639558775,-1.5484495639558775,-1.5484495639558775
2018-05-13,-1.9601800018120128,-1.9601800018120128,-1.9601800018120128,-1.8285518061126314,-1.8285518061126314,-1.8285518061126314,-1.8459595648763492,-1.8459595648763492,-1.8459595648763492,-1.8873842330454673,-1.8873842330454673,-1.8873842330454673
2018-05-20,-1.382433858682256,-1.382433858682256,-1.382433858682256,-1.3135800734787297,-1.3135800734787297,-1.3135800734787297,-1.2143461971588614,-1.2143461971588614,-1.2143461971588614,-1.3202694333140828,-1.3202694333140828,-1.3202694333140828
2018-05-27,-1.5360303295319715,-1.5360303295319715,-1.5360303295319715,-1.4557076091259913,-1.4557076091259913,-1.4557076091259913,-1.472286049962657,-1.472286049962657,-1.472286049962657,-1.5451129543920146,-1.5451129543920146,-1.5451129543920146
2018-06-03,-1.4852398205931783,-1.4852398205931783,-1.4852398205931783,-1.4561296591584734,-1.4561296591584734,-1.4561296591584734,-1.5415735113075462,-1.5415735113075462,-1.5415735113075462,-1.6142459455924523,-1.6142459455924523,-1.6142459455924523
2018-06-10,-1.2520661774527249,-1.2520661774527249,-1.2520661774527249,-1.4277416363891318,-1.4277416363891318,-1.4277416363891318,-1.4041462512181553,-1.4041462512181553,-1.4041462512181553,-1.2418986459889048,-1.2418986459889048,-1.2418986459889048
2018-06-17,-0.9493818607206346,-0.9493818607206346,-0.9493818607206346,-1.1016455923064292,-1.1016455923064292,-1.1016455923064292,-1.0841904761270627,-1.0841904761270627,-1.0841904761270627,-0.999024569897306,-0.999024569897306,-0.999024569897306
2018-06-24,-1.4298461352478768,-1.4298461352478768,-1.4298461352478768,-1.2722788139286028,-1.2722788139286028,-1.2722788139286028,-1.2320780908970232,-1.2320780908970232,-1.2320780908970232,-1.129329714526771,-1.129329714526771,-1.129329714526771
