Date,ALPS Sprott Junior Gold MinersEtf_Open_average,ALPS Sprott Junior Gold MinersEtf_Open_max,ALPS Sprott Junior Gold MinersEtf_Open_min,ALPS Sprott Junior Gold MinersEtf_High_average,ALPS Sprott Junior Gold MinersEtf_High_max,ALPS Sprott Junior Gold MinersEtf_High_min,ALPS Sprott Junior Gold MinersEtf_Low_average,ALPS Sprott Junior Gold MinersEtf_Low_max,ALPS Sprott Junior Gold MinersEtf_Low_min,ALPS Sprott Junior Gold MinersEtf_Close_average,ALPS Sprott Junior Gold MinersEtf_Close_max,ALPS Sprott Junior Gold MinersEtf_Close_min
2018-05-27,-1.131172395251807,-1.131172395251807,-1.131172395251807,-1.0476940575413638,-1.0476940575413638,-1.0476940575413638,-0.7951447956643074,-0.7951447956643074,-0.7951447956643074,-0.8058921027219437,-0.8058921027219437,-0.8058921027219437
2018-06-03,-0.9576369852179676,-0.9576369852179676,-0.9576369852179676,-1.1594924154731494,-1.1594924154731494,-1.1594924154731494,-0.7421455787477502,-0.7421455787477502,-0.7421455787477502,-0.8275659882843257,-0.8275659882843257,-0.8275659882843257
2018-06-10,-1.3593380651346876,-1.3593380651346876,-1.3593380651346876,-1.306176882141872,-1.306176882141872,-1.306176882141872,-0.8673614715832347,-0.8673614715832347,-0.8673614715832347,-0.9695960274705758,-0.9695960274705758,-0.9695960274705758
2018-06-17,-1.0208247074231245,-1.0208247074231245,-1.0208247074231245,-0.9689171434352438,-0.9689171434352438,-0.9689171434352438,-0.6611433025452417,-0.6611433025452417,-0.6611433025452417,-0.5951918480188074,-0.5951918480188074,-0.5951918480188074
2018-06-24,-1.6994073133993324,-1.6994073133993324,-1.6994073133993324,-1.4708213434480422,-1.4708213434480422,-1.4708213434480422,-1.6533221491372694,-1.6533221491372694,-1.6533221491372694,-1.4004551744689087,-1.4004551744689087,-1.4004551744689087
2018-07-01,-0.6942161610706734,-0.6942161610706734,-0.6942161610706734,-0.3969565155082533,-0.3969565155082533,-0.3969565155082533,-0.5571286965187239,-0.5571286965187239,-0.5571286965187239,-0.1915298431126906,-0.1915298431126906,-0.1915298431126906
2018-07-08,-1.2202371920339425,-1.2202371920339425,-1.2202371920339425,-1.280748943486278,-1.280748943486278,-1.280748943486278,-1.3369523854984695,-1.3369523854984695,-1.3369523854984695,-1.4641558501291694,-1.4641558501291694,-1.4641558501291694
2018-07-15,-1.2015608602607923,-1.2015608602607923,-1.2015608602607923,-1.4354465443990627,-1.4354465443990627,-1.4354465443990627,-1.5934567826421355,-1.5934567826421355,-1.5934567826421355,-1.6528631654997938,-1.6528631654997938,-1.6528631654997938
2018-07-22,-1.5169686416937473,-1.5169686416937473,-1.5169686416937473,-1.6080837541003192,-1.6080837541003192,-1.6080837541003192,-1.6336636588298186,-1.6336636588298186,-1.6336636588298186,-1.6712765910199707,-1.6712765910199707,-1.6712765910199707
2018-07-29,-2.1064966680249886,-2.1064966680249886,-2.1064966680249886,-1.8070858133580894,-1.8070858133580894,-1.8070858133580894,-2.01657444156021,-2.01657444156021,-2.01657444156021,-1.8751568658237345,-1.8751568658237345,-1.8751568658237345
