Date,iShares Global High Yield Corporate Bond_Open_average,iShares Global High Yield Corporate Bond_Open_max,iShares Global High Yield Corporate Bond_Open_min,iShares Global High Yield Corporate Bond_High_average,iShares Global High Yield Corporate Bond_High_max,iShares Global High Yield Corporate Bond_High_min,iShares Global High Yield Corporate Bond_Low_average,iShares Global High Yield Corporate Bond_Low_max,iShares Global High Yield Corporate Bond_Low_min,iShares Global High Yield Corporate Bond_Close_average,iShares Global High Yield Corporate Bond_Close_max,iShares Global High Yield Corporate Bond_Close_min
2018-04-08,0.39337786282632453,0.39337786282632453,0.39337786282632453,0.3047668435925602,0.3047668435925602,0.3047668435925602,0.4745176332053137,0.4745176332053137,0.4745176332053137,0.23749582520429033,0.23749582520429033,0.23749582520429033
2018-04-15,-0.12577159488281398,-0.12577159488281398,-0.12577159488281398,-0.44351639241787244,-0.44351639241787244,-0.44351639241787244,-0.272351652947362,-0.272351652947362,-0.272351652947362,-0.5911389000117381,-0.5911389000117381,-0.5911389000117381
2018-04-22,-0.7504664480720803,-0.7504664480720803,-0.7504664480720803,-1.1124266286665447,-1.1124266286665447,-1.1124266286665447,-0.7473747089434942,-0.7473747089434942,-0.7473747089434942,-1.237806730781392,-1.237806730781392,-1.237806730781392
2018-04-29,-1.9078650426785289,-1.9078650426785289,-1.9078650426785289,-2.1861918899608184,-2.1861918899608184,-2.1861918899608184,-1.7424940962230906,-1.7424940962230906,-1.7424940962230906,-1.8638324569630256,-1.8638324569630256,-1.8638324569630256
2018-05-06,-1.4183527311361706,-1.4183527311361706,-1.4183527311361706,-1.3665831056459319,-1.3665831056459319,-1.3665831056459319,-1.211834524322197,-1.211834524322197,-1.211834524322197,-1.4556926908057504,-1.4556926908057504,-1.4556926908057504
2018-05-13,-2.107459008216841,-2.107459008216841,-2.107459008216841,-1.9809367788544274,-1.9809367788544274,-1.9809367788544274,-1.9370831396860146,-1.9370831396860146,-1.9370831396860146,-1.736110045237428,-1.736110045237428,-1.736110045237428
2018-05-20,-1.859349113947222,-1.859349113947222,-1.859349113947222,-1.9571493489537468,-1.9571493489537468,-1.9571493489537468,-1.8439212522646842,-1.8439212522646842,-1.8439212522646842,-1.8864407895294941,-1.8864407895294941,-1.8864407895294941
2018-05-27,-1.8075328275539926,-1.8075328275539926,-1.8075328275539926,-1.7041122115113667,-1.7041122115113667,-1.7041122115113667,-1.6692952568854407,-1.6692952568854407,-1.6692952568854407,-1.6034784941117761,-1.6034784941117761,-1.6034784941117761
2018-06-03,-1.058667664032931,-1.058667664032931,-1.058667664032931,-1.0014910362014755,-1.0014910362014755,-1.0014910362014755,-0.8729416329957906,-0.8729416329957906,-0.8729416329957906,-0.9247579477847102,-0.9247579477847102,-0.9247579477847102
2018-06-10,-0.9749416640839306,-0.9749416640839306,-0.9749416640839306,-0.8957267253787379,-0.8957267253787379,-0.8957267253787379,-0.8234905648828733,-0.8234905648828733,-0.8234905648828733,-0.8863251578411406,-0.8863251578411406,-0.8863251578411406
