Date,PowerShares Global Short Term High Yield Bond Port_Open_average,PowerShares Global Short Term High Yield Bond Port_Open_max,PowerShares Global Short Term High Yield Bond Port_Open_min,PowerShares Global Short Term High Yield Bond Port_High_average,PowerShares Global Short Term High Yield Bond Port_High_max,PowerShares Global Short Term High Yield Bond Port_High_min,PowerShares Global Short Term High Yield Bond Port_Low_average,PowerShares Global Short Term High Yield Bond Port_Low_max,PowerShares Global Short Term High Yield Bond Port_Low_min,PowerShares Global Short Term High Yield Bond Port_Close_average,PowerShares Global Short Term High Yield Bond Port_Close_max,PowerShares Global Short Term High Yield Bond Port_Close_min
2018-04-08,0.06010078397995922,0.06010078397995922,0.06010078397995922,-0.16064817237489382,-0.16064817237489382,-0.16064817237489382,0.026731605439498717,0.026731605439498717,0.026731605439498717,0.08099755289841797,0.08099755289841797,0.08099755289841797
2018-04-15,-0.9452472253308184,-0.9452472253308184,-0.9452472253308184,-0.7121092907209626,-0.7121092907209626,-0.7121092907209626,-0.8740768755282609,-0.8740768755282609,-0.8740768755282609,-0.9233721030417537,-0.9233721030417537,-0.9233721030417537
2018-04-22,-0.046005892006820495,-0.046005892006820495,-0.046005892006820495,-0.596175386625871,-0.596175386625871,-0.596175386625871,-0.5242516033259076,-0.5242516033259076,-0.5242516033259076,-0.39252313592278587,-0.39252313592278587,-0.39252313592278587
2018-04-29,-0.6981390315501316,-0.6981390315501316,-0.6981390315501316,-0.950218009906382,-0.950218009906382,-0.950218009906382,-0.10267385551419898,-0.10267385551419898,-0.10267385551419898,-0.2602859293094052,-0.2602859293094052,-0.2602859293094052
2018-05-06,-0.24539516699402675,-0.24539516699402675,-0.24539516699402675,-0.508250357363701,-0.508250357363701,-0.508250357363701,-0.19699361663470064,-0.19699361663470064,-0.19699361663470064,-0.1704820660878475,-0.1704820660878475,-0.1704820660878475
2018-05-13,-0.6860452001742319,-0.6860452001742319,-0.6860452001742319,-1.240776754714287,-1.240776754714287,-1.240776754714287,-1.4678246774801222,-1.4678246774801222,-1.4678246774801222,-1.1592780493974668,-1.1592780493974668,-1.1592780493974668
2018-05-20,-0.9338592095470475,-0.9338592095470475,-0.9338592095470475,-0.7595545253127729,-0.7595545253127729,-0.7595545253127729,-1.1074951868672243,-1.1074951868672243,-1.1074951868672243,-0.3450441900513397,-0.3450441900513397,-0.3450441900513397
2018-05-27,-2.4562858394006772,-2.4562858394006772,-2.4562858394006772,-2.474045297154506,-2.474045297154506,-2.474045297154506,-1.9733321400867407,-1.9733321400867407,-1.9733321400867407,-1.8486072078291782,-1.8486072078291782,-1.8486072078291782
2018-06-03,-1.5403080924308035,-1.5403080924308035,-1.5403080924308035,-1.7299636842832415,-1.7299636842832415,-1.7299636842832415,-1.401812047169008,-1.401812047169008,-1.401812047169008,-1.2185906933536157,-1.2185906933536157,-1.2185906933536157
2018-06-10,-2.213398350918353,-2.213398350918353,-2.213398350918353,-2.3121947821069604,-2.3121947821069604,-2.3121947821069604,-2.1719960887994567,-2.1719960887994567,-2.1719960887994567,-2.332682802746988,-2.332682802746988,-2.332682802746988
