Date,KraneShares EM Consumer TechnologyEtf_Open_average,KraneShares EM Consumer TechnologyEtf_Open_max,KraneShares EM Consumer TechnologyEtf_Open_min,KraneShares EM Consumer TechnologyEtf_High_average,KraneShares EM Consumer TechnologyEtf_High_max,KraneShares EM Consumer TechnologyEtf_High_min,KraneShares EM Consumer TechnologyEtf_Low_average,KraneShares EM Consumer TechnologyEtf_Low_max,KraneShares EM Consumer TechnologyEtf_Low_min,KraneShares EM Consumer TechnologyEtf_Close_average,KraneShares EM Consumer TechnologyEtf_Close_max,KraneShares EM Consumer TechnologyEtf_Close_min
2018-05-27,-1.2199047535037186,-1.2199047535037186,-1.2199047535037186,-1.0389508740063045,-1.0389508740063045,-1.0389508740063045,-1.05380502296466,-1.05380502296466,-1.05380502296466,-1.002875562369801,-1.002875562369801,-1.002875562369801
2018-06-03,-0.9309427096157468,-0.9309427096157468,-0.9309427096157468,-0.741459872759568,-0.741459872759568,-0.741459872759568,-0.798049029485805,-0.798049029485805,-0.798049029485805,-0.6519960797148501,-0.6519960797148501,-0.6519960797148501
2018-06-10,-0.668974057396103,-0.668974057396103,-0.668974057396103,-0.7492497345606715,-0.7492497345606715,-0.7492497345606715,-0.6277794603264617,-0.6277794603264617,-0.6277794603264617,-0.6924006380118466,-0.6924006380118466,-0.6924006380118466
2018-06-17,-1.060840107368179,-1.060840107368179,-1.060840107368179,-1.2071555018223858,-1.2071555018223858,-1.2071555018223858,-1.1241793133983344,-1.1241793133983344,-1.1241793133983344,-1.1876150251039947,-1.1876150251039947,-1.1876150251039947
2018-06-24,-1.5058622997281437,-1.5058622997281437,-1.5058622997281437,-1.5136829177423266,-1.5136829177423266,-1.5136829177423266,-1.416638499766085,-1.416638499766085,-1.416638499766085,-1.5212026768120526,-1.5212026768120526,-1.5212026768120526
2018-07-01,-1.4001345361392687,-1.4001345361392687,-1.4001345361392687,-1.2559563405486651,-1.2559563405486651,-1.2559563405486651,-1.3794319997022328,-1.3794319997022328,-1.3794319997022328,-1.2184702605475117,-1.2184702605475117,-1.2184702605475117
2018-07-08,-0.910773383940632,-0.910773383940632,-0.910773383940632,-0.9278117739191782,-0.9278117739191782,-0.9278117739191782,-0.8257367328745551,-0.8257367328745551,-0.8257367328745551,-0.8821785713247926,-0.8821785713247926,-0.8821785713247926
2018-07-15,-0.888927691535491,-0.888927691535491,-0.888927691535491,-1.003225160315659,-1.003225160315659,-1.003225160315659,-0.8507565331280861,-0.8507565331280861,-0.8507565331280861,-1.010199377816487,-1.010199377816487,-1.010199377816487
2018-07-22,-0.7856396326046522,-0.7856396326046522,-0.7856396326046522,-0.9673256143791686,-0.9673256143791686,-0.9673256143791686,-1.0905887074085585,-1.0905887074085585,-1.0905887074085585,-1.1613543813420528,-1.1613543813420528,-1.1613543813420528
2018-07-29,-1.9927026444527618,-1.9927026444527618,-1.9927026444527618,-1.97572224489288,-1.97572224489288,-1.97572224489288,-1.9803508460885837,-1.9803508460885837,-1.9803508460885837,-1.9575911942266855,-1.9575911942266855,-1.9575911942266855
2018-08-05,-1.992530406117232,-1.992530406117232,-1.992530406117232,-2.1923364240758083,-2.1923364240758083,-2.1923364240758083,-2.0554909203209153,-2.0554909203209153,-2.0554909203209153,-2.129792432507558,-2.129792432507558,-2.129792432507558
2018-08-12,-2.661806989395472,-2.661806989395472,-2.661806989395472,-2.6881797873000957,-2.6881797873000957,-2.6881797873000957,-2.7125812998189542,-2.7125812998189542,-2.7125812998189542,-2.6636515286601194,-2.6636515286601194,-2.6636515286601194
2018-08-19,-1.844234699648283,-1.844234699648283,-1.844234699648283,-1.9548359539670972,-1.9548359539670972,-1.9548359539670972,-1.7948122350068663,-1.7948122350068663,-1.7948122350068663,-1.8766904686823183,-1.8766904686823183,-1.8766904686823183
2018-08-26,-1.9570065282867402,-1.9570065282867402,-1.9570065282867402,-1.8720853156576542,-1.8720853156576542,-1.8720853156576542,-1.8979251789627614,-1.8979251789627614,-1.8979251789627614,-1.8319297744459908,-1.8319297744459908,-1.8319297744459908
2018-09-02,-2.296367485675575,-2.296367485675575,-2.296367485675575,-2.2439663569294925,-2.2439663569294925,-2.2439663569294925,-2.2711233203748877,-2.2711233203748877,-2.2711233203748877,-2.3302669807148906,-2.3302669807148906,-2.3302669807148906
2018-09-09,-1.719537288870197,-1.719537288870197,-1.719537288870197,-1.784758963502415,-1.784758963502415,-1.784758963502415,-1.7901760708468881,-1.7901760708468881,-1.7901760708468881,-1.844759864513675,-1.844759864513675,-1.844759864513675
