Date,ProShares Short Oil & Gas_Open_average,ProShares Short Oil & Gas_Open_max,ProShares Short Oil & Gas_Open_min,ProShares Short Oil & Gas_High_average,ProShares Short Oil & Gas_High_max,ProShares Short Oil & Gas_High_min,ProShares Short Oil & Gas_Low_average,ProShares Short Oil & Gas_Low_max,ProShares Short Oil & Gas_Low_min,ProShares Short Oil & Gas_Close_average,ProShares Short Oil & Gas_Close_max,ProShares Short Oil & Gas_Close_min
2018-04-08,-1.0875948428994122,-1.0875948428994122,-1.0875948428994122,-1.1773310217384512,-1.1773310217384512,-1.1773310217384512,-1.040671011854907,-1.040671011854907,-1.040671011854907,-1.1476670675429796,-1.1476670675429796,-1.1476670675429796
2018-04-15,-1.545384960146388,-1.545384960146388,-1.545384960146388,-1.6544551489125467,-1.6544551489125467,-1.6544551489125467,-1.6570524756495622,-1.6570524756495622,-1.6570524756495622,-1.659878387479951,-1.659878387479951,-1.659878387479951
2018-04-22,-1.7670422463358344,-1.7670422463358344,-1.7670422463358344,-1.8882045017279685,-1.8882045017279685,-1.8882045017279685,-1.7153911992651456,-1.7153911992651456,-1.7153911992651456,-1.887751001918692,-1.887751001918692,-1.887751001918692
2018-04-29,-2.0001458950863418,-2.0001458950863418,-2.0001458950863418,-1.9941776278836645,-1.9941776278836645,-1.9941776278836645,-1.9704880506894176,-1.9704880506894176,-1.9704880506894176,-2.0170753213211112,-2.0170753213211112,-2.0170753213211112
2018-05-06,-1.7519698333335751,-1.7519698333335751,-1.7519698333335751,-1.7161063576856912,-1.7161063576856912,-1.7161063576856912,-1.7372393662458954,-1.7372393662458954,-1.7372393662458954,-1.7331300547311583,-1.7331300547311583,-1.7331300547311583
2018-05-13,-1.5412177160243699,-1.5412177160243699,-1.5412177160243699,-1.549979780005975,-1.549979780005975,-1.549979780005975,-1.5327861368974147,-1.5327861368974147,-1.5327861368974147,-1.5645372074312458,-1.5645372074312458,-1.5645372074312458
2018-05-20,-0.5681915357379157,-0.5681915357379157,-0.5681915357379157,-0.48526327894222554,-0.48526327894222554,-0.48526327894222554,-0.6214090441839741,-0.6214090441839741,-0.6214090441839741,-0.6218986286034782,-0.6218986286034782,-0.6218986286034782
2018-05-27,-0.904418726409353,-0.904418726409353,-0.904418726409353,-0.8774157317348544,-0.8774157317348544,-0.8774157317348544,-0.8826629577026802,-0.8826629577026802,-0.8826629577026802,-0.8620701374586741,-0.8620701374586741,-0.8620701374586741
2018-06-03,-0.8881303085397095,-0.8881303085397095,-0.8881303085397095,-0.8876646496685056,-0.8876646496685056,-0.8876646496685056,-0.8937658110879618,-0.8937658110879618,-0.8937658110879618,-0.8767803224349757,-0.8767803224349757,-0.8767803224349757
2018-06-10,-0.45985509359590726,-0.45985509359590726,-0.45985509359590726,-0.44735418664845095,-0.44735418664845095,-0.44735418664845095,-0.4338372190922587,-0.4338372190922587,-0.4338372190922587,-0.42869145555785854,-0.42869145555785854,-0.42869145555785854
2018-06-17,-0.09654790197928802,-0.09654790197928802,-0.09654790197928802,-0.13065808216403835,-0.13065808216403835,-0.13065808216403835,-0.058825506329137904,-0.058825506329137904,-0.058825506329137904,-0.1003358583526853,-0.1003358583526853,-0.1003358583526853
2018-06-24,-0.21265150920496312,-0.21265150920496312,-0.21265150920496312,-0.2531193486546778,-0.2531193486546778,-0.2531193486546778,-0.179031255818876,-0.179031255818876,-0.179031255818876,-0.23061680393166104,-0.23061680393166104,-0.23061680393166104
2018-07-01,-0.20644150309705414,-0.20644150309705414,-0.20644150309705414,-0.26604401175404513,-0.26604401175404513,-0.26604401175404513,-0.15350175165301977,-0.15350175165301977,-0.15350175165301977,-0.23524435516924094,-0.23524435516924094,-0.23524435516924094
2018-07-08,0.29383592708732925,0.29383592708732925,0.29383592708732925,0.24178226846569073,0.24178226846569073,0.24178226846569073,-0.02384559886628268,-0.02384559886628268,-0.02384559886628268,-0.11974443735108344,-0.11974443735108344,-0.11974443735108344
2018-07-15,-0.3182804793044199,-0.3182804793044199,-0.3182804793044199,-0.2996289826995385,-0.2996289826995385,-0.2996289826995385,-0.5118370176978838,-0.5118370176978838,-0.5118370176978838,-0.23826246452741784,-0.23826246452741784,-0.23826246452741784
